編號,屬性,機構名稱,區域別,地址,電話,收容對象,核定床數-核定總床位數,核定床數-長照床數,核定床數-養護床數,核定床數-失智床數,核定床數-安養床數,lat,lon
50,私立,臺北市私立美安老人長期照顧中心(養護型),文山區,臺北市文山區景慶里001鄰溪口街1巷5號3-4樓,02-29316388,養護,45,0,45,0,0,24.994049,121.539867
51,私立,臺北市私立景興老人長期照顧中心(養護型),文山區,臺北市文山區景行里021鄰景興路222號3樓,02-29349412,養護,38,0,38,0,0,24.9911581,121.5434021
52,私立,臺北市私立三園老人長期照顧中心(養護型),文山區,臺北市文山區景行里002鄰車前路12號3-4樓,02-29321147,養護,48,0,48,0,0,24.9915088,121.5409352
53,私立,臺北市私立吉祥老人長期照顧中心(養護型),文山區,臺北市文山區木柵里004鄰木柵路3段85巷8弄4-1、4-2號1樓及2、2-1、2-2、4、4-1、4-2號2樓,02-22343511,養護,43,0,43,0,0,24.9892605,121.5673234
54,公設民營,臺北市文山老人養護中心,文山區,臺北市文山區興豐里016鄰興隆路2段95巷8號3~6樓,02-89313190,養護  ,46,0,46,0,0,25.0000581,121.5468931
55,公設民營,臺北市兆如老人安養護中心,文山區,臺北市文山區政大里005鄰政大二街129號,02-86616365,安養養護長照,453,132,132,0,189,24.9892314,121.5839877
56,私立,臺北市私立慧華老人長期照顧中心(養護型),文山區,臺北市文山區興隆路2段154巷11號1樓,02-29356272,養護,30,0,30,0,0,25.0009608,121.5518259
57,私立,臺北市私立萬芳老人長期照顧中心(養護型),文山區,臺北市文山區萬和街8號3樓,02-22303000,養護,48,0,48,0,0,25.0019967,121.5675869
58,私立,臺北市私立尊暉老人長期照顧中心(養護型),北投區,臺北市北投區石牌路2段343巷17號1~2樓,02-28761997,養護,26,0,26,0,0,25.1228663,121.5236857
59,私立,臺北市私立賢暉老人長期照顧中心(養護型),北投區,臺北市北投區石牌路2段315巷34弄14、16號1樓,02-28710770,養護,18,0,18,0,0,25.1238098,121.5220989
60,私立,臺北市私立高德老人長期照顧中心(養護型),北投區,臺北市北投區磺港路156號1~3樓,02-28982418,養護,45,0,45,0,0,25.128669,121.503002
61,私立,臺北市私立陽明山老人長期照顧中心(養護型),北投區,臺北市北投區湖山里006鄰紗帽路116號,02-28615006,養護,36,0,36,0,0,25.1506603,121.5475908
62,私立,臺北市私立全家老人長期照顧中心(養護型),北投區,臺北市北投區永和里007鄰行義路96巷1號1~2樓,02-28761692,養護,29,0,29,0,0,25.1266799,121.5288569
63,私立,臺北市私立倚青園老人長期照顧中心(養護型),北投區,臺北市北投區永明里008鄰義理街63巷4弄7、11之1~3號1樓,02-28283533,養護,31,0,31,0,0,25.117297,121.514742
64,私立,臺北市私立榮健老人長期照顧中心(養護型),北投區,臺北市北投區建民里016鄰文林北路94巷5弄13號1~2樓、15號2樓,02-28216113,養護,46,0,46,0,0,25.106498,121.5177343
65,私立,臺北市私立全寶老人長期照顧中心(養護型),北投區,臺北市北投區永欣里014鄰石牌路2段315巷16弄2、2-1號1樓,02-28710793,養護,24,0,24,0,0,25.1227893,121.522099
66,私立,臺北市私立義行老人長期照顧中心(養護型),北投區,臺北市北投區永和里001鄰石牌路2段357巷1號4~6樓,02-28767880,養護,49,0,49,0,0,25.1236183,121.5248901
67,私立,臺北市私立建民老人長期照顧中心(養護型),北投區,臺北市北投區文林里019鄰建民路22、24、26、26之1號1樓,02-28250799,養護,34,0,34,0,0,25.1074742,121.5162152
68,私立,臺北市私立榮祥老人長期照顧中心(養護型),北投區,臺北市北投區文林里019鄰文林北路166巷5弄2號1~2樓、4號1樓,02-28213709,養護,34,0,34,0,0,25.1071757,121.5162582
69,私立,臺北市私立北投老人長期照顧中心(養護型),北投區,臺北市北投區公館路231巷20號1樓,02-28937412,養護,17,0,17,0,0,25.1266829,121.5092239
70,私立,臺北市私立全泰老人長期照顧中心(養護型),北投區,臺北市北投區永和里006鄰行義路105號1~2樓,02-28747739,養護,41,0,41,0,0,25.1277887,121.5283359
71,私立,臺北市私立崇順老人養護所,北投區,臺北市北投區關渡里013鄰知行路52巷1號、54號1~2樓,02-28581979,養護,27,0,27,0,0,25.1180343,121.4674476
72,私立,臺北市私立聖心老人養護所,北投區,臺北市北投區稻香路321號1樓,02-28913890,養護,18,0,18,0,0,25.1428162,121.4865609
73,私立,臺北市私立精英國際老人長期照顧中心(養護型),北投區,臺北市北投區關渡里003鄰關渡路60、62之1號1樓,02-28582701,養護,26,0,26,0,0,25.11952,121.468793
74,私立,臺北市私立怡靜老人長期照顧中心(養護型),北投區,臺北市北投區吉利里002鄰致遠二路96巷3弄1、3號1樓,02-28200437,養護,23,0,23,0,0,25.1166426,121.5129663
75,私立,臺北市私立貴族老人長期照顧中心(養護型),北投區,臺北市北投區大同里013鄰大業路452巷2號2~5樓,02-28965555,養護,42,0,42,0,0,25.13143,121.49686
76,私立,臺北市私立行義老人長期照顧中心(養護型),北投區,臺北市北投區永和里001鄰石牌路2段357巷1號1~3樓,02-28729599,養護,49,0,49,0,0,25.1236183,121.5248901
77,私立,臺北市私立豪門老人長期照顧中心(養護型),北投區,臺北市北投區大同里013鄰大業路452巷2號6~9樓,02-28954492,養護,42,0,42,0,0,25.13143,121.49686
78,私立,臺北市私立奇里岸老人長期照顧中心(養護型),北投區,臺北市北投區立農里013鄰西安街2段245號1.2樓,02-28275139,養護,36,0,36,0,0,25.1201375,121.508298
79,私立,財團法人台灣基督教道生院附設臺北市私立道生院老人長期照顧中心(養護型),北投區,臺北市北投區秀山里002鄰中和街錫安巷112號1.2樓及地下1樓,02-28936161,養護,88,0,88,0,0,25.1473586,121.5010579
80,公立,臺北市立浩然敬老院,北投區,臺北市北投區關渡里016鄰知行路75號,02-28581081,安養養護,400,0,175,0,225,25.1183831,121.467879
81,私立,臺北市私立同德老人長期照顧中心(養護型),北投區,臺北市北投區榮華里004鄰明德路306號1-7樓,02-28281328,養護,41,0,41,0,0,25.1152358,121.5223028
82,私立,臺北市私立群英老人長期照顧中心(養護型),松山區,臺北市松山區仁愛里013鄰敦化南路1段7號4樓,02-25791400,養護,24,0,24,0,0,25.0469247,121.5493011
83,私立,臺北市私立台大老人長期照顧中心(養護型),松山區,臺北市松山區仁愛里013鄰敦化南路1段7號4樓之1,02-25792816,養護,24,0,24,0,0,25.0425267,121.5485
84,私立,臺北市私立仁仁老人長期照顧中心(養護型),松山區,臺北市松山區新聚里003鄰南京東路5段356號2樓,02-27659900,養護,34,0,34,0,0,25.0515465,121.5696021
85,私立,臺北市私立康壯老人長期照顧中心(養護型),松山區,臺北市松山區吉祥里001鄰八德路4段203、205號1、2樓,02-27686697,養護,49,0,49,0,0,25.0489188,121.5637852
86,私立,臺北市私立信義老人長期照顧中心(養護型),信義區,臺北市信義區永春里002鄰中坡北路21號1~2樓、23號2樓,02-27477232,養護,28,0,28,0,0,25.0449049,121.580846
87,私立,臺北市私立康庭老人養護所,信義區,臺北市信義區安康里017鄰信義路6段15巷16號1樓,02-23460684,養護,29,0,29,0,0,25.0352633,121.5752989
88,私立,臺北市私立福安老人長期照顧中心(養護型),南港區,臺北市南港區萬福里 007鄰 玉成街140巷21、23號2樓,02-27850584,養護,20,0,20,0,0,25.0440469,121.5827634
89,私立,臺北市私立葉媽媽老人長期照顧中心(養護型),萬華區,臺北市萬華區錦德里012鄰西園路2段243之13號1~4樓,02-23329986,養護,30,0,30,0,0,25.0251948,121.4921535
91,私立,臺北市私立葉爸爸老人長期照顧中心(養護型),萬華區,臺北市萬華區錦德里012鄰西園路2段243之14號1~4樓,02-23329985,養護,31,0,31,0,0,25.0251948,121.4921535
92,私立,臺北市私立中山老人長期照顧中心(養護型),萬華區,臺北市萬華區菜園里001鄰峨眉街124號、124之1號1樓,02-23759590,養護,26,0,26,0,0,25.0445599,121.5020605
93,私立,財團法人臺北市私立愛愛院,萬華區,臺北市萬華區糖廍里006鄰大理街175巷27號,02-23060493,養護,238,0,238,0,0,25.0348821,121.4954318
94,私立,臺北市私立軒儀老人長期照顧中心(養護型),萬華區,臺北市萬華區華江里028鄰和平西路3段384號1樓,02-23088661,養護,47,0,47,0,0,25.03533,121.4913712
