編號,據點名稱,行政區,里別,據點地址,電話,lat,lon
70,臺北市大安區古風里辦公處,大安區,古風里,臺北市大安區古風里泰順街54巷23號臺北市大安區龍坡里辛亥路1段臨141號,0988-179816,25.0229304,121.5294758
71,臺北市大安區全安里辦公處,大安區,全安里,臺北市大安區全安里和平東路3段119巷25號1樓,0988-179836,25.02644,121.5332197
72,社團法人台灣厝邊有愛關懷協會(六張犁),大安區,黎元里,臺北市大安區黎元里臥龍街215號,02-27329041 0910-103200,25.0185119,121.5535662
73,社團法人台灣德安社會福利協會(大安老人服務暨日間照顧中心),大安區,德安里,臺北市大安區德安里四維路76巷12號,02-27086255,25.0342045,121.5473046
74,國立臺灣師範大學學務處全人教育中心,大安區,錦安里,臺北市大安區錦安里和平東路1段129號,02-77496786,25.0274561,121.5285368
75,臺北市大安區錦華里辦公處,大安區,錦華里,臺北市大安區錦華里杭州南路2段93巷1-1號;潮州街68號,0988-179824,25.0286154,121.5221514
76,臺北市大安區古莊里辦公處,大安區,古莊里,臺北市大安區古莊里浦城街16巷2號,02-23696193,25.02362,121.5266297
77,台北市通化玫瑰社會關懷協會,大安區,法治里,臺北市大安區法治里通化街178號1樓,0921-893081,25.0275589,121.5532941
78,臺北市大安區安東社區發展協會,大安區,誠安里,臺北市大安區誠安里安東街28號1樓、31之1號1樓;臺北市中山區埤頭里市民大道3段209號1樓,0932-154320,25.0454213,121.543015
79,臺北市大安區古莊社區發展協會,大安區,古莊里,臺北市大安區古莊里羅斯福路2段81巷16弄1-2號2樓:浦城街16巷2號,02-23696262,25.0255496,121.5245957
80,臺北市大安區大安新龍社區發展協會,大安區,新龍里,臺北市大安區新龍里信義路3段134巷98號1樓:82號2樓,02-7067771,25.0290764,121.5389947
81,臺北市大安區光明里辦公處,大安區,光明里,臺北市大安區光明里信義路2段86巷26號,0928-924384,25.0337801,121.5258274
82,臺北市大安區古風社區發展協會,大安區,古風里,臺北市大安區古風里師大路117巷1、3號(芒果香草園)龍坡里辛亥路1段臨141號(辛亥區活),0910-951259,25.0222495,121.5286446
83,財團法人台北市中山基督長老教會,中山區,正得里,臺北市中山區正得里林森北路62號臺北市中山區正得里中山北路1段53巷23號,0987-369783,25.0489614,121.5242278
84,財團法人新北市基督教新希望教會(新喜),中山區,新喜里,臺北市中山區新喜里吉林路433巷17號,02-25993693,25.0670215,121.5313213
85,財團法人新北市基督教新希望教會(中山五常),中山區,下埤里,臺北市中山區下埤里龍江路377巷20號1樓,0976-180539,25.0646843,121.5421459
86,臺北市中山區朱厝崙社區發展協會,中山區,朱崙里,臺北市中山區朱崙里龍江路15號3樓(朱崙區民活動中心),02-27815504 0936-096604,25.0475413,121.5405446
87,臺北市中山區晴光里辦公處,中山區,晴光里,臺北市中山區晴光里雙城街18巷20號,0981-201026,25.0653711,121.5230588
88,社團法人臺北市基督教合江拿撒勒人會,中山區,江寧里,臺北市中山區江寧里合江街127巷6號,0911-781607,25.0606278,121.539633
89,財團法人臺北市松年長春社會福利基金會(中山),中山區,行仁里,臺北市中山區行仁里龍江路318巷7號1樓,02-25000206,25.0648629,121.5404259
90,社團法人台灣厝邊有愛關懷協會(中興教會),中山區,江山里,臺北市中山區江山里復興北路280巷8號,0928-131257,25.0585956,121.5433582
91,社團法人臺北市中山區大直社區發展協會(大直一),中山區,大直里,臺北市中山區大直里大直街21巷2號4樓,0916-780645,25.0816436,121.5468816
92,財團法人台灣老人急重症基金會(聚盛據點),中山區,聚盛里,臺北市中山區聚盛里民生東路1段23巷2號臺北市中山區民生東路1段42號7樓之3,02-25224388,25.0582855,121.5243319
93,財團法人台灣老人急重症基金會(中山據點),中山區,中山里,臺北市中山區中山里中山北路2段77巷14號3樓,02-25224388,25.05737,121.524349
94,財團法人台灣老人急重症基金會(龍洲據點),中山區,龍洲里,臺北市中山區龍洲里民生東路3段88巷1號1樓,02-25224388,25.0576214,121.5417828
95,社團法人臺北市中山區大直社區發展協會,中山區,大直里,臺北市中山區大直里大直街1號4樓,0916-780645,25.0805188,121.5468794
96,社團法人台北市家庭照顧者關懷協會,中山區,北安里,臺北市中山區北安里北安路805巷4弄5號地下,0916-780645,25.0862564,121.5543684
97,財團法人台北市台北中華基督教會,中山區,康樂里,臺北市中山區康樂里中山北路2段45巷39號,0932-256884,25.0545129,121.5249793
98,台北市敬老協會,中山區,中原里,臺北市中山區中原里新生北路2段41巷7號1樓;新生北路2段53之3號2樓;南京東路1段35號1樓,02-25819955,25.0553994,121.5283293
99,社團法人臺北市生命樹健康關懷協會,中山區,永安里,臺北市中山區永安里北安路458巷41弄50號,0932-314995,25.0789041,121.5465332
100,財團法人味全文化教育基金會,中山區,中央里,臺北市中山區中央里松江路125號4樓,02-25065001,25.0531691,121.5334641
101,臺北市復華長青多元服務中心(社團法人中華民國士林靈糧堂社會福利協會),中山區,復華里,臺北市中山區復華里遼寧街185巷11號,02-27171393*16,25.0534368,121.5427985
102,財團法人環宇國際文化教育基金會,中正區,文盛里,臺北市中正區文盛里羅斯福路3段240巷17弄3號、臺北市中正區水源路臨28號,02-23641334,25.0176349,121.5290591
103,臺北市中正區永寬社區發展協會,中正區,永昌里,臺北市中正區永昌里寧波西街181巷8號1樓,0935-272021,25.0266493,121.5104644
104,臺北市永昌長青會,中正區,永昌里,臺北市中正區永昌里寧波西街181巷24號1樓,02-23071068,25.026537,121.510054
105,臺北市中正區新林興社區發展協會,中正區,林興里,臺北市中正區林興里汀州路3段27巷16號;水源路臨28號;汀州路3段2號,0932-235425,25.0196889,121.527328
106,台北市寶藏巖文化村協會,中正區,水源里,臺北市中正區水源里汀州路3段230巷14弄10號臺北市中正區羅斯福路4段92號4樓,0926-579112,25.0105669,121.5324161
107,財團法人臺北市松年長春社會福利基金會(中正),中正區,南福里,臺北市中正區南福里羅斯福路1段94、96號11樓(中央教會),0932-862740,25.0241961,121.5248845
108,財團法人伽耶山基金會,中正區,文北里,臺北市中正區文北里濟南路2段36號2樓3樓、4樓,02-23946800#404,25.0406143,121.5295905
109,財團法人台北市中國基督教靈糧世界佈道會台北靈糧堂(古亭靈糧福音中心),中正區,永功里,臺北市中正區永功里三元街198號1樓、2樓:218號,02-23396540,25.0276511,121.5119608
110,社團法人中華民國愛之語全人關懷教育協會中正據點,中正區,南福里,臺北市中正區南福里羅斯福路2段44號2樓,02-23215690,25.0279578,121.5214365
111,臺北市中正區欣龍興社區發展協會,中正區,龍興里,臺北市中正區龍興里三元街131號4樓,0917-522883,25.0283,121.511
112,台北市愛羊全人關懷協會,中正區,龍光里,臺北市中正區龍光里和平西路2段15號1樓、17號2樓,02-23048578,25.0282933,121.5138713
113,台灣旺齡協會,中正區,頂東里,臺北市中正區頂東里羅斯福路3段84巷13、15號1樓,02-2368-0690,25.0216107,121.5268154
114,財團法人耕莘文教基金會,中正區,文盛里,臺北市中正區文盛里辛亥路1段22號4樓,02-23655615#316,25.00046,121.5545729
115,中華全齡關懷協會(博愛),中正區,光復里,臺北市中正區光復里博愛路134號10樓,02-55740079,25.0429683,121.5113287
116,財團法人中華基督教廈門街浸信會,中正區,螢圃里,臺北市中正區螢圃里廈門街81巷20號,02-23687582#213,25.0243156,121.5192916
117,臺北市廣西同鄉會,中正區,梅花里,臺北市中正區梅花里忠孝東路1段35號7樓,0936-227747,25.0452974,121.5216527
118,社團法人臺北市臻佶祥社會服務協會,中正區,忠勤里,臺北市中正區忠勤里中華路2段315巷14、16、18號,02-23036281,25.028344,121.5069829
119,臺北市中正區新營共好社區發展協會,中正區,新營里,臺北市中正區新營里金華街20號,0978-865756,25.0316513,121.5204356
120,臺北市內湖區湖興里辦公處,內湖區,湖興里,臺北市內湖區湖興里成功路2段320巷19號3樓,02-27914586,25.0676901,121.5899871
121,財團法人福智慈善基金會(東湖據點),內湖區,五分里,臺北市內湖區五分里東湖路106巷2號、6號、8號1樓,0933-922709,25.068302,121.6154551
122,財團法人福智慈善基金會(內湖據點),內湖區,內湖里,臺北市內湖區內湖里內湖路2段486、488號3樓,02-27963275,25.0843044,121.5933473
123,臺北市內湖區清白社區發展協會,內湖區,清白里,臺北市內湖區清白里星雲街168巷29號1樓臺北市內湖區清白里星雲街161巷3號(清白區民活動中心),0988-117571,25.0811491,121.596101
124,財團法人基督教中國佈道會,內湖區,康寧里,臺北市內湖區康寧里康寧路3段99巷39弄66號,0920-432363,25.0742611,121.6106047
125,財團法人基督教台灣信義會(內湖思恩堂),內湖區,紫星里,臺北市內湖區紫星里康寧路1段62號,0936-649973,25.0757493,121.6094778
126,康寧學校財團法人康寧大學,內湖區,金湖里,臺北市內湖區金湖里康寧路3段75巷137號,02-26321181#683,25.0754813,121.6095569
127,臺北市內湖區石潭社區發展協會,內湖區,石潭里,臺北市內湖區石潭里成功路2段1號,0929-571110,25.0620782,121.5910579
128,臺北市內湖區紫雲社區發展協會,內湖區,紫雲里,臺北市內湖區紫雲里康寧路1段228號1樓,02-27913337 0933-405308,25.0757493,121.6094778
129,臺北市內湖社區安全與健康協進會,內湖區,寶湖里,臺北市內湖區寶湖里民權東路6段208號,0928-598601,25.0668288,121.5965738
130,財團法人台灣基督教恩惠福音會,內湖區,港墘里,臺北市內湖區港墘里內湖路1段608號,02-27971000,25.0823089,121.5683655
131,臺北市內湖區安泰里社區發展協會,內湖區,安泰里,臺北市內湖區安泰里安泰街65巷5號1樓,0917-979715,25.0749478,121.6171464
132,社團法人臺北市麗山社區關懷協會,內湖區,港都里,臺北市內湖區港都里麗山街348巷22號1-2樓及24號2樓,0921-057599,25.081954,121.5742339
133,臺北市內湖區灣仔社區發展協會,內湖區,寶湖里,臺北市內湖區寶湖里民權東路6段208號6樓(臺北市網球中心6樓),0961-365388,25.0675708,121.596956
134,財團法人基督教救世軍(內湖隊),內湖區,西湖里,臺北市內湖區西湖里9鄰內湖路1段285巷63弄7號,0972-272756,25.083938,121.5670711
135,台北市內湖紳士協會,內湖區,港墘里,臺北市內湖區港墘里內湖路1段552號(港墘區民活動中心),0918-819089,25.0787637,121.577007
136,中華民國天使之家全人關懷協會,內湖區,湖興里,臺北市內湖區湖興里成功路2段242號1樓,0920-325521,25.065888,121.5900616
137,臺北市內湖區碧湖社區發展協會,內湖區,金龍里,臺北市內湖區金龍里金龍路136-1號2樓,0935-190396,25.0857648,121.590059
138,財團法人台福基督教會,內湖區,碧山里,臺北市內湖區碧山里內湖路3段143巷7號1樓,02-87928125,25.0871243,121.5896464
139,臺北市內湖區碧湖社區發展協會(金瑞據點),內湖區,金瑞里,臺北市內湖區金瑞里內湖路3段348巷6號(延平宮),0935-245293,25.091276,121.5833733
140,社團法人社區大學全國促進會,內湖區,石潭里,臺北市內湖區石潭里新明路22號純美樓3樓,02-66050919#215,25.0603327,121.5905378
141,財團法人臺北市松年長春社會福利基金會(開元),文山區,木新里,臺北市文山區木新里開元街25、27號,02-29393480,24.9891607,121.5697605
142,臺北市文山區興旺社區發展協會,文山區,興旺里,臺北市文山區興旺里福興路5號,0936-048808,25.0022154,121.5513837
143,臺北市文山區興昌里辦公處,文山區,興昌里,臺北市文山區興昌里辛亥路4段199號,0960-604305,25.0026702,121.5557711
144,台北市文山區景慶社區發展協會,文山區,景慶里,臺北市文山區景慶里景福街159號,0922-313747,24.995373,121.536782
145,臺北市文山區順興里辦公處,文山區,順興里,臺北市文山區順興里保儀路138巷28號2樓;忠順街2段22號2樓(忠順區活)、中崙路13號(忠順廟),0934-143675,24.984471,121.5655202
146,台灣美滿家庭社區服務協會,文山區,萬興里,臺北市文山區萬興里指南路2段11號,0963-328599,24.9884429,121.5734331
147,臺北市文山區華興里辦公處,文山區,華興里,臺北市文山區華興里木柵路1段264號;木柵路1段311巷1號;木柵路2段2巷,0905-991580,25.0250117,121.5450092
148,臺北市文山老人服務暨日間照顧中心(財團法人恆安社會福利慈善事業基金會),文山區,興安里,臺北市文山區興安里興隆路2段88之3號1樓,02-22344893,24.9998821,121.548717
149,臺北市文山區景人社區發展協會,文山區,景仁里,臺北市文山區景仁里景福街5號1樓,0937-939606,24.9993672,121.5392681
150,台灣迦美福音傳播協會,文山區,景華里,臺北市文山區景華里三福街74巷2號1樓,0932-209329 0939-910698,24.9976063,121.5443476
151,社團法人臺北市文山區三福社區發展協會,文山區,萬有里,臺北市文山區萬有里興隆路1段238之1號1樓,0988-622378,24.999017,121.5453128
152,中華民國紅心字會(興隆),文山區,明義里,臺北市文山區明義里興隆路4段105巷47號B棟1樓,02-29367119,24.9881877,121.5629351
153,臺北市文山區萬美里辦公處,文山區,萬美里,臺北市文山區萬美里萬美街2段2巷6號1樓;萬和街2號(萬芳4號公園教室),0972-246039,25.00309,121.5622107
154,社團法人中華恆動能健康促進協會(興安),文山區,興安里,臺北市文山區興安里興隆路2段88之2號1樓、5樓(5F興安區民活動中心、5F文山婦女支持培力中心),0912-868531,25.000355,121.5490035
155,臺北市文山區樟林社區發展協會,文山區,樟腳里,臺北市文山區樟腳里恆光街45號7樓和8樓,0936-694012,24.9824335,121.5673037
156,台北市視尾關懷互助協會,文山區,景慶里,臺北市文山區景慶里萬慶街6號;臺北市文山區景福街281號;臺北市文山區羅斯福路6段393號6~9樓,02-89351788,24.9922808,121.540284
157,財團法人臺北市松年長春社會福利基金會(景華),文山區,景華里,臺北市文山區景華里景華街49巷1號,02-25000261,24.9952774,121.5427611
158,財團法人利伯他茲教育基金會,文山區,木新里,臺北市文山區木新里永安街1號,02-29394359,24.9874482,121.5702677
159,社團法人台北市文山區明興社區發展協會,文山區,明興里,臺北市文山區明興里木柵路2段109巷25弄6號;興隆路4段61號,0917-556568,24.990145,121.562851
160,台北市文山區順興社區發展協會,文山區,順興里,臺北市文山區順興里興隆路4段165巷12號1、2樓(協會活動會所);忠順街2段22號2樓(忠順區民活),0935-859237,24.9840629,121.5626204
161,社團法人中華民國沐光家園癌友關懷協會,文山區,興業里,臺北市文山區興業里興隆路2段220巷51-1號,0922-323338,24.9996658,121.5520065
162,臺北市文山區萬盛里辦公處,文山區,萬盛里,臺北市文山區萬盛里興隆路1段15號3樓,0972-246012,25.0041559,121.5391666
163,臺北市文山區樟新社區發展協會,文山區,樟新里,臺北市文山區樟新里一壽街22號9樓,0905-156910,24.9796917,121.5564657
164,臺北市文山區興福里辦公處,文山區,興福里,臺北市文山區興福里景華街121巷7弄1號,0939-159495,24.996212,121.5467867
165,臺北市文山區政大里辦公處,文山區,政大里,臺北市文山區政大里政大二街51號,0975-586970,24.9868658,121.5834222
166,社團法人中華民國香柏樹長者社區關懷協會(樟新),文山區,樟新里,臺北市文山區樟新里實踐段三小段789地號,0911-183802,24.982055,121.5618619
167,臺北市文山區萬和社區發展協會,文山區,萬和里,臺北市文山區萬和里汀州路4段251號1樓、253號1樓;萬福區民活動中心,02-89310117,25.0019951,121.5359097
168,臺北市文山區忠順社區發展協會,文山區,忠順里,臺北市文山區忠順里興隆路4段145巷9弄3號;興隆路4段145巷30號;忠順街2段22號2樓,0953-229598,24.9852731,121.5620053
169,社團法人臺北市文山區德芳社區發展協會,文山區,興邦里,臺北市文山區興邦里興隆路2段153巷6弄5號1樓;興隆路2段97號4樓,0952-572176,25.0012313,121.5480853
170,社團法人台北市基督教萬芳浸信會,文山區,萬芳里,臺北市文山區萬芳里萬美街1段19巷5號、5-1號,0989-549622,25.0011361,121.5662678
171,社團法人台北市北投區吉慶社區發展協會,北投區,吉慶里,臺北市北投區吉慶里致遠二路61巷2-2號1、2樓,02-28282002,25.1149658,121.5114263
172,社團法人台灣守護有祢生命關懷協會(守護八禱小站),北投區,立農里,臺北市北投區立農里吉利街231號1樓,0983-108777,25.1190201,121.509483
173,社團法人中華健康美好生活協會(洲美),北投區,洲美里,臺北市北投區洲美里福美路207號,0910-302055,25.1002936,121.5050509
174,社團法人台灣守護有祢生命關懷協會(守護復興崗小站),北投區,稻香里,臺北市北投區稻香里稻香路81號6樓(第一教室),0983-108777,25.1409231,121.4892943
175,臺北市北投區硫磺谷社區發展協會,北投區,文化里,臺北市北投區稻香里稻香路81號6樓(稻香區民活動中心)及臺北市北投區文化里文化三路48號1樓,0910-412056,25.1409183,121.4893742
176,臺北市北投區新石牌社區發展協會,北投區,石牌里,臺北市北投區石牌里自強街120巷15弄8號,0919-252656,25.1103163,121.5162782
177,社團法人中華仁親社區關懷協會(北投好厝邊),北投區,中心里,臺北市北投區中心里大業路721號1樓,0933-057832,25.1373166,121.5021377
178,台北市石牌全人關懷協會,北投區,榮華里,臺北市北投區榮華里明德路281號1樓臺北市北投區榮華里明德路283號2樓,0956-728508,25.1150161,121.5221883
179,財團法人台北市北投文化基金會,北投區,林泉里,臺北市北投區林泉里中山路5-12號,02-28917453,25.1377692,121.5089248
180,臺北市北投區振華社區發展協會,北投區,振華里,臺北市北投區振華里裕民一路40巷37號1樓,02-28236110,25.1152229,121.517753
181,台北市北投區福興社區發展協會,北投區,福興里,臺北市北投区福興里自強街5巷22號,0955-404968,25.1104864,121.5124209
182,臺北市北投區我愛石牌社區發展協會,北投區,石牌里,臺北市北投區石牌里建民路116巷13號,0921-895893,25.109843,121.517891
183,臺北市北投區開明社區發展協會,北投區,開明里,臺北市北投區開明里永興路2段8號,0912-818252,25.139828,121.4988651
184,臺北市北投區幸福永和社區發展協會,北投區,永和里,臺北市北投區永和里行義路63號,0928-868298,25.1262348,121.5279581
185,臺北市北投區永和社區發展協會,北投區,永和里,臺北市北投區永和里行義路138-1號1樓,0910-069290,25.129609,121.528045
186,臺北市北投區榮光社區發展協會,北投區,榮光里,臺北市北投區榮光里石牌路1段166巷43弄15號,0910-911378,25.1133685,121.510814
