序號,機構名稱,服務區別,郵遞區號,機構(服務)地址,聯絡電話,聯絡窗口,居家式短照服務(SC09),lat,lon
35,美而美居家長照股份有限公司附設臺北市私立美而美居家長照機構,全區,104020,臺北市中山區錦州街46號12樓之3(R06室),02-2821-2412,蘇小姐,V,25.0601933,121.5258786
36,碩穎健康股份有限公司附設臺北市私立碩穎居家長照機構,松山區、信義區、大安區,110004,臺北市信義區富陽街29號1樓,02-2737-2704,陳小姐,V,25.0229322,121.5564181
37,忠孝事業有限公司附設臺北市私立忠孝居家長照機構,全區,11280,臺北市北投區明德路283號3樓,02-2822-6003,金小姐,V,25.1149841,121.5220992
39,紙飛機服務科技股份有限公司附設臺北市私立紙飛機居家長照機構,萬華區、大同區、中山區、內湖區、南港區、松山區、大安區及信義區,10855,臺北市萬華區西園路1段200號8樓之3,02-2302-5686,陳小姐,V,25.0399027,121.5000866
40,財團法人恆安社會福利慈善事業基金會附設臺北市私立恆安居家式服務類長期照顧服務機構,全區,10882,臺北市大安區和平東路二段295號12樓,02-2333-1955,胡小姐,V,25.0249457,121.5447286
41,馨瀅股份有限公司附設私立馨瀅居家長照機構,全區,10343,臺北市大同區塔城街37號7樓,0959-628-808,詹小姐,V,25.0523704,121.5105468
43,北醫大管理顧問股份有限公司附設私立杏芳居家長照機構,文山區,11665,臺北市文山區景後街190號2樓21,02-2935-0230 轉200,黃小姐,V,24.9901848,121.5417847
44,智慧長照有限公司附設臺北市私立愛關懷居家長照機構,松山區、大安區、文山區、信義區,11670,臺北市信義區忠孝東路5段1號2樓207室,02-7729-7769 轉9,王小姐,V,25.0406521,121.5652968
45,佳顧股份有限公司附設臺北市私立佳顧居家長照機構,士林區、內湖區、松山區、大安區、中山區,10461,臺北市中山區中山北路二段102號11樓,02-2511-2595,馬行政事務負責人,V,25.0600259,121.522633
46,臺北市私立老爺居家長照機構,大安區、文山區,10680,臺北市大安區安和路2段92號B1(A11室),0985-589-453,楊小姐,V,25.0288878,121.5503136
47,臺北市私立大心居家長照機構,"士林區、大同區、大安區、中山區、中正區、文山區,北投區,信義區、萬華區",10866,臺北市萬華區康定路348號2樓21,02-2339-0179,趙先生,V,25.0348959,121.5010542
48,臺北市私立暖心居家長照機構,萬華區、中正區、大同區、士林區,10560,臺北市萬華區萬大路323號7樓702室,02-7751-5315,江小姐,V,25.0243099,121.5004931
49,東和居家有限公司附設臺北市私立東和居家長照機構,全區,105407,臺北市松山區南京東路四段170號4樓之1,02-6605-0630,盧小姐,V,25.0512544,121.5569542
50,優活健康顧問有限公司附設臺北市私立優活居家長照機構,信義區、大安區、文山區,11672,臺北市文山區景福街133巷30號1樓,02-29336682,林小姐,V,24.9956491,121.536953
53,宗展股份有限公司附設臺北市私立辰心居家長照機構,全區,10342,臺北市大同區西寧北路112號4樓之1,02-2550-1966,張小姐,V,25.0561016,121.5088671
54,辰信健康有限公司附設臺北市私立辰信居家長照機構,松山區、信義區、大安區、中山區、中正區,106092,臺北市大安區四維路198巷30弄12號2樓,02-2550-1966 02-2558-0208,侯小姐,,25.026519,121.5458646
55,有限責任臺北市樂見在照顧服務勞動合作社附設私立樂見在居家長照機構,全區,11245,臺北市松山區八德路二段447號7樓,02-2303-0369,楊小姐,V,25.0483304,121.5472699
56,臺北市私立樂齡居家長照機構,"中山區,中正區,大同區、萬華區",103607,臺北市大同區重慶北路一段30號3樓(322室),0920-851-115,陳先生,V,25.054937,121.5139719
57,潤田健康有限公司附設臺北市私立潤田居家長照機構,"信義區、松山區、大安區、文山區、中正區、萬華區,大同區",100057,臺北市中正區湖口街1之3號1樓,0976-752-568,戴先生,V,25.0328126,121.5150202
58,詮順居家長照有限公司附設臺北市私立詮順居家長照機構,全區,104102,臺北市中山區復興北路62號2樓之2,02-2773-0398,廖小姐,V,25.0505318,121.5437918
59,長安健照事業股份有限公司附設臺北市私立長安健照事業居家長照機構,松山區、信義區、大安區、中山區、中正區、大同區、萬華區、南港區、士林區、北投區,10049,臺北市中正區忠孝東路1段35號10樓D室,02-25810519,朱先生,V,25.0452974,121.5216527
61,臺北市私立一心居家長照機構,全區,10555,臺北市松山區延吉街11號4樓之1,02-2578-1018,蔡先生,V,25.0466104,121.5537157
62,一心健康事業股份有限公司附設臺北市私立繫心居家長照機構,全區,105049,臺北市松山區延吉街11號4樓之1(A室),02-2578-1008,唐小姐,V,25.0467212,121.5536621
64,惠安護康科技有限公司附設臺北市私立惠安居家長照機構,全區,11688,臺北市文山區興隆路2段86巷2號1樓,02-8931-0097 0952-654-002,詹小姐,V,24.9997718,121.5483313
65,真心健康事業有限公司附設臺北市私立真心居家長照機構,全區,103009,臺北市大同區歸綏街209號5樓21,02-2550-0108,吳小姐,V,25.0582436,121.5119114
66,愛馨居服有限公司附設臺北市私立愛馨居家長照機構,信義區、大安區、中正區、文山區、松山區、萬華區,100024,臺北市松山區南京東路5段230號2樓之1,02-2341-5924,李小姐,V,25.0518277,121.5574266
67,臺北市私立璞馨居家長照機構,全區,10868,臺北市萬華區東園街66巷21弄51號2樓,02-2305-6626,李小姐,V,25.0266313,121.4953664
68,台灣居護股份有限公司附設臺北市私立聯承居家長照機構,大安區、中正區、文山區、南港區、信義區及松山區,10655,臺北市大安區忠孝東路3段136號11樓1102室,02-82588088,王小姐,V,25.0414535,121.537667
69,皓仁健康照護事業有限公司附設臺北市私立皓仁居家長照機構,信義區、大安區、文山區,106102,臺北市大安區四維路198巷29號2樓,02-7709-3866,吳小姐,V,25.027203,121.5458652
70,沃恩有限公司附設臺北市私立耆樂居家長照機構,內湖區、南港區,114027,臺北市內湖區成功路二段171號1樓,02-2794-6676,鄧小姐,V,25.0661876,121.5906859
71,秉心有限公司附設臺北市私立秉心居家長照機構,全區,10579,臺北市松山區光復北路119-1號2樓,02-2766-6683,陳小姐,V,25.0520821,121.5574105
72,社團法人台灣比較刑法學會附設臺北市私立誠實居家長照機構,松山區、中山區、中正區、士林區、北投區,10045,臺北市中正區重慶南路三段42之3號2樓,02-7751-5512 0902-173-362,劉先生/陳先生,V,25.0282802,121.5155236
73,中華民國紅十字會附設私立博愛居家長照機構,中山區、中正區、大同區、萬華區,10845,臺北市萬華區康定路62號11樓,02-233-10500,陳小姐,V,25.0424485,121.5022653
74,大安健康股份有限公司附設臺北市私立大安居家長照機構,松山區、信義區、大安區、中山區、內湖區,114040,臺北市內湖區民權東路6段123巷16號6樓,0911-625-283,呂先生,V,25.069419,121.5926998
75,泉益居家有限公司附設臺北市私立泉益居家長照機構,全區,11662,臺北市文山區保儀路38號1、2樓,02-86618880,詹先生,V,24.9881441,121.5685203
76,臺北市私立康健居家式長照機構,中山區、南港區、內湖區,11490,臺北市內湖區民權東路6段180巷6號11F之19,02-87919104,吳小姐,V,25.0688364,121.5928053
78,中化銀髮事業股份有限公司附設臺北市私立中化銀髮居家式服務類長期照顧服務機構,全區,11493,臺北市士林區中山北路五段699巷1號1樓,02-2835-5058,陳小姐,V,25.0976625,121.5268776
79,財團法人中華民國佛教慈濟慈善事業基金會臺北市私立慈濟居家長照機構,全區,10862,臺北市萬華區莒光路222號5樓,02-2302-3479,周小姐,V,25.0313309,121.5002379
80,銀享全球股份有限公司附設臺北市私立銀享居家長照機構,松山區、信義區、大安區、中山區、中正區、大同區、文山區,106466,臺北市大同區民權西路136號16樓之7,02-2700-9805; 0933-259-820,梁小姐,V,25.0626752,121.5160296
81,財團法人臺北市松年長春社會福利基金會私立松年長春居家長照機構,松山區、大安區、中山區,10473,臺北市中山區龍江路318巷57號及5號地下室,02-2500-0261,羅社工組長,V,25.0647223,121.5408831
82,溫心企業有限公司附設臺北市私立温心居家長照機構,全區,10488,臺北市中山區復興北路62號3樓之1(6室),02-2751-0515,陳小姐,V,25.0505318,121.5437918
83,臺北市私立安家居家長照機構,信義區、松山區、大安區、文山區、中正區、萬華區、大同區、中山區,11672,臺北市文山區景文街42號3樓302室,02-2933-3468,張小姐,V,24.9917496,121.5412001
84,臺北市私立永欣居家長照機構,士林區、北投區,11258,臺北市北投區中央北路二段371號1樓,02-28916364,陳先生,V,25.1381909,121.487479
85,普眾股份有限公司附設臺北市私立普眾居家長照機構,全區,11500,臺北市南港區昆陽街152巷39號1樓,02-2788-7966,何先生,V,25.0491353,121.5929617
86,鴻源長期照顧股份有限公司附設臺北市私立旭樂居家長照機構,全區,111052,臺北市士林區承德路四段80巷2號3樓,02-2885-8000,賴先生,V,25.0823782,121.5228736
87,優福國際股份有限公司附設臺北市私立優福居家長照機構,大安區、中山區、中正區、大同區、信義區、萬華區,103027,臺北市大同區延平北路三段4號5樓(521室),0919-866-187,高小姐,V,25.0634499,121.5108546
88,元愷有限公司附設臺北市私立安愷居家長照機構,全區,10456,臺北市中山區長安東路1段21號3樓,02-2522-1993,蔡先生,V,25.049818,121.522081
89,臺北市私立可馨居家長照機構,松山區、大安區、信義區、南港區、文山區及中正區,10688,臺北市大安區忠孝東路四段162號12樓之3,0938-818-172,黃小姐,V,25.0412654,121.5502932
90,樂福健康事業有限公司附設臺北市私立樂福居家長照機構,大同區、萬華區、中山區、中正區、松山區,10342,臺北市大同區西寧北路81號5樓之2(111.05.19核准),02-2559-8079,吳小姐,V,25.0559188,121.5091004
91,康捷居家長照有限公司附設臺北市私立康捷居家式服務類長期照顧服務機構,全區,10376,臺北市大同區民權西路225巷6號1樓,02-2599-5980,王小姐,V,25.0637379,121.5119523
92,康和文山樂活股份有限公司附設臺北市私立杏花學社區長照機構,全區,116057,臺北市文山區辛亥路4段128-1號2樓,02-2935-6802,宮小姐,V,25.0052729,121.5565535
93,臺北市私立容禾居家長照機構,大安區、大同區、士林區,103031,臺北市大同區承德路三段109號4樓,0933-655-082; 02-2595-0562,詹小姐,V,25.0667122,121.5186434
94,財團法人獎卿護理展望基金會私立臺北居家長照機構,全區,10644,臺北市大安區和平東路一段216號10樓,02-2364-6040 #24,許小姐,V,25.0260555,121.5318654
96,社團法人寧祈全人健康生命關懷協會附設臺北市私立寧祈居家長照機構,全區,104612,臺北市中山區民生東路1段42號12樓之14,02-2521-3282,趙小姐,V,25.0581638,121.5373768
97,財團法人台北市立心慈善事業基金會附設臺北市私立立心居家式服務類長期照顧服務機構,中正區、大同區、萬華區,10862,臺北市萬華區艋舺大道120巷39弄3號2樓,02-2336-1555 轉21,黃小姐,V,25.0320551,121.502368
98,臺北市私立和美居家長照機構,全區,112030,臺北市北投區北投路一段59號2樓,02-2891-8131,曾小姐,V,25.1260004,121.5006777
99,社團法人中華民國士林靈糧堂社會福利協會附設臺北市私立安馨居家式服務類長期照顧服務機構,松山區、中山區、大同區、南港區、內湖區、士林區、北投區,11171,臺北市士林區延平北路五段83巷28弄11號,02-2811-0515 轉14,蔣助理督導,V,25.081583,121.5091974
100,愛斯特居服有限公司附設臺北市私立愛斯特居家長照機構,大同區、萬華區、大安區、士林區及松山區,103015,臺北市大同區市民大道一段211號11樓之27,0966-366-090 02-25596818,羅先生,V,25.0493429,121.5185202
102,財團法人宜蘭縣私立力麗社會福利慈善事業基金會附設臺北市私立力麗居家式服務類長期照顧服務機構,松山區、信義區、大安區、中山區、中正區,100027,臺北市中正區和平西路1段107號,02-2393-8326 轉23,李小姐,V,25.0631951,121.5151076
103,安德利互聯網股份有限公司附設臺北市私立安德利居家長照機構,全區,10485,臺北市中山區長春路410號10樓之1,0989-135-026,李先生,V,25.0544412,121.5437344
104,私立愛吾愛居家長照機構,全區,10855,臺北市萬華區大理街171-1號2樓207室,02-2308-7286,許小姐,V,25.0340134,121.4949486
105,德力居家有限公司附設臺北市私立德力居家長照機構,松山區、信義區、大安區,106433,臺北市大安區忠孝東路4段300號5樓S21室,0978-634-913; 02-7751-7910,陳小姐,V,25.0420032,121.5334554
106,靜安健康股份有限公司附設臺北市私立靜安健康居家長照機構,全區,105609,臺北市松山區南京東路4段1號8樓820室,02-2579-4883,許先生,V,25.0519742,121.5495307
107,鴻養銀髮事業股份有限公司附設臺北市私立常耕居家長照機構,"大同區,士林區、北投區",111067,臺北市大同區酒泉街102號2樓,02-2812-5820,常先生,V,25.0718756,121.5143593
108,東和居家有限公司附設臺北市私立東正居家長照機構,全區,116025,臺北市文山區景文街42號3樓305室,0937-802-863,詹小姐,V,24.9917496,121.5412001
109,財團法人佳醫健康基金會附設臺北市私立佳醫居家長照機構,全區,10571,臺北市松山區南京東路五段8-10號503室,02-2528-0502,朱小姐,V,25.0512298,121.5583746
110,美樺股份有限公司附設私立美美居家長照機構,全區,100418,臺北市中正區重慶南路1段121號5樓之2,02-2370-0021 轉23,林小姐,V,25.0468814,121.5134147
111,善誠健康事業股份有限公司附設臺北市私立大安善誠居家長照機構,松山區、大安區、文山區,106429,臺北市大安區忠孝東路4段148號7樓717室,02-2779-0951,王小姐,V,25.0420032,121.5334554
112,聯心健康顧問有限公司附設臺北市私立聯珩居家長照機構,全區,106468,臺北市大安區復興南路一段368號13樓(A6),02-2701-5685; 0916-686-876,王先生,V,25.0348427,121.5432866
113,謙和園健康福祉有限公司附設臺北市私立溫邸家居家長照機構,全區,10447,臺北市中山區新生北路二段72巷23號1樓,2568-1589,馬小姐,V,25.0571745,121.5266077
115,財團法人一粒麥子社會福利慈善事業基金會附設臺北市私立有福居家長照機構,中正區、萬華區,108029,臺北市萬華區興寧街66巷2號1樓,02-2301-8646,趙小姐,,25.0320537,121.4995334
116,廣和順科技股份有限公司附設私立家天使居家長照機構,松山區、信義區、大安區、中山區、中正區、大同區、萬華區、文山區、南港區、內湖區,110053,臺北市信義區信義路四段401號8樓,02-2758-8708 轉17,邱小姐,V,25.0333722,121.5587752
117,臺北市私立悠樂活居家長照機構,全區,10363,臺北市大同區重慶北路一段67號3樓,02-77467520 轉805,王小姐,V,25.051808,121.5141258
118,京鶴實業有限公司附設臺北市私立悅康居家長照機構,全區,10047,臺北市中正區許昌街42之1號7樓700室,02-2370-9008,賴先生,V,25.0451628,121.5156237
119,臺北市私立來服居家長照機構,松山區、信義區、大安區、中山區、中正區、大同區、萬華區、文山區,106448,臺北市大安區忠孝東路四段221號12樓(1230室),02-8773-7858,褚小姐,V,25.0416991,121.5525656
120,安心好生活股份有限公司附設臺北市私立佳愛居家長照機構,全區,10492,臺北市中山區長安東路2段230號6樓之5,02-2711-0922,林小姐,V,25.049564,121.521914
121,社團法人中國家庭教育協進會附設臺北市私立敬老居家式服務類長期照顧服務機構,全區,104474,臺北市中山區松江路131之12號6樓,02-2509-0266,陳先生,,25.0541329,121.5333496
122,臺北市私立寬安居家長照機構,大安區、中山區、中正區、大同區、萬華區,108029,臺北市萬華區莒光路328號6樓,02-2308-1977 轉200,林小姐,V,25.0313466,121.4975218
123,夢想銀髮方舟股份有限公司附設臺北市私立花博居家長照機構,松山區、大安區、中山區、大同區,105405,臺北市松山區南京東路3段311號8樓,02-2545-5556,陳先生,V,25.0520634,121.5527246
124,奇恩健康有限公司附設臺北市私立翔旭居家長照機構,全區,103019,臺北市大同區寧夏路23-1號2樓206室,02-2325-0067,周先生,V,25.0551446,121.5151505
125,永欣健康股份有限公司附設臺北市私立金永欣居家長照機構,大安區、大同區、士林區、北投區,112037,臺北市北投區吉利街123巷16號1樓,0976-031-606,謝先生,V,25.1191127,121.506438
126,臺北市私立麗康居家長照機構,大同區、中山區、中正區、萬華區、士林區,10347,臺北市中山區中山北路二段162號7樓之1(706)室,02-2553-2379,吳小姐,V,25.0632439,121.5222696
127,傳家寶國際青銀教育有限公司私立傳家寶居家長照機構,全區,104492,臺北市中山區松江路124巷23號5樓,02-2557-0968 分機11,陳小姐,V,25.0526963,121.5308867
128,四正勤關懷照護有限公司附設臺北市私立四正勤居家長照機構,全區,103027,臺北市大同區延平北路3段4號5樓之1(R530室),02-7751-6013 0932-820-355,丁小姐,V,25.0634463,121.5110533
129,臺北市私立誠達居家長照機構,全區,110028,臺北市信義區忠孝東路5段476號8樓802室,0910-559-060,陳小姐,V,25.0406521,121.5652968
130,國軒企業有限公司附設臺北市私立國軒居家長照機構,士林區、北投區,112011,臺北市北投區中和街395號1樓,02-2891-9157,賴小姐,V,25.1426708,121.4984371
131,苷心有限公司附設臺北市私立苷心居家長照機構,全區,106077,臺北市大安區車層里忠孝東路四段235號11樓1113室,0905-817-541,白小姐,V,25.041762,121.553756
132,湘寓蒔光有限公司附設臺北市私立湘寓蒔光居家長照機構,全區,112028,臺北市北投區北投路2段9號5樓之2,0989-486-698,劉小姐,V,25.1304154,121.4990093
133,凱安居家有限公司附設臺北市私立凱安居家長照機構,松山區、信義區、大安區、文山區,106071,臺北市大安區敦化南路一段192號3樓之3,0963-227-924,黃小姐,V,25.0425267,121.5485
134,星樂活健康長期照顧股份有限公司附設臺北市私立星樂活居家式長期照顧服務機構,松山區、信義區、大安區,106471,臺北市大安區信義路四段6號15樓之9,02-7744-3695,廖小姐,V,25.0329618,121.5453497
135,瑞兆居服股份有限公司附設臺北市私立瑞兆居家長照機構,全區,104621,臺北市中山區民生東路2段119號3樓之3,02-2537-3968,賴小姐,V,25.0576372,121.5376791
136,樂銓管理顧問股份有限公司附設臺北市私立慶銓居家長照機構,松山區、信義區、大安區、中山區、中正區、大同區、萬華區、內湖區、士林區,103001,臺北市大同區西寧北路78-18號913室,02-2986-6262,花小姐,V,25.0544171,121.5087152
137,有限責任臺北市育坊社區照護勞動合作社私立育坊居家長照機構,中山區、大同區、士林區、北投區,112009,臺北市北投區大同街299號,02-2895-7520,張小姐,,25.1398203,121.4992354
138,龍騰長期照護有限公司附設臺北市私立童馨園居家長照機構,松山區 中山區、中正區、大同區、萬華區,108053,臺北市萬華區萬大路323號7樓(705室),0922-166-251,吳小姐,V,25.0243099,121.5004931
139,財團法人天主教失智老人社會福利基金會附設臺北市私立聖若瑟居家式服務類長期照顧機構,大同區、萬華區,108040,台北市萬華區德昌街119號1樓,02-2309-8728,葉組長,V,25.02418,121.496851
140,泉益居家有限公司附設臺北市私立眾益居家長照機構,大安區、中山區、中正區、大同區、萬華區,108033,臺北市萬華區萬大路322巷67號,02-2305-8860,邵小姐,V,25.0244594,121.4980064
141,財團法人中華民國唐氏症基金會附設臺北市私立唐氏症居家長照機構,內湖區、南港區,115011,臺北市南港區忠孝東路七段520號7樓,02-2789-1966#27,黃先生,V,25.0523336,121.6108117
142,長耘股份有限公司附設臺北市私立協樂居家長照機構,松山區、信義區、大安區,106468,臺北市大安區復興南路一段368號13樓(F1303室),02-7728-8848,徐小姐,V,25.0348427,121.5432866
