序號,行政區,里別,據點名稱,據點類型,據點地址,聯絡電話,lat,lon
12,士林區,平等里,臺北市士林區平等國民小學,社區照顧關懷據點 樂齡學堂,臺北市士林區平等里平菁街101號,02-28610503#820,25.1289202,121.5759912
13,士林區,永倫里,臺北市士林區社子國民小學,社區照顧關懷據點 樂齡學堂,臺北市士林區永倫里延平北路6段308號,02-2812-2505#873,25.0902432,121.5028742
14,士林區,名山里,臺北市士林區芝山岩社區發展協會,社區照顧關懷據點 4-5時段,臺北市士林區名山里雨聲街68號(芝山岩區民活動中 心),0911-328596,25.1036648,121.5288741
15,士林區,名山里,臺北市士林區幸福名山社區發展協會,社區照顧關懷據點 8-9時段,臺北市士林區名山里雨聲街68號 芝山岩區民活動中 心,0932-353435,25.1036648,121.5288741
16,士林區,名山里,臺北市士林區雨農國民小學,社區照顧關懷據點 樂齡學堂,臺北市士林區名山里忠義街1號,02-28329700#245,25.1049797,121.5296853
17,士林區,百齡里,台北市劍橋有愛全人關懷協會,社區照顧關懷據點 6-7時段,臺北市士林區百齡里福港街244巷3號1樓、臺北市 士林區百齡里福港街244巷4號2樓,0918-090527,25.0842964,121.5172144
18,士林區,岩山里,財團法人台北市華夏婦女文教基金會,社區照顧關懷據點 8-9時段,臺北市士林區岩山里至誠路1段62巷28號,02-28318025,25.1010597,121.5372188
19,士林區,忠誠里,臺北市士林區忠義社區發展協會,社區照顧關懷據點 8-9時段,臺北市士林區忠誠里德行東路104巷9弄8號旁里民 活動中心,02-28310943,25.1066967,121.5289939
20,士林區,承德里,臺北市士林區承德社區發展協會,社區照顧關懷據點 2-3時段,臺北市士林區承德里承德路4段58巷56弄1號1樓,02-28859257,25.082746,121.5207927
21,士林區,東山里,臺北市士林區東山里辦公處,社區照顧關懷據點 2-3時段,臺北市士林區東山里士東路320巷2號1樓,0986-666969,25.113504,121.538604
22,士林區,社園里,臺北市三樂樂齡關懷協會,社區照顧關懷據點 8-9時段,臺北市士林區社園里社中街226號1樓,0972-990917,25.0913621,121.5081024
23,士林區,社新里,財團法人台灣基督長老教會三角埔教 會,社區照顧關懷據點 4-5時段,臺北市士林區社新里延平北路6段261巷3號,0933-125685,25.0888536,121.503941
24,士林區,芝山里,臺北市士林區芝山國民小學,社區照顧關懷據點 樂齡學堂,臺北市士林區芝山里德行東路285號,02-28316115#250,25.1109119,121.5366881
25,士林區,前港里,財團法人新北市基督教新希望教會 (百齡長青),社區照顧關懷據點 10個時段,臺北市士林區前港里承德路4段190號4樓,0970-865525,25.0872006,121.5222819
26,士林區,後港里,財團法人台灣聖公會(牧愛堂),社區照顧關懷據點 8-9時段,臺北市士林區後港里中正路511號,02-28816317,25.0913588,121.5174651
27,士林區,富光里,臺北市士林區富光里辦公處,社區照顧關懷據點 8-9時段,臺北市士林區富光里葫蘆街62號,02-28160879,25.08085,121.5087503
28,士林區,富光里,臺北市士林海光社區發展協會,社區照顧關懷據點 8-9時段,臺北市士林區富光里葫蘆街86號1樓,0953-022989,25.0818787,121.5083523
29,士林區,富洲里,台北海洋學校財團法人台北海洋科技 大學,社區照顧關懷據點 2-3時段,臺北市士林區富洲里延平北路9段212號,0955-907688,25.1081747,121.471137
30,士林區,富洲里,臺北市士林區富安國民小學,社區照顧關懷據點 樂齡學堂,臺北市士林區富洲里延平北路8段135號,02-21803192#651,25.1054642,121.4825723
31,士林區,義信里,社團法人中華仁親社區關懷協會,社區照顧關懷據點 6-7時段,臺北市士林區義信里基河路128號2樓,0956-885626,25.0885079,121.5233244
32,士林區,葫東里,臺北市士林區葫東里辦公處,社區照顧關懷據點 8-9時段,臺北市士林區葫東里中正路589號1樓,0933-716265,25.0866496,121.5107238
33,士林區,葫蘆里,臺北市士林區葫蘆里辦公處,社區照顧關懷據點 6-7時段,臺北市士林區葫蘆里葫蘆街137號,0958-972685,25.0838426,121.5086165
34,士林區,福中里,社團法人中華仁親社區關懷協會(福 中好厝邊),社區照顧關懷據點 2-3時段,臺北市士林區福中里福港街151號10樓,0936-321032,25.087166,121.517745
35,士林區,福志里,社團法人中華悅齡長照關懷協會,社區照顧關懷據點 8-9時段,臺北市士林區福志里雨農路92號之1(1樓社區教室 B)、臺北市士林區中山北路5段685號3樓之1,02-28327510,25.0997907,121.5328129
36,士林區,福佳里,財團法人臺北市現代悅齡社會福利基 金會,社區照顧關懷據點 10個時段,臺北市士林區福佳里華聲街17號5樓,02-27565010,25.096592,121.5225494
37,士林區,福佳里,臺北市士林區福佳社區發展協會,社區照顧關懷據點 4-5時段,臺北市士林區福佳里文昌路166-1號(文昌區民活動 中心),0916-062297,25.0981448,121.5203735
38,士林區,福林里,臺北市體適能指導工作人員職業工會 (福林里),社區照顧關懷據點 2-3時段,臺北市士林區福林里中正路187巷26號,02-28922200,25.0947209,121.5273211
39,士林區,福順里,臺北市士林區福順里辦公處,社區照顧關懷據點 8-9時段,臺北市士林區福順里延平北路5段136巷24號(福順 里里民活動場所),02-28160989,25.0820854,121.5114478
40,士林區,福德里,臺北市士林區福德里辦公處,社區照顧關懷據點 4-5時段,臺北市士林區福德里福德路81巷14號,0970-389017,25.0923428,121.5213199
41,士林區,福德里,社團法人台北市士林全人關懷協會,社區照顧關懷據點 6-7時段,臺北市士林區福德里中正路335巷 9號&11號,0953-469293,25.0940496,121.5232797
42,士林區,福德里,臺北市士林區士林國民小學,社區照顧關懷據點 樂齡學堂,臺北市士林區福德里大東路165號,02-28812231#243,25.0924085,121.5248232
43,士林區,翠山里,財團法人台北市中華基督教浸信會慈 光堂,社區照顧關懷據點 10個時段,臺北市士林區翠山里中社路1段43巷1號,0912-007084,25.1087676,121.5613135
44,士林區,德行里,臺北市士林區蘭興里辦公處,社區照顧關懷據點 4-5時段,臺北市士林區德行里德行西路30號(仰德區民活動中 心),02-88664298,25.1054052,121.5233249
45,士林區,德行里,臺北市士林區德行里辦公處,社區照顧關懷據點 6-7時段,臺北市士林區德行里德行西路30號,02-88662865,25.1054699,121.5234851
46,士林區,臨溪里,臺北市立至善國中,社區照顧關懷據點 樂齡學堂,臺北市士林區臨溪里至善路2段360號,02-28411350#50,25.1036391,121.5555851
47,士林區,蘭興里,財團法人福智慈善基金會(天母),社區照顧關懷據點 8-9時段,臺北市士林區蘭興里中山北路6段243號1樓,02-28382503#0,25.1092337,121.5251501
48,大同區,大有里,臺北市大同區大有里辦公處,社區照顧關懷據點 6-7時段,臺北市大同區大有里民樂街115號1樓,02-25577229,25.057481,121.510681
49,大同區,民權里,臺北市大同區柴寮仔社區發展協會,社區照顧關懷據點 6-7時段,臺北市大同區民權里民權西路172號1樓,0932-844756,25.062729,121.5150317
50,大同區,永樂里,臺北市大同區永樂里辦公處,社區照顧關懷據點 4-5時段,臺北市大同區永樂里南京西路239巷31號,0930-087087,25.053761,121.509232
51,大同區,永樂里,社團法人台北市歐伊寇斯OIKOS社 區關懷協會,社區照顧關懷據點 8-9時段,臺北市大同區永樂里延平北路2段60巷2號,02-25588896#633,25.055393,121.5115213
52,大同區,玉泉里,臺北市大同區玉泉里辦公處,社區照顧關懷據點 4-5時段,臺北市大同區玉泉里西寧北路11號,0979-305833,25.0523116,121.5086659
53,大同區,玉泉里,臺北市忠孝國民中學,社區照顧關懷據點 樂齡學堂,臺北市大同區玉泉里西寧北路32號,02-25524890#61,25.050985,121.5072911
54,大同區,光能里,財團法人一粒麥子社會福利慈善事業 基金會,社區照顧關懷據點 10個時段,臺北市大同區光能里承德路2段33之1號1樓;33號2 樓,02-23320669#12,25.0546795,121.5184019
55,大同區,至聖里,天主教耕莘醫療財團法人永和耕莘醫 院(大騙老人住宅),社區照顧關懷據點 10個時段,臺北市大同區至聖里民族西路105號4樓及4樓之1,02-66178186,25.0687846,121.5170522
56,大同區,至聖里,臺北市大同信望愛關懷協會(門諾),社區照顧關懷據點 4-5時段,臺北市大同區至聖里重慶北路3段223巷43、45、 47號,0917-899289,25.0705638,121.5155384
57,大同區,延平里,臺北市大同區延平里辦公處,社區照顧關懷據點 2-3時段,臺北市大同區延平里甘州街12號,0928-823380,25.0585254,121.5127933
58,大同區,保安里,社團法人中華無齡酷活協會,社區照顧關懷據點 4-5時段,臺北市大同區保安里重慶北路3段313巷25號2樓,0914-000083,25.0742327,121.5149002
59,大同區,南芳里,社團法人中華國際照顧發展協會,社區照顧關懷據點 2-3時段,臺北市大同區南芳里迪化街1段296號,02-25505567 0910-381106,25.0609526,121.5094186
60,大同區,南芳里,臺北市大同區太平國民小學,社區照顧關懷據點 樂齡學堂,臺北市大同區南芳里延平北路2段239號,02-25532229#840,25.0617939,121.5119282
61,大同區,建功里,臺北市大同區圓環社區發展協會,社區照顧關懷據點 8-9時段,臺北市大同區建功里重慶北路1段83巷37號,0935-604700,25.0495802,121.5136357
62,大同區,建泰里,財團法人台北市建成基督長老教會,社區照顧關懷據點 6-7時段,臺北市大同區建泰里承德路1段77巷29號1樓,02-25580685,25.0521949,121.5202958
63,大同區,建泰里,臺北市私立志仁高中職業進修學校,社區照顧關懷據點 樂齡學堂,臺北市大同區建泰里南京西路64巷17號,02-25551656#16,25.0521994,121.5188031
64,大同區,星明里,臺北市大同區星明社區發展協會,社區照顧關懷據點 4-5時段,臺北市大同區星明里太原路161巷4號,0938-631165,25.0553249,121.5175357
65,大同區,重慶里,臺北市大同區慶安社區發展協會,社區照顧關懷據點 8-9時段,臺北市大同區重慶里敦煌路90號1樓，臺北市大同 區重慶里敦煌路92號1樓,0931-101838,25.0758656,121.5169613
66,大同區,重慶里,大同老人服務暨日間照顧中心,社區照顧關懷據點 功能型(老服中心),臺北市大同區重慶里重慶北路3段347號3樓,02-25929808,25.0747849,121.5140737
67,大同區,國慶里,臺北市大同區國慶社區發展協會,社區照顧關懷據點 2-3時段,臺北市大同區國慶里重慶北路3段136巷18號;臺北 市大同區國慶里重慶北路3段136巷20號,02-25940089,25.067642,121.5129185
68,大同區,國慶里,臺北市大同區國慶里辦公處,社區照顧關懷據點 4-5時段,臺北市大同區國慶里民族西路260號1樓;重慶北路 3段76號4樓(區活大禮堂),0930-858876,25.0684869,121.5121187
69,大同區,景星里,臺北市大同區景星里辦公處,社區照顧關懷據點 4-5時段,臺北市大同區景星里伊寧街75巷4號1樓;臺北市大 同區迪化街1段374號2樓,0981-962269,25.0648933,121.510308
70,大同區,景星里,財團法人臺北市松年長春社會福利基 金會(大橋),社區照顧關懷據點 8-9時段,臺北市大同區景星里迪化街2段65號、67號1樓,02-25974784,25.064832,121.5094468
71,大同區,朝陽里,臺北市大同區真善美社區發展協會,社區照顧關懷據點 4-5時段,臺北市大同區朝陽里天水路51巷4號2樓及4-1號2樓,0939-613118,25.0528382,121.5126772
72,大同區,朝陽里,台北市朝陽服飾材料街區發展協會,社區照顧關懷據點 6-7時段,臺北市大同區朝陽里重慶北路2段46巷6號,0936-229268,25.0552017,121.5138158
73,大同區,隆和里,臺北市大同區隆和里辦公處,社區照顧關懷據點 4-5時段,臺北市大同區隆和里景化街46號,0922-799261,25.0650578,121.5125801
74,大同區,隆和里,社團法人中華視障安養福利協會,社區照顧關懷據點 6-7時段,臺北市大同區隆和里伊寧街37號1樓,02-25952872,25.0647371,121.5122298
75,大同區,蓬萊里,社團法人中華萌愛關懷協會,社區照顧關懷據點 8-9時段,臺北市大同區蓬萊里承德路3段60號B1,02-25931138,25.0653101,121.5180203
76,大同區,蓬萊里,臺北市大同區大同國小,社區照顧關懷據點 樂齡學堂,臺北市大同區蓬萊里大龍街51號,02-25965407#361,25.0648806,121.5161576
77,大同區,雙連里,台北市777銀髮族協會,社區照顧關懷據點 4-5時段,臺北市大同區雙連里承德路2段215號7樓之2,0928-828420,25.0598997,121.518433
78,大安區,大學里,臺北市大安區大學里辦公處,社區照顧關懷據點 4-5時段,臺北市大安區大學里溫州街74巷2弄4號1樓;新生 南路3段86號,02-23622674,25.0199543,121.5327674
79,大安區,大學里,社團法人中華民國香柏樹長者社區關 懷協會(台電),社區照顧關懷據點 6-7時段,臺北市大安區大學里羅斯福路3段275號3樓,0928-551924,25.0183858,121.5309527
80,大安區,大學里,社團法人中華民國香柏樹長者社區關 懷協會(台大),社區照顧關懷據點 6-7時段,臺北市大安區大學里新生南路3段86號4樓、8樓、9 樓,0988-790144,25.0186006,121.5331196
81,大安區,仁愛里,臺北市大安區仁愛里辦公處,社區照顧關懷據點 2-3時段,臺北市大安區仁愛里復興南路1段191-1號,0988-179808,25.0401074,121.5440007
82,大安區,仁愛里,社團法人台灣喜樂家族協會(大安),社區照顧關懷據點 4-5時段,臺北市大安區仁愛里忠孝東路4段126-19號7樓,0908-807938,25.0414432,121.5441092
83,大安區,仁慈里,臺北市大安區仁慈里辦公處,社區照顧關懷據點 2-3時段,臺北市大安區仁慈里復興南路1段295巷18號1樓; 279巷26號1樓;信義路4段1號11樓之6,0988-136600,25.0367328,121.5433687
84,大安區,仁慈里,財團法人成長文教基金會,社區照顧關懷據點 8-9時段,臺北市大安區仁慈里東豐街1號2樓,02-27000657,25.0361475,121.5438732
85,大安區,古風里,臺北市大安區古風里辦公處,社區照顧關懷據點 4-5時段,臺北市大安区古風里泰順街54巷23號;龍坡里辛亥 路1段臨141號,0988-179816,25.0229304,121.5294758
86,大安區,古風里,臺北市大安區古風社區發展協會,社區照顧關懷據點 6-7時段,臺北市大安區古風里師大路117巷1、3號(芒果香 草園);龍坡里辛亥路1段臨141號(辛亥區活),0910-951259,25.0222495,121.5286446
87,大安區,古莊里,臺北市大安區古莊里辦公處,社區照顧關懷據點 4-5時段,臺北市大安區古莊里浦城街16巷2號,02-23696193,25.02362,121.5266297
88,大安區,古莊里,臺北市大安區古莊社區發展協會,社區照顧關懷據點 8-9時段,臺北市大安區古莊里羅斯福路2段81巷16弄1-2號2 樓;浦城街16巷2號,02-23696262,25.0255496,121.5245957
89,大安區,民炤里,臺北市大安區新民炤社區發展協會,社區照顧關懷據點 10個時段,臺北市大安區民炤里建國南路1段286巷35號1樓、48號1樓,02-27012389,25.0345817,121.5382079
90,大安區,民炤里,臺北市大安區民炤里辦公處,社區照顧關懷據點 6-7時段,臺北市大安區民炤里信義路3段31巷5號，5-1號1 樓;新生南路1段157巷19號3樓,02-27008406,25.0341435,121.5347259
91,大安區,民炤里,臺北市大安區幸安國民小學,社區照顧關懷據點 樂齡學堂,臺北市大安區仁愛路3段22號,02-27074191#3402,25.0374,121.534971
92,大安區,民輝里,臺北市大安區民輝里辦公處,社區照顧關懷據點 2-3時段,臺北市大安區民輝里濟南路3段9號3樓,0988-179810,25.0403155,121.5337239
93,大安區,永康里,臺北市大安區永康里辦公處,社區照顧關懷據點 6-7時段,臺北市大安區永康里金華街199巷3弄6號1樓,0931-234954,25.030536,121.528429
94,大安區,光明里,臺北市大安區光明里辦公處,社區照顧關懷據點 8-9時段,臺北市大安區光明里信義路2段86巷26號,0928-924384,25.0337801,121.5258274
95,大安區,光明里,臺北市私立金甌女子高級中學,社區照顧關懷據點 樂齡學堂,臺北市大安區光明里杭州南路2段1號,02-23915081#25,25.0348377,121.5242651
96,大安區,光信里,臺北市大安區光信里辦公處,社區照顧關懷據點 2-3時段,臺北市大安區光信里延吉街236巷17號2樓,02-27032357,25.0364046,121.5551056
97,大安區,光信里,財團法人福智慈善基金會(安和據 點),社區照顧關懷據點 8-9時段,臺北市大安區光信里信義路4段265巷21弄3號1樓,02-27015861,25.0344478,121.5546889
98,大安區,全安里,臺北市大安區全安里辦公處,社區照顧關懷據點 4-5時段,臺北市大安區全安里和平東路3段119巷25號1樓,0988-179836,25.02644,121.5332197
99,大安區,住安里,臺北市大安區住安社區發展協會,社區照顧關懷據點 8-9時段,臺北市大安區住安里信義路4段30巷27弄24號1、2 樓,02-27550387,25.0321507,121.545737
100,大安區,車層里,臺北市大安區車層里辦公處,社區照顧關懷據點 2-3時段,臺北市大安區車層里忠孝東路4段285號5樓,02-27119800,25.0414432,121.5441092
101,大安區,和安里,社團法人天主教中華基督神修小會之 友人文關懷與服務促進協會(大安),社區照顧關懷據點 4-5時段,臺北市大安區和安里信義路3段147巷15弄23號1樓,02-25230538,25.0351704,121.5427674
102,大安區,法治里,臺北市大安區法治里辦公處,社區照顧關懷據點 6-7時段,臺北市大安區法治里通化街192號,0980-403536,25.0261602,121.5529248
103,大安區,法治里,台北市通化玫瑰社會關懷協會,社區照顧關懷據點 6-7時段,臺北市大安區法治里通化街178號1樓,0921-893081,25.0275589,121.5532941
104,大安區,臥龍里,臺北市大安區臥龍里辦公處,社區照顧關懷據點 4-5時段,臺北市大安區臥龍里復興南路2段355號1樓,0908-415053,25.0231045,121.5435586
105,大安區,芳和里,社團法人中華生命關愛協會,社區照顧關懷據點 4-5時段,臺北市大安區芳和里和平東路3段212巷12號,0922-407837,25.026482,121.533964
106,大安區,芳和里,臺北市大安區大安國民小學,社區照顧關懷據點 樂齡學堂,臺北市大安區芳和里臥龍街129號,02-27322332#843,25.0189218,121.5504269
107,大安區,建倫里,財團法人台北市城東基督長老教會,社區照顧關懷據點 8-9時段,臺北市大安區建倫里安和路1段45號1樓、43號2 樓、47號3樓,02-27711282,25.039561,121.5505587
108,大安區,通化里,臺北市大安區通化里辦公處,社區照顧關懷據點 4-5時段,臺北市大安區通化里通化街19巷19號,0932-210203,25.0317654,121.5552833
109,大安區,通安里,臺北市大安區通安里辦公處,社區照顧關懷據點 4-5時段,臺北市大安區通安里通安街98號,02-23511711#8265,25.0297834,121.5529532
110,大安區,敦煌里,臺北市大安區敦煌里辦公處,社區照顧關懷據點 4-5時段,臺北市大安區敦煌里信義路4段265巷21弄22號1樓,0932-396218,25.0337041,121.5557001
111,大安區,新龍里,臺北市大安區新龍里辦公處,社區照顧關懷據點 4-5時段,臺北市大安區新龍里信義路3段134巷82號2樓,0922-588173,25.0294137,121.5392804
112,大安區,新龍里,臺北市大安區大安新龍社區發展協會,社區照顧關懷據點 6-7時段,臺北市大安區新龍里信義路3段134巷98號1樓:82 號2樓,02-7067771,25.0290764,121.5389947
113,大安區,群英里,臺北市大安區群英里辦公處,社區照顧關懷據點 10個時段,臺北市大安區群英里四維路198巷30弄9號1樓; 198巷38弄2、4、8號1樓;198巷42、44號,0911-598530,25.026519,121.5458646
114,大安區,群賢里,臺北市大安區群賢里辦公處,社區照顧關懷據點 2-3時段,臺北市大安區群賢里和平東路2段311巷43弄36號1 樓,02-27003623,25.026419,121.533962
115,大安區,群賢里,財團法人台灣基督長老教會大安教會,社區照顧關懷據點 6-7時段,臺北市大安區群賢里和平東路3段1巷51號,0939-431678,25.026482,121.533964
116,大安區,義安里,臺北市大安區新義安社區發展協會,社區照顧關懷據點 4-5時段,臺北市大安區義安里敦化 南路2段11巷38弄9號1樓,0910-161606,25.0320902,121.550968
117,大安區,義安里,臺北市東方高級工商職業學校,社區照顧關懷據點 樂齡學堂,臺北市大安區義安里信義路4段186巷8號,02-27069285,25.0318429,121.5510932
118,大安區,義村里,臺北市大安區義村里辦公處,社區照顧關懷據點 2-3時段,臺北市大安區義村里忠孝東路3段248巷7弄4號1樓,02-27119084,25.0416091,121.5412737
119,大安區,義村里,臺北市立懷生國民中學,社區照顧關懷據點 樂齡學堂,臺北市大安區義村里忠孝東路3段248巷30號,02-27215078#553,25.0416091,121.5412737
120,大安區,誠安里,臺北市大安區安東社區發展協會,社區照顧關懷據點 10個時段,臺北市大安區誠安里安東街28號1樓、31之1號1 樓;中山區埤頭里市民大道3段209號1樓,0932-154320,25.0454213,121.543015
121,大安區,誠安里,臺北市大安區誠安里辦公處,社區照顧關懷據點 4-5時段,臺北市大安區誠安里安東街28號1樓;31之1號1 樓;中山區埤頭里市民大道3段209號1樓,02-27715532,25.0454213,121.543015
122,大安區,福住里,臺北市大安區福住里辦公處,社區照顧關懷據點 4-5時段,臺北市大安區福住里永康街47巷10之1號,0936-173519,25.0300454,121.5301374
123,大安區,德安里,社團法人台灣德安社會福利協會(大 安老人服務暨日間照顧中心),社區照顧關懷據點 6-7時段,臺北市大安區德安里四維路76巷12號,02-27086255,25.0342045,121.5473046
124,大安區,黎元里,社團法人台灣厝邊有愛關懷協會(六 張犁),社區照顧關懷據點 8-9時段,臺北市大安區黎元里臥龍街215號,02-27329041 0910-103200,25.0185119,121.5535662
125,大安區,學府里,臺北市大安區學府社區發展協會,社區照顧關懷據點 4-5時段,臺北市大安區學府里羅斯福路4段119巷66弄12號,0953-222343,25.0094299,121.539334
126,大安區,學府里,臺北市大安區銘傳國民小學,社區照顧關懷據點 樂齡學堂,臺北市大安區學府里羅斯福路4段21號,02-23639815#17,25.0140644,121.5356248
127,大安區,錦安里,臺北市大安區錦町社區發展協會,社區照顧關懷據點 6-7時段,臺北市大安區錦安里潮州街130巷3號1樓;永康街 60號4樓,0928-494909,25.0285555,121.527565
128,大安區,錦安里,國立臺灣師範大學學務處全人教育中 心,社區照顧關懷據點 8-9時段,臺北市大安區錦安里和平東路1段129號,02-77496786,25.0274561,121.5285368
129,大安區,錦泰里,臺北市大安區錦泰里辦公處,社區照顧關懷據點 4-5時段,臺北市大安區錦泰里杭州南路2段61巷6號1樓;杭 州南路2段65巷10號1樓,02-23918123,25.0297071,121.5227893
130,大安區,錦華里,臺北市大安區錦華里辦公處,社區照顧關懷據點 4-5時段,臺北市大安區錦華里杭州南路2段93巷1-1號;潮州 街68號,0988-179824,25.0286154,121.5221514
131,大安區,龍生里,臺北市大安區龍生里辦公處,社區照顧關懷據點 4-5時段,臺北市大安區龍生里和平東路2段107巷9號,0988-179829,25.026419,121.533962
132,大安區,龍安里,社團法人台灣厝邊有愛關懷協會(台 北和平),社區照顧關懷據點 8-9時段,臺北市大安區龍安里和平東路1段183巷9號1樓;11 弄1號1樓,02-23510087#201,25.0263477,121.5330343
133,大安區,龍坡里,臺北市大安區龍坡里辦公處,社區照顧關懷據點 2-3時段,臺北市大安區龍坡里辛亥路1段臨141號,0933-155369,25.00046,121.5545729
134,大安區,龍坡里,中華民國紅十字會台灣省分會(新 生),社區照顧關懷據點 6-7時段,臺北市大安區龍坡里新生南路3段20-1號4樓,02-23630098,25.0242363,121.534439
135,大安區,龍門里,社團法人台灣愛鄰社區服務協會,社區照顧關懷據點 6-7時段,臺北市大安區龍門里新生南路3段11巷15號1樓、3 樓,02-23623022#8713,25.0251767,121.5366951
136,大安區,龍陣里,社團法人臺北市永健長青促進協會,社區照顧關懷據點 10個時段,臺北市大安區龍陣里瑞安街71巷5弄1號1樓;瑞安 街75號3樓;新龍里信義路3段134巷82號2樓,0932-384519,25.0281623,121.5416701
137,大安區,龍陣里,臺北市大安區龍陣里辦公處,社區照顧關懷據點 4-5時段,臺北市大安區龍陣里瑞安街75號3樓,0958-918669,25.0281919,121.5411768
138,大安區,龍陣里,臺北市長立健康樂活協會,社區照顧關懷據點 8-9時段,臺北市大安區龍陣里瑞安街75號3樓,0958-918669,25.0281919,121.5411768
139,大安區,龍陣里,臺北市私立開平餐飲職業學校,社區照顧關懷據點 樂齡學堂,復興南路2段148巷24號,02-27556939#317,25.0289215,121.5420609
140,大安區,龍雲里,臺北市大安區臺北龍雲社區發展協會,社區照顧關懷據點 4-5時段,臺北市大安區龍雲里大安路2段160巷24號,02-27547302,25.0287301,121.5452754
141,大安區,龍圖里,臺北市大安區龍圖里辦公處,社區照顧關懷據點 4-5時段,臺北市大安區龍圖里瑞安街176號,0975-827669,25.0288116,121.5413045
142,大安區,臨江里,臺北市大安區臨江里辦公處,社區照顧關懷據點 4-5時段,臺北市大安區臨江里通化街143巷33號1樓,02-27388269,25.0284918,121.5560025
143,中山區,力行里,社團法人中華社區厝邊頭尾營造協會,社區照顧關懷據點 4-5時段,臺北市中山區力行里南京東路3段130號3樓,0939-260482,25.052267,121.53607
144,中山區,下埤里,財團法人新北市基督教新希望教會 (中山五常),社區照顧關懷據點 10個時段,臺北市中山區下埤里龍江路377巷20號1樓,0976-180539,25.0646843,121.5421459
145,中山區,下埤里,臺北市立五常國民中學,社區照顧關懷據點 樂齡學堂,復興北路430巷1號,02-25014320#107,25.0634801,121.5433001
146,中山區,大直里,社團法人臺北市中山區大直社區發展 協會(大直一),社區照顧關懷據點 6-7時段,臺北市中山區大直里大直街21巷2號4樓,0916-780645,25.0816436,121.5468816
147,中山區,大直里,社團法人臺北市中山區大直社區發展 協會,社區照顧關懷據點 8-9時段,臺北市中山區大直里大直街1號4樓,0916-780645,25.0805188,121.5468794
148,中山區,大直里,臺北市中山區大直國民小學,社區照顧關懷據點 樂齡學堂,臺北市中山區大直里大直街2號,02-25333953#53,25.083415,121.544912
149,中山區,中山里,財團法人台灣老人急重症基金會(中 山據點),社區照顧關懷據點 4-5時段,臺北市中山區中山里中山北路2段77巷14號3樓,02-25224388,25.05737,121.524349
150,中山區,中央里,臺北市中山區中央里民社區發展協會,社區照顧關懷據點 2-3時段,臺北市中山區中央里伊通街125巷11-1號,0972-295633,25.0540927,121.535417
151,中山區,中央里,財團法人味全文化教育基金會,社區照顧關懷據點 6-7時段,臺北市中山區中央里松江路125號4樓,02-25065001,25.0531691,121.5334641
152,中山區,中原里,財團法人台灣省私立健順養護中心 (中山老人住宅暨服務中心),社區照顧關懷據點 2-3時段,臺北市中山區中原里新生北路2段101巷2號,02-25420006,25.057139,121.528395
153,中山區,中原里,臺北市中山區中原里辦公處,社區照顧關懷據點 4-5時段,臺北市中山區中原里新生北路2段53號2樓,0972-245777,25.0560942,121.5279621
154,中山區,中原里,台北市敬老協會,社區照顧關懷據點 8-9時段,臺北市中山區中原里新生北路2段41巷7號1樓;新 生北路2段53之3號2樓;南京東路1段35號1樓,02-25819955,25.0553994,121.5283293
155,中山區,中原里,臺北市中山區吉林國民小學,社區照顧關懷據點 樂齡學堂,臺北市中山區中原里長春路116號,02-25630782,25.0547087,121.5295626
