序號,單位名稱,立案地址,立案日期,設立許可字號,機構負責人,電話,傳真,可提供自費服務評鑑結果,特約服務區域,lat,lon
60,美樺股份有限公司附設私立美美居家⻑照機構,臺北市中正區重慶南路1段121號5樓之2,109年5月12日,北市社老字第10930682591號,傅翰強,02-2370-0021,,Ｖ 111年評鑑合格,臺北市全區,25.0468814,121.5134147
61,社團法⼈台灣優質⽣命協會附設臺北市私立愛抵家居家⻑照機構,臺北市中正區忠孝⻄路1段45號12樓之8,111年11月24日,北市社老字第11131736251號,陈美凤,02-66040060,,V,未特約,25.0421407,121.5198716
62,悠藝股份有限公司附設臺北市私立悠藝居家⻑照機構,臺北市中正區南昌路2段206號3樓之1,112年4月18日,北市社老字第11230503131號,吳國豪,02-23650157,,Ｖ 113年評鑑不合格,大安、中正、萬華,25.0240379,121.52432
63,耀⽣⻑期照顧服務股份有限公司附設臺北市私立耀⽣居家⻑照機構,臺北市中正區懷寧街112號6樓、6樓之1,110年5月14日,北市社老字第11030644601號,黃偉嘉,02-23932500,,V 111年評鑑合格,士林、內湖、南港、信義、松山、大安、文山、中正、萬華、大同、中山,25.0416621,121.5138938
64,⻑安健照事業股份有限公司附設臺北市私立⻑安健照事業居家⻑照機構,臺北市中正區忠孝東路1段35號10樓D室,111年3月7日,北市社老字第11130334751號,戴妤庭,02-25810519,,Ｖ 112年評鑑合格,松山、中正、萬華、大同、中山、南港、大安、士林、北投、信義,25.0425297,121.533259
65,博珍服務事業股份有限公司附設臺北市私立博珍居家⻑照機構,臺北市大安區忠孝東路4段290號10樓1013室,111年3月7日,北市社老字第11130251071號,黃玉婷,02-23889028,,Ｖ 113年評鑑合格,大安、中正、中山,25.0419925,121.5335165
66,財團法人宜蘭縣私立力麗社會福利慈善事業基金會附設臺北市私立⼒麗居家式服務類⻑期照顧服務機構,臺北市中正區和平⻄路1段107號,107年4月27日,北市社老字第10831562911號,郭銓慶,02-2393-8326,2396-1185,Ｖ 110年評鑑合格,中正、大安、信義、松山、中山,25.0421407,121.5198716
67,元愷有限公司附設臺北市私立安愷居家⻑照機構,臺北市中⼭區⻑安東路1段21號3樓,108年12月17日,北市社老字第1083188062號,蔡愷駿,02-2522-1993,02-2567-3543,Ｖ 111年評鑑合格,臺北市全區,25.0329694,121.5654177
68,凱風⻑照股份有限公司附設臺北市私立凱風新⽣北綜合⻑照機構,臺北市中山區新生北路三段56巷17號1樓,111年10月11日,北市社老字第11131348141號,郭銘仁,2599-6683,2599-6682,V,大安、中山,25.065537,121.5268969
69,臺北市私立愛家居家⻑照機構,臺北市中山區新生北路3段87巷23號,108年5月9日,北市社老字第1083070729號,黃姿寧,02-25966934,0933-599-144 2596-6934,Ｖ 111年評鑑合格,臺北市全區,25.0674443,121.5288631
70,謙和園健康福祉有限公司附設臺北市私立溫邸家居家⻑照機構,臺北市中山區新生北路2段72巷23號1樓,109年6月15日,北市社老字第10930925741號,王志剛,02-25681589,02-25681282,Ｖ 111年評鑑合格,臺北市全區,25.0571745,121.5266077
71,溫⼼企業有限公司附設臺北市私立溫⼼居家⻑照機構,臺北市中山區復興北路62號3樓之1（6室）,110年4月21日,北市社老字第11030309101號,張正松,02-2751-0515,02-2751-0515,V 113年評鑑合格,松山、中山、大同,25.0505318,121.5437918
72,詮順居家⻑照有限公司附設臺北市私立詮順居家⻑照機構,臺北市中山區復興北路62號2樓之2,109年11月26日,北市社老字第10931820931號,林倖如,02-2773-0398,02-2773-0259,V 112年評鑑合格,臺北市全區,25.0505318,121.5437918
73,芊潁顧問有限公司附設臺北市私立芊潁居家⻑照機構,臺北市中山區建國北路3段94號2樓D201室,109年11月2日,北市社老字第10931694851號,何冠潁,02-2508-0383,02-2508-1099,Ｖ 111年評鑑合格,臺北市全區,25.0665964,121.5341811
74,瑞⽲⻑照有限公司附設私立春江居家⻑照機構,臺北市中山區松江路293之705號F室,112年3月13日,北市社老字第11230110131號,周佳呈,02-6623-6828,02-8192-6929,V 113年評鑑不合格,中山、士林、內湖,25.0608082,121.533454
75,辰逸有限公司附設臺北市私立辰逸居家⻑照機構,臺北市中山區南京東路2段137號14樓(118室),111年8月23日,北市社老字第11131059421號,王超凡,02-7755-3620,,V 113年評鑑不合格,大同、中山、松山,25.051898,121.5281835
76,安德利互聯網股份有限公司附設臺北市私立安德利居家⻑照機構,臺北市中山區五常街51號2樓,109年2月21日,北市社老字第10930147021號,李盛豊,0953-790315,02-25119069,Ｖ 112年評鑑合格,內湖、南港、松山、中山、萬華、士林、北投、大安、文山、信義、大同,25.0644338,121.539383
77,安⼼好⽣活股份有限公司附設臺北市私立佳愛居家⻑照機構,臺北市中⼭區⻑安東路2段230號6樓之5,111年3月29日,北市社老字第11130409251號,蘇秀鑾,02-2711-0922,02-2221-1671,V 112年評鑑合格,信義、松山、大安、中山,25.0329694,121.5654177
78,臺北市私立安歆居家式服務類⻑期照顧服務機構,臺北市中山區松江路50號3樓,107年11月23日,北市社老字第10760855961號,余建華,02-2537-2586,2537-1557,Ｖ 113年評鑑合格,臺北市全區,25.048168,121.5327222
79,社團法人中國家庭教育協進會附設臺北市私立敬老居家式服務類⻑期照顧服務機構,臺北市中山區松江路131之12號6樓,107年2月9日,府社老字第10648754200號,吳逸秋,02-2509-0266,02-2509-0567 02-2509-0523 2509-0777,Ｖ 112年評鑑合格,臺北市全區,25.0541329,121.5333496
80,美⽽美居家⻑照股份有限公司附設臺北市私立美⽽美居家⻑照機構,臺北市中山區錦州街46號12樓之3（R06室）,109年3月31日,北市社老字第10930503011號,李壬㛙,02-2821-2412,2823-8289,Ｖ 111年評鑑合格,臺北市全區,25.0601933,121.5258786
81,臺北市私立仁群居家⻑照機構,臺北市中⼭區⺠族東路512巷12號1樓,107年6月27日,北市社老字第10760046321號,劉昱森,02-2501-6299,2515-0189,Ｖ 112年評鑑合格,松山、中山、大同,25.0329636,121.5654268
82,瑞兆居服股份有限公司附設臺北市私立瑞兆居家⻑照機構,臺北市中⼭區⺠⽣東路2段119號3樓之3,109年11月16日,北市社老字第10931760221號,邱暉智,02-2537-3968,,Ｖ 112年評鑑合格,松山、大同、中山,25.118466,121.535266
83,社團法人臺灣樂福國際慈善福利協會(沐浴車),臺北市南港區南港路3段93號3樓,,,張淞源,0984-112366,,,臺北市全區(到宅沐浴車),25.0528402,121.587789
84,社團法人寧祈全人健康生命關懷協會附設臺北市私立寧祈居家⻑照機構,臺北市中⼭區⺠⽣東路1段42號12樓之14,110年1月12日,北市社老字第10932112131號,吳健樑,02-2521-3282,,V 113年評鑑合格,臺北市全區,25.1183582,121.5309597
85,愛護家健康事業股份有限公司附設臺北市私立愛護家居家⻑照機構,臺北市中山區中山北路3段31號7樓之1,108年5月17日,北市社老字第1083079755號,張淑貞,02-2599-5665,2599-7872,Ｖ 112年評鑑合格,臺北市全區,25.0656779,121.5225279
86,佳顧股份有限公司附設臺北市私立佳顧居家⻑照機構,臺北市中山區中山北路2段102號11樓,108年5月7日,北市社老字第1083062855號,孫蓁如,02-2511-2595,02-2794-8016 2792-4572,Ｖ 111年評鑑合格,士林、內湖、松山、大安、中山,25.0600259,121.522633
87,中華⺠國紅⼗字會台灣省分會附設臺北市私立紅⼗字居家式服務類⻑期照顧服務機構,臺北市大安區新生南路3段20之1號2樓,107年4月20日,北市社老字第10735202300號,董光世,02-2363-7794,2363-0598 #,Ｖ 113年評鑑合格,北投、內湖、南港、松山、大安、文山、中正、萬華,25.0242922,121.534441
88,銀享全球股份有限公司附設臺北市私立銀享居家⻑照機構,臺北市⼤同區⺠權⻄路136號16樓之7,110年4月19日,北市社老字第11030422661號,蔡昕伶,02-2700-9805,0903669397,V 113年評鑑合格,信義、松山、大安、文山、中正、大同、中山,25.0329694,121.5654177
89,臺北市私立燿翔居家⻑照機構,臺北市大安區信義路四段279号8楼808室,109年4月13日,北市社老字第10930548741號,莊博文,0911-222-886,,Ｖ 111年評鑑合格,未特約,25.0333573,121.5548043
90,社團法⼈台灣樂活服務發展協會附設臺北市私立樂活居家⻑照機構,臺北市大安區信義路4段306號2樓L1室,110年9月30日,北市社老字第11031314731號,馬瑞辰,02-2755-2733,,V 113年評鑑合格,士林、北投、大安、大同,25.0329126,121.5548878
91,德⼒居家有限公司附設臺北市私立德⼒居家⻑照機構,臺北市信義區忠孝東路5段482號14樓之3,111年9月30日,北市社老字第11131269181號,蔡宗棋,0978-634-913,,Ｖ 113年評鑑合格,信義、松山、大安,25.0406521,121.5652968
92,臺北市私立可馨居家⻑照機構,臺北市大安區忠孝東路4段162號12樓之3,109年5月22日,北市社老字第10930879411號,高銘麟,02-2775-4695,,Ｖ 111年評鑑合格,南港、信義、松山、大安、文山、中正,25.0419925,121.5335165
93,台灣居護股份有限公司附設臺北市私立聯承居家⻑照機構,臺北市⼤安區敦化南路⼀段153號⼆樓,110年1月20日,北市社老字第10932122091號,汪秋蓉,02-8258-8088,,V 112年評鑑合格,大安、文山、中正、南港、信義、松山,25.0329636,121.5654268
94,社團法人台北市家庭照顧者關懷協會附設臺北市私立家協居家式服務類⻑期照顧服務機構,臺北市大安區和平東路3段232號3樓,107年4月11日,北市社老字第10734871500號,盧雪華,02-2739-8737,8732-2485,Ｖ 112年評鑑合格,信義、松山、大安,25.0270958,121.5249224
95,財團法人恆安社會福利慈善事業基金會附設臺北市私立恆安居家式服務類⻑期照顧服務機構,臺北市大安區和平東路2段295號12樓,107年6月20日,北市社老字第1076000391號,胡世賢,02-2333-1955,2333-1759,Ｖ 112年評鑑合格,臺北市全區,25.0267596,121.5229719
96,財團法⼈獎卿護理展望基⾦會私立臺北居家⻑照機構,臺北市大安區和平東路1段216號10樓,106年12月28日,府社老字第10648012800號,王仁宏,02-2364-6040,2364-0373,Ｖ 112年評鑑合格,南港、大安、文山、內湖、信義,25.027241,121.5229827
97,臺北市私立老爺居家⻑照機構,臺北市大安區安和路2段92號B1(A11室),109年6月30日,北市社老第10930798391號,薛智遠,0988-125527,,Ｖ 111年評鑑合格,大安、文山,25.0288878,121.5503136
98,逸居股份有限公司附設臺北市私立幸福時光居家⻑照機構,臺北市大安區永康街75巷1號1樓,109年2月24日,北市社老字第10930167001號,李淑貞,02-7705-8110 *107,,Ｖ 111年評鑑合格,臺北市全區,25.028975,121.53001
99,辰信健康有限公司附設臺北市私立辰信居家⻑照機構,臺北市大安區四維路198巷30弄10號2樓,110年12月1日,北市社老字第11031668191號,簡裕宗,02-2700-1966,,Ｖ 112年評鑑合格,信義、松山、大安、中正、中山,25.026519,121.5458646
100,聯⼼健康顧問有限公司附設臺北市私立聯珩居家⻑照機構,臺北市大安區復興南路1段368號13樓A6,112年7月24日,北市社老字第11230823451號,王維珩,02-2701-5685,02-2964-2160,V,松山、大安、信義,25.047407,121.5442137
101,盤古銀髮股份有限公司附設臺北市私立家倍安居家⻑照機構,臺北市⼤同區⺠權⻄路118巷12號1樓,108年6月24日,北市社老字第10830902921號,林偉正,02-2553-9586,,Ｖ 111年評鑑合格,大同區、中山區、萬華區、中正區、士林區,25.0235903,121.5428524
102,傳家寶國際青銀教育有限公司私立傳家寶居家⻑照機構,臺北市中山區松江路124巷23號5樓,110年9月14日,北市社老字第11031204671號,趙文瑜,2557-0968,,V 112年評鑑合格,松山、大同、中山,25.0526959,121.530851
103,嘉陞健康事業股份有限公司附設臺北市私立嘉陞居家⻑照機構,臺北市⼤同區⺠權⻄路136號15樓之3,111年9月23日,北市社老字第11131269181號,黃海同,0921-148107,,V 113年評鑑合格,萬華、大同、中山、士林、北投,25.0329694,121.5654177
104,康捷居家⻑照有限公司附設臺北市私立康捷居家式服務類⻑期照顧服務機構,臺北市⼤同區⺠權⻄路225巷6號1樓,109年9月4日,北市社老字第10931386451號,黃明聖,02-25995980,,Ｖ 111年評鑑合格,臺北市全區,25.0329694,121.5654177
105,臺北市私立麗康居家⻑照機構,臺北市中山區中山北路2段162號7樓之1(706室),108年5月15日,北市社老字第10830695941號,吳麗鳳,02-2553-2379,,V 112年評鑑合格,士林區、中正區、萬華區、大同區、中山區,25.0632439,121.5222696
106,松德⻑照事業有限公司附設臺北市私立松德居家⻑照機構,臺北市⼤同區⻄寧北路112號2樓之4,110年8月3日,北市社老字第11030995501號,黃松共,02-2550-7869,,V 112年評鑑合格,大同、萬華、中山,24.9549707,121.5392073
107,宗展股份有限公司附設臺北市私立辰⼼居家⻑照機構,臺北市⼤同區⻄寧北路112號4樓之1,108年6月27日,北市社老字第10830953611號,簡裕宗,02-2550-1966,,Ｖ 111年評鑑合格,臺北市全區,24.9549707,121.5392073
108,樂福健康事業有限公司附設臺北市私立樂福居家⻑照機構,臺北市⼤同區⻄寧北路81號5樓之2,108年5月14日,北市社老字第10830671661號,吳海銘,02-25598079,,Ｖ 111年評鑑合格,臺北市全區,24.956213,121.538691
109,優福國際股份有限公司附設臺北市私立優福居家⻑照機構,臺北市大同區延平北路三段4號5樓(508室),111年12月27日,北市社老字第11131909331號,李盛豊,0976-804-827,,Ｖ 113年評鑑合格,大安、大同、信義、萬華,25.0634499,121.5108546
