序號,機構名稱,地址,電話,lat,lon
39,成功居家護理所,臺北市內湖區大湖山莊街219巷34弄1號2樓,02-27967357,25.089515,121.599625
40,康健居家護理所,臺北市內湖區民權東路6段180巷6號6樓,0921-248200,25.0688364,121.5928053
41,康寧醫療財團法人附設康寧居家護理所,臺北市內湖區成功路五段420巷26號2樓,02-26345500,25.0758907,121.6089476
42,三軍總醫院附設民眾診療服務處附設居家護理所,臺北市內湖區成功路二段325號,02-87927056,25.071737,121.5946509
43,新聯電居家護理所,臺北市內湖區民權東路6段123巷18號4樓,02-87928255,25.069462,121.5926879
44,全心居家護理所,臺北市內湖區石潭路27號3樓,02-27956926,25.0627923,121.5860883
45,臺北市獨立型聽成福居家護理所,臺北市南港區成福路204號4樓,02-27863412,25.0405194,121.5885557
46,臺北市立聯合醫院附設忠孝居家護理所,臺北市南港區同德路8 7 號,02-27861288,25.0451811,121.5840355
47,臺北市獨立型聽南港居家護理所,臺北市南港區福德街373巷39號1樓,02-27856997,25.0391492,121.5917014
48,前瞻居家護理所,臺北市文山區辛亥路4段21巷10號9樓A室,02-89312546,25.0085063,121.5590379
49,景美醫院附設居家護理,臺北市文山區萬慶街13巷9號1樓,02-29331010,24.9919977,121.5399537
50,臺北市立萬芳醫院—委託臺北醫學大學辦理附設居家護理所,臺北市文山區萬美街一段25號B1,02-29307930,25.002099,121.5693065
51,北斗星居家護理所,臺北市文山區景文街42號3樓312R,02-86638637,24.9917496,121.5412001
