序號,縣市別,鄉/鎮/市/區,服務村里,申請單位名稱,地址,聯絡人,電話,"服務起始日
(核定日期)",lat,lon
46,臺北市,中正區,龍光里;永功里;永昌里;龍興里;龍福里;南福里;廈安里,台北市愛羊全人關懷協會,臺北市中正區龍光里和平西路2段15號1樓／17號2樓,耿奇華,0937-888594,,,
47,臺北市,中正區,黎明里;光復里;,社團法人中華婦女聯合會,臺北市中正區黎明里館前路6號12樓之2,何建華,0907-828668,,25.0460588,121.5148618
48,臺北市,中正區,網溪里;,臺北市中正區網溪社區發展協會,臺北市中正區網溪里廈門街113巷12之1號1樓,廖從翔,0933-254307,,25.023294,121.5193769
49,臺北市,中正區,文祥里;三愛里;文北里;,臺北市中正區文祥社區發展協會(大東門),臺北市中正區文祥里杭州南路1段131巷22號,李淑珍,0919-319818,107/11/20,25.0360731,121.524089
50,臺北市,中正區,三愛里;,臺北市中正區三愛里辦公處,臺北市中正區三愛里連雲街26巷9號,陳仁志,0938205215,,25.0367399,121.5312848
51,臺北市,中正區,梅花里;,台北市廣西同鄉會,臺北市中正區梅花里忠孝東路1段35號7樓,嚴夢春,02-23210375,107/11/02,25.0452974,121.5216527
52,臺北市,中正區,文盛里;,財團法人耕莘文教基金會,臺北市中正區文盛里辛亥路1段22號4樓,王譽書,02-23655615,,25.00046,121.5545729
53,臺北市,中正區,永功里;,臺北市中正區永功里辦公處,臺北市中正區永功里詔安街114號,楊翠玉,0914-152169,,25.0256991,121.5109546
54,臺北市,中正區,幸福里;幸市里;文北里;文祥里;梅花里;,台灣華山開心協會,臺北市中正區幸福里忠孝東路1段150號2樓,林露菁,23278616,,25.0452974,121.5216527
55,臺北市,中正區,光復里;,中華全齡關懷協會(光復),臺北市中正區光復里博愛路134號10樓,葉玉參,02-25218226,,25.0429683,121.5113287
56,臺北市,中正區,螢雪里;,財團法人采苑藝術文教基金會,臺北市中正區螢雪里詔安街29號(螢橋國小新大樓2樓),葉俐瑩,02-23018400,,25.0251379,121.5143526
57,臺北市,中正區,永昌里;,臺北市中正區永寬社區發展協會,臺北市中正區永昌里寧波西街181巷8號,陳麒文,02-23014838,107/11/02,25.0266493,121.5104644
58,臺北市,中正區,頂東里;河堤里;,台灣旺齡協會,臺北市中正區頂東里羅斯福路3段84巷13、15號1樓,蔡沐芙,02-23680690,107/07/24,25.0216107,121.5268154
59,臺北市,中正區,林興里;,臺北市中正區新林興社區發展協會,臺北市中正區林興里汀州路3段27巷16號/水源路臨28號,蔣念臻,0932-254425,107/11/02,25.0196889,121.527328
60,臺北市,中正區,南門里;,臺北市中正區南門里辦公處,臺北市中正區南門里博愛路163號(小南門區民活動中心),郭有賢,0928-490157,104/09/01,25.0348513,121.5110126
61,臺北市,中正區,永功里;龍興里;龍光里;螢雪里;南福里;廈安里;,財團法人台北市中國基督教靈糧世界佈道會台北靈糧堂(古亭靈糧福音中心),臺北市中正區永功里三元街198號1樓,孫玉玲,02-23396540,107/11/02,25.0276511,121.5119608
62,臺北市,中正區,忠勤里;,社團法人臺北市臻佶祥社會服務協會,臺北市中正區忠勤里中華路2段315巷14、16、18號,陳奕儒,02-23036281,094/10/18,,
63,臺北市,中正區,龍興里;,臺北市中正區欣龍興社區發展協會,臺北市中正區龍興里三元街131號4樓(龍興區民活動中心),陳月容,0917-522883,,25.0283,121.511
64,臺北市,中正區,南福里;板溪里;新營里;,財團法人臺北市松年長春社會福利基金會(284),臺北市中正區南福里羅斯福路1段94、96號11樓(中央教會),梁世賢,0932-862740,,25.0241961,121.5248845
65,臺北市,信義區,興雅里;,財團法人中華民國大同老人福利基金會,臺北市信義區興雅里基隆路1段155號3樓之6-9,李怡雯,02-27670563,,25.0419415,121.5653136
66,臺北市,信義區,景聯里;,台灣體適能健康促進協會(黎平),臺北市信義區黎平里富陽街12號1樓,黃貞珮,0938-598298,,25.0234857,121.5561889
67,臺北市,信義區,,慈濟信義吳興環保教育站,臺北市信義區西村里松仁路315巷14號1樓,慈濟台北東區聯落處,02-27662209,104/09/09,25.0230211,121.5709489
68,臺北市,信義區,中坡里;,社團法人台灣厝邊有愛關懷協會(中坡教會),臺北市信義區中坡里臺北市大道路127-1號,白惠芳,02-23635546/0989-080059,,25.0391641,121.5835872
69,臺北市,信義區,黎忠里;,台灣體適能健康促進協會(黎忠),臺北市信義區黎忠里和平東路3段391巷16號2樓,黃貞珮,0938-598298,,25.0203068,121.559121
70,臺北市,信義區,中坡里;,社團法人台北市銀髮族協會(信義),臺北市信義區中坡里中坡南路277號1樓,李心茜,02-87806411,,,
71,臺北市,信義區,四育里;,臺北市信義區四育里辦公處,臺北市信義區四育里虎林街30巷19號,王丹萍,0976-422699,107/11/03,25.0470616,121.5760302
72,臺北市,信義區,中行里;,臺北市信義區中行里辦公處,臺北市信義區中行里福德街268巷32號,林美君,02-27274777,107/11/03,25.039887,121.5857963
73,臺北市,信義區,安康里;,臺北市信義區安康里辦公處,臺北市信義區安康里虎林街232巷55號,萬宇恆,02-27273989,,25.0358654,121.5761703
74,臺北市,信義區,泰和里;,臺北市信義區泰和社區發展協會,臺北市信義區泰和里松仁路308巷60號1樓；松仁路308巷61號,曾德莉,0987-052143,,25.0212392,121.5699532
75,臺北市,信義區,,臺北市信義區六合里辦公處,臺北市信義區六合里松仁路240巷19號3樓,陳盈如,0916-712656,,25.024319,121.5688427
76,臺北市,信義區,雙和里;,臺北市信義區雙和社區發展協會,臺北市信義區雙和里吳興街284巷24弄12號(雙和社區發展協會),李晴湄,02-27381447,094/10/18,25.0242953,121.5631423
77,臺北市,信義區,大仁里;,中華民國紅心字會(信義),臺北市信義區大仁里大道路116號5樓之3,林偉婷,02-87870300 #107,095/04/21,25.03777,121.5813853
78,臺北市,信義區,永吉里;,財團法人中華民國佛教慈濟慈善事業基金會(539),臺北市信義區永吉里松隆路327號,賴珈文,0937-903855,,25.0482881,121.5786738
79,臺北市,信義區,長春里;,臺北市信義區永安社區發展協會,臺北市信義區長春里松山路294號4樓,林陳春子,02-27238588,,25.0431291,121.5774477
80,臺北市,信義區,中行里;,台北市君賀人本關懷協會,臺北市信義區中行里福德街221巷15號（瑠公國中）,陳基,02-23278616,107/11/03,25.0370894,121.5854371
81,臺北市,信義區,松光里;,臺北市信義區松光里辦公處,臺北市信義區松光里臺北市忠孝東路5段492巷32號,劉麗勤,0961-364097,106/03/25,25.0405415,121.566819
82,臺北市,信義區,嘉興里;,臺北市信義區嘉興里辦公處,臺北市信義區嘉興里嘉興街175巷6號,鄭智耀,0933-267062,,25.02764,121.5575501
83,臺北市,信義區,雅祥里;,臺北市信義區興雅祥社區發展協會,臺北市信義區雅祥里基隆路1段35巷9弄2號1樓,鄭淑婷,0978-810820,,25.0419415,121.5653136
84,臺北市,信義區,,慈濟信義永吉環保站,臺北市信義區西村里虎林街212巷22號1樓,慈濟台北東區聯落處,02-27662209,104/09/09,25.0376722,121.5764862
85,臺北市,信義區,三犁里;,台北市信義區三犁里辦公處,臺北市信義區三犁里信義路5段150巷14弄6號1樓,翁信利,0911-822428,,25.0284117,121.5694235
86,臺北市,信義區,,臺北市信義區長春里辦公處,臺北市信義區長春里忠孝東路5段423巷45號,許錦忠,0937-042279,,25.0405415,121.566819
87,臺北市,信義區,五全里;,臺北市信義區五全里辦公處,臺北市信義區五全里臺北市永吉路278巷1弄13號,吳秀好,0921-126652,096/09/01,25.0450599,121.5746124
88,臺北市,信義區,,臺北市信義區國業里辦公處,臺北市信義區國業里虎林街222巷15號,林銘賢,02-27262518,,25.0370782,121.5769411
89,臺北市,信義區,長春里;永春里;永吉里;四維里;富台里;五常里;,臺北市信義區雙春社區發展協會,臺北市信義區長春里松山路294號2樓,謝淑宜,02-27695123,,25.0430691,121.5775774
90,臺北市,信義區,西村里;,臺北市信義區西村里辦公處,臺北市信義區西村里台北市基隆路一段364巷22號,方建中,0939-585853,,25.0348235,121.5595015
91,臺北市,信義區,正和里;,財團法人雙福社會福利慈善基金會(信義堂),臺北市信義區正和里光復南路443巷9號／光復南路447-44號,裘啟瑩／李南初,0918-411278／0920-389792,096/05/01,25.0357461,121.55853
92,臺北市,信義區,景勤里;,財團法人臺北醫學大學展齡中心(信義),臺北市信義區景勤里台北市信義區景勤里吳興街156巷16弄7號,邱佳慧/王明旭,02-27361661#2676,107/11/03,25.0288592,121.5608387
93,臺北市,信義區,,臺北市信義區四維里辦公處,臺北市信義區四維里虎林街70巷1號1樓,劉耀平,0915-252215,,25.0441982,121.5768646
94,臺北市,信義區,廣居里;松友里;安康里;國業里;,社團法人台灣厝邊有愛關懷協會(永吉教會),臺北市信義區廣居里臺北市虎林街155、157、159號,白惠芳,02-23635546,107/11/03,25.0394434,121.5768521
95,臺北市,信義區,五常里;,臺北市信義區五常里辦公處,臺北市信義區五常里永吉路187巷6弄6號1樓,游育靖,02-27565848,,25.046545,121.5730038
96,臺北市,信義區,中興里;正和里;西村里;興隆里;新仁里;,台北市紅十字會,臺北市信義區中興里信義路四段415號5樓之3,范素玲,0928-824718,,25.0333496,121.5593845
97,臺北市,信義區,大道里;,臺北市基督教新榮耀堂福音協進會,臺北市信義區大道里忠孝東路5段782號,關允文,0921-828764,107/11/03,25.0405415,121.566819
98,臺北市,信義區,大道里;,臺北市信義區大道里辦公處,臺北市信義區大道里忠孝東路5段790巷62弄9號,何美芳,02-27267933,,25.0409747,121.5832672
99,臺北市,信義區,中興里;西村里;正和里;新仁里;敦厚里;興隆里;,財團法人台北市中華基督教信義會(復興堂),臺北市信義區中興里信義路4段375號10樓之2,萬台安,02-27200440,,25.033297,121.5577964
100,臺北市,信義區,,臺北市信義區正和里辦公處,臺北市信義區正和里仁愛路4段452巷3號(正和區民活動中心),呂蕙蕙,0900-601390,,25.0370861,121.5593222
101,臺北市,信義區,黎安里;,臺北醫學大學高齡健康管理學系(大我新舍),臺北市信義區黎安里和平東路3段599號,劉芳,02-27361661#6341,107/11/03,25.0002887,121.5735773
102,臺北市,信義區,三張里;,財團法人台北市基督教全人福利事業基金會(吳興教會),臺北市信義區三張里吳興街269巷18弄8號,李麗娜,0938-390201,107/07/24,25.0270495,121.5648277
103,臺北市,信義區,松友里;,臺北市信義區松友社區發展協會,臺北市信義區松友里信義路6段76巷2弄22號1樓,張海秋,02-2346-6669,107/11/03,25.0344075,121.5760432
104,臺北市,信義區,永春里;,臺北市信義區永春社區發展協會,臺北市信義區永春里松山路287巷3弄21號,許蕙蘭,0910-150308,,25.0435193,121.57823
105,臺北市,信義區,,臺北市信義區黎順里辦公處,臺北市信義區黎順里崇德街15號,卓秀娟,02-23770037,,25.0244485,121.5535299
106,臺北市,信義區,,慈濟信義英仁環保教育站,臺北市信義區西村里中坡南路168巷2號,慈濟台北東區聯落處,02-27662209,104/09/09,25.0392717,121.5839852
107,臺北市,信義區,惠安里;,臺北市信義區惠安里辦公處,臺北市信義區惠安里臺北市吳興街506巷21號,周葉長,0921-912430,,25.0230002,121.5685041
108,臺北市,信義區,六合里;,臺北市信義區挹翠社區發展協會,臺北市信義區六合里紫雲街23號1樓,吳寶猜,02-27228636,,25.0185873,121.5743968
109,臺北市,信義區,嘉興里;黎順里;黎忠里;景勤里;雙和里;黎安里;,中華民國老人福利協進會,臺北市信義區嘉興里信安街78-80號2樓,周燕菲,02-27387235,096/02/01,25.0260907,121.5571725
110,臺北市,信義區,,臺北市信義區景聯里辦公處,臺北市信義區景聯里基隆路2段39巷37弄2號,洪福周,0900-602217,,25.0306682,121.5600567
111,臺北市,信義區,,臺北市信義區富台里辦公處,臺北市信義區富台里忠孝東路5段423巷4弄22號,羅至佑,0901-156880,,25.0405415,121.566819
112,臺北市,內湖區,康寧里;明湖里;,財團法人基督教中國佈道會,臺北市內湖區康寧里內湖區康寧里康寧路3段99巷39弄66號,翁嘉恩,0920-432363,107/11/23,25.0742611,121.6106047
113,臺北市,內湖區,石潭里;寶湖里;湖興里;週美里;行善里;,臺北市內湖區石潭社區發展協會,臺北市內湖區石潭里成功路二段1號2樓,羅淑如,0929-571110,107/07/20,25.0620782,121.5910579
114,臺北市,內湖區,寶湖里;,臺北市內湖社區安全與健康協進會,臺北市內湖區寶湖里民權東路六段208號,古秀月,02-27934447,107/07/23,25.0668288,121.5965738
115,臺北市,內湖區,金瑞里;,臺北市內湖區碧湖社區發展協會(金瑞據點),臺北市內湖區金瑞里金龍路218號(內湖路3段348巷6號),程進樑,0935-245293,,25.0913496,121.5834222
116,臺北市,內湖區,安泰里;東湖里;樂康里;內溝里;,臺北市內湖區安泰里社區發展協會,臺北市內湖區安泰里安泰街65巷5號,鐘虹期,0917-979715,,25.0749478,121.6171464
117,臺北市,內湖區,週美里;,臺北市內湖區週美里辦公處,臺北市內湖區週美里南京東路6段330巷18弄12號1樓,丘麗玲,0921-140488,,25.0610146,121.5871576
118,臺北市,內湖區,碧山里;,財團法人台福基督教會,臺北市內湖區碧山里內湖路三段143巷7號1F,張舒莉,02-87928125,112/01/01,25.0871243,121.5896464
119,臺北市,內湖區,清白里;,臺北市內湖區清白社區發展協會,臺北市內湖區清白里星雲街168巷29號1樓/星雲街161巷3號(清白區民活動中心),沈政宏,0988-117571,,25.0811491,121.596101
120,臺北市,內湖區,港墘里;港富里;港都里;港華里;湖濱里;西湖里;,台北市內湖紳士協會,臺北市內湖區港墘里內湖路1段552號(港墘區民活動中心),吳淑惠,0918-819089,099/06/08,25.0787637,121.577007
121,臺北市,內湖區,湖興里;湖元里;寶湖里;週美里;石潭里;金湖里;,中華民國天使之家全人關懷協會,臺北市內湖區湖興里成功路2段240-242號1樓,黃池麗子,0920-325521,107/07/23,25.065888,121.5900616
122,臺北市,內湖區,瑞陽里;,財團法人台北市基督教台灣貴格會內湖慈光堂,臺北市內湖區瑞陽里文德路66巷49弄5號,陳祈蒼,0952-877459,107/11/23,25.0772459,121.5820736
123,臺北市,內湖區,港墘里;,財團法人台灣基督教恩惠福音會,臺北市內湖區港墘里內湖路1段608號,程廣恩,02-27971000,107/07/23,25.0823089,121.5683655
124,臺北市,內湖區,寶湖里;石潭里;,臺北市內湖區灣仔社區發展協會,臺北市內湖區寶湖里民權東路6段208號6樓(網球中心6樓),顏 聰 明,0961-365688,,25.0675708,121.596956
125,臺北市,內湖區,紫雲里;,臺北市內湖區紫雲社區發展協會,臺北市內湖區紫雲里康寧路一段228號,夏亦芳,02-2791-3337/0933-405308,,25.07823,121.596029
126,臺北市,內湖區,紫星里;紫雲里;,財團法人基督教台灣信義會 內湖思恩堂,臺北市內湖區紫星里康寧路1段62號,呂麗珍,0936-649973,,25.0757493,121.6094778
127,臺北市,內湖區,石潭里;,社團法人社區大學全國促進會,臺北市內湖區石潭里新明路22號純美樓3樓,鄭宇捷,02-66050919#211,,25.0603327,121.5905378
128,臺北市,內湖區,金龍里;金瑞里;碧山里;,台北市內湖區碧湖社區發展協會,臺北市內湖區金龍里金龍路136-1號2樓,程進樑,0935-245293,095/05/24,25.0857648,121.590059
129,臺北市,內湖區,金湖里;,康寧學校財團法人康寧大學,臺北市內湖區金湖里康寧路三段75巷137號,陳秀珍,02-26321181#683,111/01/01,25.0754813,121.6095569
130,臺北市,內湖區,西湖里;西安里;西康里;港墘里;,財團法人基督教救世軍,臺北市內湖區西湖里內湖路1段285巷63弄7號,張玉貞,02-27990098,107/08/17,25.083938,121.5670711
131,臺北市,內湖區,湖濱里;,臺北市內湖區湖濱里辦公處,臺北市內湖區湖濱里內湖路2段346號1樓,陳尤雪,0938-082264,,25.0818588,121.5899931
132,臺北市,內湖區,金龍里;湖濱里;碧山里;內湖里;清白里;金瑞里;,台北市內湖永續發展協會,臺北市內湖區金龍里金龍路 136-1號2樓/金龍路67巷7號1樓,溪筱蕙,02-27908099,107/11/23,25.0857648,121.590059
133,臺北市,內湖區,,慈濟內湖園區環保教育站,臺北市內湖區西湖里成功路五段168號,慈濟內湖聯絡處,02-27938563,104/09/09,25.0833796,121.6052859
134,臺北市,內湖區,五分里;東湖里;樂康里;,財團法人福智慈善基金會(東湖教室),臺北市內湖區五分里東湖路106巷6號1樓,王重欽,02-26335547,,25.0682158,121.6153739
135,臺北市,內湖區,湖興里;寶湖里;湖元里;東湖里;紫雲里;蘆洲里;,臺北市內湖區湖興里辦公處,臺北市內湖區湖興里成功路2段320巷19號3樓,蔡穎峰,0933-206109,,25.0676901,121.5899871
136,臺北市,內湖區,東湖里;,社團法人中華民國香柏樹長者社區關懷協會(內湖老人服務中心),臺北市內湖區東湖里康樂街110巷16弄20號5.6樓,孔培華,02-26325560#16,095/04/21,25.0704268,121.6183878
137,臺北市,內湖區,清白里;,臺北市內湖區清白里辦公處,臺北市內湖區清白里星雲街161巷3號1樓,陳東源,0935-028280,,25.0811515,121.596101
138,臺北市,內湖區,大湖里;,臺北市內湖區大湖里辦公處,臺北市內湖區大湖里大湖山莊街117號4樓,郭坤祥,0939-020275,,25.0860641,121.6017634
139,臺北市,內湖區,內湖里;湖濱里;大湖里;,財團法人福智慈善基金會(285),臺北市內湖區內湖里內湖路2段486號、488號3樓,林鴻雯,02-27963275,,25.0843044,121.5933473
140,臺北市,內湖區,湖元里;湖興里;,財團法人台北市基督教台灣貴格會忠湖教會,臺北市內湖區湖元里民權東路六段56巷5弄8號1樓,吳麗芳,02-27923347,,25.0682796,121.5851851
141,臺北市,內湖區,港都里;,臺北市麗山社區關懷協會,臺北市內湖區港都里麗山街348巷22號1-2樓及24號2樓(麗山禮拜堂),鄭秋暉   曹蘭萍,0921-057599,,25.081954,121.5742339
142,臺北市,內湖區,港富里;,臺北市內湖區港富里辦公處,臺北市內湖區港富里麗山街47號,李安邦,0932-018939,,25.0808877,121.5806316
143,臺北市,北投區,,慈濟關渡園區環保教育站,臺北市北投區建民里大度路三段110號,慈濟關渡至業園區,02-28969977,104/09/09,25.123259,121.4718611
144,臺北市,北投區,永和里;永欣里;永明里;振華里;,臺北市北投區幸福永和社區發展協會,臺北市北投區永和里行義路63號,曾富榆,0928-363298/0928-868298,,25.1262348,121.5279581
145,臺北市,北投區,吉利里;東華里;永明里;吉慶里;尊賢里;立賢里;,社團法人國際奔享體驗教育發展協會(吉利真光),臺北市北投區吉利里石牌路一段39巷80弄41號1樓,呂艷蕾,02-28288884,,25.1159996,121.5109257
146,臺北市,北投區,長安里;奇岩里;,台北市石牌長青會,臺北市北投區長安里中央北路1段12號3樓及4樓,王韻嵐,02-28913812,,25.1328975,121.475307
147,臺北市,北投區,豐年里;,臺北市北投區豐年里辦公處,臺北市北投區豐年里中央北路2段95巷1弄1號1樓,周江雪珠,0928-030047,,25.1364918,121.4953081
148,臺北市,北投區,秀山里;智仁里;稻香里;中和里;,臺北市北投區秀山社區發展協會,臺北市北投區秀山里中和街502巷2弄11號1樓(里民活動場所),鄭文玲、郭芳礎,02-28941666 / 0933-856288,,25.1456211,121.4948349
149,臺北市,北投區,振華里;裕民里;福興里;永明里;榮華里;石牌里;,臺北市北投區振華社區發展協會,臺北市北投區振華里裕民ㄧ路40巷37號1樓,周雨芬,02-28236110,096/08/13,25.1159149,121.5191579
150,臺北市,北投區,泉源里;,台北市北投區泉源社區發展協會,臺北市北投區泉源里東昇路45-5號、東昇路80號旁活動據點,陳志成,0920-883960,,25.1489922,121.5239533
151,臺北市,北投區,建民里;,台北市北投青溪協會(建民里),臺北市北投區建民里文林北路80巷38弄2號1樓,王韻嵐,0982-642689,,25.1057028,121.518841
152,臺北市,北投區,裕民里;榮華里;建民里;振華里;榮光里;文林里;,社團法人台灣愛喜樂關懷協會,臺北市北投區裕民里明德路161號1樓,林詠萱,02-28224466,,25.1115653,121.5209719
