醫事機構代碼,醫事機構名稱,醫事機構種類,電話,地址,分區業務組,特約類別,服務項目,診療科別,終止合約或歇業日期,固定看診時段,備註,縣市別代碼,合約起日,lat,lon
5901010496,瑞昌大藥局,藥劑生自營,(02)27151881,臺北市松山區民權東路３段１０３巷１０號,臺北業務組,5,,,20260330,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,-,63000,20020501,25.0624386,121.5408718
5901010576,合生藥局,藥師自營,(02)27602932,臺北市松山區南京東路５段１２３巷４５號１樓,臺北業務組,5,,,20260612,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,-,63000,20070613,25.053627,121.5607438
5901011662,上允藥局,藥師自營,(02)27696905,臺北市松山區民生東路５段７８號,臺北業務組,5,,,20260806,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,-,63000,20010807,25.0584343,121.5556082
5901011699,建東大藥局,藥師自營,(02)27676237,臺北市松山區三民路９７號１樓,臺北業務組,5,,,20251019,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,周日公休,63000,20081020,25.0571869,121.5633968
5901011733,和諧藥局,藥劑生自營,(02)27568580,臺北市松山區民生東路５段１４８號２樓,臺北業務組,5,,,20240111,,,63000,20020412,25.0584343,121.5556082
5901011760,延壽藥局,藥師自營,(02)27685159,臺北市松山區延壽街３２７號,臺北業務組,5,,,20260502,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,01／24-2／2休診,63000,20020503,25.056826,121.560329
5901011975,萬泰藥局,藥師自營,(02)27135891,臺北市松山區敦化北路２２２巷３８號,臺北業務組,5,,,20260108,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,63000,20040119,25.05992,121.54709
5901012203,博荃藥局,藥師自營,(02)27316736,臺北市松山區敦化北路４巷５１號,臺北業務組,5,,,20261129,星期一上午休診、星期二上午休診、星期三上午休診、星期四上午休診、星期五上午休診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,星期天與國定例假日休息,63000,20051130,25.0500385,121.5447796
5901012383,德川中西藥局,藥劑生自營,(02)27683399,臺北市松山區八德路４段９６號,臺北業務組,5,,,20260524,星期一上午休診、星期二上午休診、星期三上午休診、星期四上午休診、星期五上午休診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上看診,"週1至週5下午3點半,週6,日晚上6點開始;均至隔日凌晨3點",63000,20090525,25.0483577,121.5607182
5901012409,家音藥局,藥師自營,(02)37652080,臺北市松山區民生東路５段７３號,臺北業務組,5,,,20270910,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上看診,-,63000,20080911,25.0584343,121.5556082
5901012490,中美藥局,藥師自營,(02)27627468,臺北市松山區富錦街５３１號,臺北業務組,5,,,20260930,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上看診,-,63000,20091001,25.0612504,121.5654878
5901012516,惠登藥局,藥師自營,(02)25472432,臺北市松山區民生東路３段１３０巷３４號,臺北業務組,5,,,20261011,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,-,63000,20091012,25.0575733,121.5398306
5901012561,松田藥局,藥師自營,(02)25798005,臺北市松山區延吉街９－６號,臺北業務組,5,,,20250928,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,63000,20100929,25.0470057,121.5535223
5901012570,予志藥局,藥師自營,(02)27623522,臺北市松山區富錦街５２１號,臺北業務組,5,,,20251116,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,-,63000,20101117,25.0611382,121.5648949
5901012598,婕登藥局,藥師自營,(02)27482893,臺北市松山區八德路４段６９９號,臺北業務組,5,,,20260304,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,-,63000,20110305,25.0502152,121.5766219
5901012632,晨安藥局,藥師自營,(02)25798460,臺北市松山區八德路３段１５５巷２０弄２號,臺北業務組,5,,,20261208,星期一上午休診、星期二上午休診、星期三上午休診、星期四上午休診、星期五上午休診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,63000,20111209,25.049152,121.5551423
5901012650,銘德藥局,藥師自營,(02)27511833,臺北市松山區八德路２段３６６巷２８號,臺北業務組,5,,,20270306,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上看診,-,63000,20120307,25.0472032,121.5459278
5901012712,立康大藥局,藥師自營,(02)27471749,臺北市松山區八德路４段２－１號,臺北業務組,5,,,20271206,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上看診,-,63000,20121207,25.048046,121.5580144
5901012749,躍獅松和藥局,藥師自營,(02)27492569,臺北市松山區八德路４段６６６－１號,臺北業務組,5,,,20280102,星期一上午休診、星期二上午休診、星期三上午休診、星期四上午休診、星期五上午休診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上看診,周一~周六11:30-21:30周日12:30~21:30,63000,20130103,25.0498461,121.5761151
5901012758,京東藥局,藥師自營,(02)27679503,臺北市松山區南京東路５段２７２號,臺北業務組,5,,,20280122,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上看診,-,63000,20130123,25.0518277,121.5574266
5901012767,晨新藥局,藥師自營,(02)27422951,臺北市松山區八德路４段９１巷１－１號,臺北業務組,5,,,20280226,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上看診,-,63000,20130227,25.0489808,121.5607673
5901012918,躍獅京華藥局,藥師自營,(02)27666508,臺北市松山區南京東路５段７１號,臺北業務組,5,,,20250113,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上看診,-,63000,20140411,25.0518277,121.5574266
5901012963,綠之家藥局,藥師自營,(02)25289595,臺北市松山區延壽街４２８號,臺北業務組,5,,,20260915,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,禮拜日不販售快篩,63000,20140916,25.0561575,121.5562467
5901013095,康采藥局,藥師自營,(02)27670271,臺北市松山區南京東路５段２９１巷１７－２號,臺北業務組,5,,,20270805,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,-,63000,20150806,25.052336,121.566288
5901013120,誠康中西藥局,藥師自營,(02)27619679,臺北市松山區南京東路５段５９巷３１弄４３號,臺北業務組,5,,,20220814,,,63000,20151120,25.0518277,121.5574266
5901013148,唯康藥局,藥師自營,(02)25775000,臺北市松山區八德路３段２１１號,臺北業務組,5,,,20280303,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,-,63000,20160304,25.0482067,121.5565543
5901013175,台北長庚維康藥局,藥師自營,(02)27199386,臺北市松山區敦化北路１９９巷２弄５號１樓,臺北業務組,5,,,20280506,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,63000,20160507,25.0555286,121.5500536
5901013200,專品南京藥局,藥師自營,(02)25147685,臺北市松山區南京東路４段７３號,臺北業務組,5,,,20230620,,,63000,20160722,25.0519208,121.5531574
5901013246,芝欣藥局,藥師自營,(02)25706677,臺北市松山區八德路３段１４８號,臺北業務組,5,,,20251016,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,-,63000,20161017,25.0480049,121.5548513
5901013308,立赫敦北藥局,藥師自營,(02)27199277,臺北市松山區敦化北路２２２巷２０號,臺北業務組,5,,,20260305,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上看診,-,63000,20170306,25.0594401,121.5476894
5901013326,富景藥局,藥師自營,(02)27455666,臺北市松山區三民路１４５號,臺北業務組,5,,,20220308,,,63000,20170516,25.060815,121.563062
5901013344,健康活力藥師藥局,藥師自營,(02)27455556,臺北市松山區民生東路５段２１９號,臺北業務組,5,,,20260830,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上看診,-,63000,20170831,25.0584343,121.5556082
5901013362,啄木鳥藥局,藥師自營,(02)27422413,臺北市松山區八德路４段２０９號、２１１號（１、２層）,臺北業務組,5,,,20260919,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上看診,-,63000,20170920,25.0491862,121.5639827
5901013371,玖田藥局,藥師自營,(02)27666578,臺北市松山區八德路４段６５５號,臺北業務組,5,,,20261023,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上看診,-,63000,20171024,25.0502095,121.5755524
5901013380,澄馨藥局,藥師自營,(02)27420159,臺北市松山區三民路３７號,臺北業務組,5,,,20261207,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上看診,-,63000,20171208,25.0557787,121.5635295
5901013399,一安正昇藥局,藥師自營,(02)27680993,臺北市松山區南京東路５段３０９號,臺北業務組,5,,,20270131,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上看診,-,63000,20180201,25.0518277,121.5574266
5901013433,杏一延吉藥局,藥師自營,(02)25798450,臺北市松山區八德路３段７４巷４５弄１號１樓,臺北業務組,5,,,20270817,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上看診,-,63000,20180818,25.0461712,121.552489
5901013442,松山八德藥局,藥師自營,(02)27782773,臺北市松山區八德路２段４００號,臺北業務組,5,,,20230606,,,63000,20180913,25.0480219,121.5465029
5901013451,新德大藥局,藥師自營,(02)27673402,臺北市松山區饒河街２０４號,臺北業務組,5,,,20271106,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上看診,-,63000,20181107,25.0507427,121.5770352
5901013460,光點延新藥局,藥師自營,(02)27667795,臺北市松山區延壽街１０１號,臺北業務組,5,,,20280307,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上看診,-,63000,20190308,25.0572424,121.5659762
5901013488,欣生藥局,藥師自營,(02)27567611,臺北市松山區民生東路５段１３８巷１號,臺北業務組,5,,,20230709,,,63000,20190401,25.0584343,121.5556082
5901013504,杏一台北長庚藥局,藥師自營,(02)25149463,臺北市松山區敦化北路１９９巷２弄３號,臺北業務組,5,,,20280430,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上看診,-,63000,20190501,25.0555959,121.5500553
5901013513,立赫民生藥局,藥師自營,(02)27139200,臺北市松山區民生東路４段７２號,臺北業務組,5,,,20240229,,,63000,20190601,25.0580788,121.555653
5901013531,佑全松山南京東藥局,藥師自營,(04)23582999,臺北市松山區南京東路５段２９１巷７號,臺北業務組,5,,,20220331,,,63000,20200213,25.0520418,121.5662419
5901013586,安禾大藥局,藥師自營,(02)27602952,臺北市松山區撫遠街３８２號,臺北業務組,5,,,20261214,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,63000,20201215,25.0643845,121.5655817
5901013595,巧心藥局,藥師自營,(02)25703728,臺北市松山區八德路３段１２巷５７弄３９之３號１樓,臺北業務組,5,,,20270131,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上休診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,63000,20210201,25.0455112,121.5521379
5901013620,躍獅敦北藥局,藥師自營,(02)27155691,臺北市松山區民生東路４段８０巷５號１樓,臺北業務組,5,,,20220802,,,63000,20210306,25.0580788,121.555653
5901013648,慶昌藥局,藥師自營,(02)25770820,臺北市松山區延吉街２９號１樓,臺北業務組,5,,,20270331,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上看診,-,63000,20210401,25.0460675,121.5537344
5901013657,順儷中崙藥局,藥師自營,(02)25796900,臺北市松山區八德路３段７４巷４８號１樓,臺北業務組,5,,,20270621,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,63000,20210622,25.0468802,121.552437
5901013666,晨心藥局,藥師自營,(02)27128386,臺北市松山區民生東路３段１０１號１樓,臺北業務組,5,,,20221219,,,63000,20210708,25.0575733,121.5398306
