WKT,醫療院所,縣市,鄉鎮市區,地址,電話,lat,lon
POINT (121.550838334164 25.0381051321677),名流牙醫診所,臺北市,大安區,仁愛路四段137號2樓,0227760577,25.0381051321677,121.550838334164
POINT (121.522272943582 25.0276179966373),李婦產科診所,臺北市,大安區,羅斯福路2段41號8樓之1,23935949,25.0276179966373,121.522272943582
POINT (121.550635537068 25.0334246499416),陳瑞鵬婦產科診所,臺北市,大安區,信義路四段177號2樓,0227541639,25.0334246499416,121.550635537068
POINT (121.526375378366 25.0342288181404),信恩美醫診所,臺北市,大安區,信義路二段72號4樓,0223932388,25.0342288181404,121.526375378366
POINT (121.551526845543 25.0335629700468),張少萌婦產科診所,臺北市,大安區,信義路四段199巷2號4樓之1之2,0227000101,25.0335629700468,121.551526845543
POINT (121.544146816073 25.0249778090013),曹眼科診所,臺北市,大安區,和平東路二段269號2樓,0227056576,25.0249778090013,121.544146816073
POINT (121.554791692663 25.0219907475788),大安黃耳鼻喉科診所,臺北市,大安區,和平東路3段234號,0227327331,25.0219907475788,121.554791692663
POINT (121.554791692663 25.0219907475788),大安黃耳鼻喉科診所,臺北市,大安區,和平東路3段234號,0227327331,25.0219907475788,121.554791692663
POINT (121.540986956129 25.0418487607771),?安診所,臺北市,大安區,忠孝東路3段243號3樓,27713369,25.0418487607771,121.540986956129
POINT (121.551434143283 25.0412622849872),忠孝大學眼科診所,臺北市,大安區,忠孝東路4段178號1樓、178號2樓、178之1號1樓、178之1號2樓,27407890,25.0412622849872,121.551434143283
POINT (121.554935371469 25.0208562380783),李唯通診所,臺北市,大安區,安居街十九號,23773506,25.0208562380783,121.554935371469
POINT (121.553890851484 25.031745865589),呂小兒科診所,臺北市,大安區,通化街二十四巷六號一樓,27000708,25.031745865589,121.553890851484
POINT (121.555171554242 25.0216364533845),安居診所,臺北市,大安區,和平東路3段252號,27324000,25.0216364533845,121.555171554242
POINT (121.530312278104 25.0189785138661),陳惠章婦產科家庭醫學科診所,臺北市,大安區,羅斯福路三段二六一號二樓,83695026,25.0189785138661,121.530312278104
POINT (121.547556866448 25.0410862578284),梁偉中整形外科診所,臺北市,大安區,忠孝東路四段一二四之四號五樓,0227716660,25.0410862578284,121.547556866448
POINT (121.543049498735 25.0331889091182),黃崇禮皮膚科診所,臺北市,大安區,信義路三段192-1號3樓,27053055,25.0331889091182,121.543049498735
POINT (121.529686248698 25.0335599419805),秋江外科診所,臺北市,大安區,信義路二段一七八號二樓,23211793,25.0335599419805,121.529686248698
POINT (121.552492778005 25.041234251286),張尚哲婦產科診所,臺北市,大安區,忠孝東路四段210號4Ｆ,0227721222,25.041234251286,121.552492778005
POINT (121.55116557963 25.0416870725792),霍天年整形外科診所,臺北市,大安區,忠孝東路四段一九一號六樓之一,87718468,25.0416870725792,121.55116557963
POINT (121.553877537582 25.0433649312526),萬通耳鼻喉科診所,臺北市,大安區,延吉街64－2號1樓,0227518909,25.0433649312526,121.553877537582
POINT (121.549408537652 25.0347616343977),誠品診所,臺北市,大安區,敦化南路一段317號,0227556012,25.0347616343977,121.549408537652
POINT (121.549912813634 25.033056922146),琳安診所,臺北市,大安區,信義路4段138號3樓、140號3樓,２７０８４３００,25.033056922146,121.549912813634
POINT (121.552726717793 25.0247984432156),張國麟耳鼻喉科診所,臺北市,大安區,和平東路三段一四七號一樓,27338386,25.0247984432156,121.552726717793
POINT (121.545326061016 25.0420281881864),極緻皮膚專科診所,臺北市,大安區,忠孝東路四段49巷2號7樓,27500066,25.0420281881864,121.545326061016
POINT (121.545933000241 25.0394700002916),長松眼科診所,臺北市,大安區,大安路一段一二六巷一號,27402102,25.0394700002916,121.545933000241
POINT (121.548419752368 25.0313810720183),周大中婦產科診所,臺北市,大安區,敦化南路二段四十六號二樓,27552757,25.0313810720183,121.548419752368
POINT (121.55296682065 25.033792855161),貝拉整形外科診所,臺北市,大安區,安和路1段141巷6號(實際營業地址:1樓),27099776,25.033792855161,121.55296682065
POINT (121.555794384203 25.0369155446609),慈民骨科診所,臺北市,大安區,延吉街233巷2號,27069888,25.0369155446609,121.555794384203
POINT (121.552576729811 25.0416622212807),知美整形外科診所,臺北市,大安區,忠孝東路4段221號6樓,27769306,25.0416622212807,121.552576729811
POINT (121.543699783033 25.0279494878619),大安耳鼻喉科診所,臺北市,大安區,復興南路二段163號,02-27005855,25.0279494878619,121.543699783033
POINT (121.543370293518 25.0329055837959),窈窕診所,臺北市,大安區,復興南路2段6號4樓,27096458,25.0329055837959,121.543370293518
POINT (121.523508544997 25.0259631773443),尚品牙醫診所,臺北市,大安區,羅斯福路二段79-1號2樓,23628288,25.0259631773443,121.523508544997
POINT (121.549612157425 25.0334565660089),林孟文牙醫診所,臺北市,大安區,信義路四段143號2樓,27047800,25.0334565660089,121.549612157425
POINT (121.539520286376 25.042904447735),日禾牙醫診所,臺北市,大安區,忠孝東路3段217巷3弄4號,27409412,25.042904447735,121.539520286376
POINT (121.534394533701 25.0402620727678),祥仁牙醫診所,臺北市,大安區,濟南路三段17之1號,27316338,25.0402620727678,121.534394533701
POINT (121.556185124515 25.0380016166292),本華牙醫診所,臺北市,大安區,仁愛路四段413號3樓,27517896,25.0380016166292,121.556185124515
POINT (121.525709246194 25.0270126459632),冠德牙醫診所,臺北市,大安區,和平東路一段91號10樓,23224533,25.0270126459632,121.525709246194
POINT (121.536077730502 25.0376477322476),青田牙醫診所,臺北市,大安區,仁愛路三段26之3號3樓,33225151,25.0376477322476,121.536077730502
POINT (121.524692758537 25.0270949020946),至善牙醫診所,臺北市,大安區,和平東路一段67號3樓,23968883,25.0270949020946,121.524692758537
POINT (121.543271395333 25.0331818696637),胡桃鉗牙醫診所,臺北市,大安區,信義路三段200號3樓、3樓之1,27090033,25.0331818696637,121.543271395333
POINT (121.548181115427 25.035307742239),敦維牙醫診所,臺北市,大安區,四維路33號,27061555,25.035307742239,121.548181115427
POINT (121.557379214639 25.0393903065389),波士頓牙醫診所,臺北市,大安區,光復南路288號2樓之2,0227736789,25.0393903065389,121.557379214639
POINT (121.529965832977 25.0327679615288),誠良牙醫診所,臺北市,大安區,永康街13巷1號2樓之1,23936306,25.0327679615288,121.529965832977
POINT (121.547359113431 25.0381780263751),正誠牙醫診所,臺北市,大安區,仁愛路4段79號9樓、9樓之2,87716277,25.0381780263751,121.547359113431
POINT (121.557393936386 25.037158145604),瑞品牙醫診所,臺北市,大安區,光復南路三九O之一號一樓,27040466,25.037158145604,121.557393936386
POINT (121.535340000147 25.0258100001979),小王子牙醫診所,臺北市,大安區,和平東路二段四O號二樓,33651749,25.0258100001979,121.535340000147
POINT (121.538304498311 25.0332805107889),群智牙醫診所,臺北市,大安區,信義路三段一0六號二樓之五,27007202,25.0332805107889,121.538304498311
POINT (121.551603801332 25.038096525503),來德牙醫診所,臺北市,大安區,仁愛路四段一四五號三樓,87710071,25.038096525503,121.551603801332
POINT (121.544795999718 25.0284690000143),月馨牙醫診所,臺北市,大安區,復興南路二段一五一巷三一號,27554237,25.0284690000143,121.544795999718
POINT (121.553338086093 25.0411913235015),貝爾牙醫診所,臺北市,大安區,忠孝東路四段218之1號C棟4樓,27788068,25.0411913235015,121.553338086093
POINT (121.541608155511 25.0287713951916),磊磊牙醫診所,臺北市,大安區,瑞安街65號,0227090987,25.0287713951916,121.541608155511
POINT (121.536976585203 25.041061866502),柏堅牙醫診所,臺北市,大安區,建國南路一段160號3樓,0227313786,25.041061866502,121.536976585203
POINT (121.526194118236 25.0667456302312),全美牙醫診所,臺北市,中山區,德惠街17號,0225932124,25.0667456302312,121.526194118236
POINT (121.526869223782 25.0649799483475),曾賢德牙醫診所,臺北市,中山區,農安街49號二Ｆ,0225960496,25.0649799483475,121.526869223782
POINT (121.543789473042 25.0505875303016),威世牙醫診所,臺北市,中山區,復興北路66號,02-27761339,25.0505875303016,121.543789473042
POINT (121.523684243992 25.0653777603833),雙城牙醫診所,臺北市,中山區,雙城街18巷8號,0225981120,25.0653777603833,121.523684243992
POINT (121.530458865958 25.054746492326),日進牙醫診所,臺北市,中山區,長春路124號2樓,0225234643,25.054746492326,121.530458865958
POINT (121.523843109891 25.051986061152),新現代牙醫診所,臺北市,中山區,南京東路一段34號3Ｆ,0225641525,25.051986061152,121.523843109891
POINT (121.578669384463 25.0783332251824),恩光中醫診所,臺北市,內湖區,江南街15號,02-8797-7598,25.0783332251824,121.578669384463
POINT (121.604627165264 25.0736172024558),京威聯合牙醫診所,臺北市,內湖區,金湖路三七六號一樓,26307566,25.0736172024558,121.604627165264
POINT (121.573756895826 25.0807286707357),麗緻牙醫診所,臺北市,內湖區,內湖路一段六○九號一樓,87515661,25.0807286707357,121.573756895826
POINT (121.576060785198 25.0799323084059),永霖牙醫診所,臺北市,內湖區,內湖路一段673號2樓,0227992297,25.0799323084059,121.576060785198
POINT (121.575335163783 25.0802574016824),德威國際牙醫診所,臺北市,內湖區,內湖路一段659號3樓,02-27999955,25.0802574016824,121.575335163783
POINT (121.591779970816 25.081829484459),德文復健科診所,臺北市,內湖區,成功路四段36號2樓,0227943684,25.081829484459,121.591779970816
POINT (121.575545878913 25.0778651442706),國泰醫療財團法人內湖國泰診所,臺北市,內湖區,瑞光路337號(1、2、3、4樓),02-87972121,25.0778651442706,121.575545878913
POINT (121.580991321035 25.082006193825),皇家牙醫診所,臺北市,內湖區,內湖路二段103巷48－3號,0226276756,25.082006193825,121.580991321035
POINT (121.591955722767 25.0819942680684),信光牙醫診所,臺北市,內湖區,成功路四段42號2樓,0227906989,25.0819942680684,121.591955722767
POINT (121.575335163783 25.0802574016824),優秀牙醫診所,臺北市,內湖區,內湖路一段659號3樓,02-27999955,25.0802574016824,121.575335163783
POINT (121.604832388757 25.0736702516775),展欣眼科診所,臺北市,內湖區,金湖路382號（1樓）,02-26342538,25.0736702516775,121.604832388757
POINT (121.595890445164 25.0685021540882),心力合診所,臺北市,內湖區,民權東路六段165、167、169、171號,27913169,25.0685021540882,121.595890445164
POINT (121.580249826907 25.0761993571312),安政牙醫診所,臺北市,內湖區,文德路二十二巷四十一號,02-26570847,25.0761993571312,121.580249826907
POINT (121.592760923269 25.0817017888757),成安耳鼻喉科診所,臺北市,內湖區,成功路四段61巷10號,27935940,25.0817017888757,121.592760923269
POINT (121.593310777086 25.0849634959223),恩光牙醫診所,臺北市,內湖區,金龍路57號一樓,0227902590,25.0849634959223,121.593310777086
POINT (121.591707573722 25.0683763953171),惟君美學牙醫診所,臺北市,內湖區,民權東路六段168號1及2樓,87920898,25.0683763953171,121.591707573722
POINT (121.589854363863 25.0753254519137),洪永祥診所,臺北市,內湖區,成功路三段6巷1號、1號2樓,87917601,25.0753254519137,121.589854363863
POINT (121.579336998205 25.0765105877376),弘育診所,臺北市,內湖區,文德路22巷9弄64號,0226578699,25.0765105877376,121.579336998205
POINT (121.592752279764 25.084043506529),丰采牙醫診所,臺北市,內湖區,內湖路2段391號1樓及484號3樓,02-27903265,25.084043506529,121.592752279764
POINT (121.59203760889 25.0835083610265),卓家泉安堂老舖中醫診所,臺北市,內湖區,內湖路二段三五三號一樓,0227909217,25.0835083610265,121.59203760889
POINT (121.578361759103 25.082673735777),林德中醫診所,臺北市,內湖區,港墘路23號,0226579999,25.082673735777,121.578361759103
POINT (121.601494401743 25.0846051155601),蘇中醫診所,臺北市,內湖區,成功路五段20號,02-27929890,25.0846051155601,121.601494401743
POINT (121.619402911641 25.0691479970466),惠元中醫診所,臺北市,內湖區,康樂街61巷17號,26326087,25.0691479970466,121.619402911641
POINT (121.613239873979 25.0700849988187),璟榮中醫診所,臺北市,內湖區,東湖路43巷31號1樓,26320077,25.0700849988187,121.613239873979
POINT (121.579078762141 25.0768869017078),萬安堂中醫診所,臺北市,內湖區,文德路22巷9弄42號1樓,26599135,25.0768869017078,121.579078762141
POINT (121.618925100173 25.070406184105),鴻成中醫診所,臺北市,內湖區,康樂街86號,26308699,25.070406184105,121.618925100173
POINT (121.577650764436 25.0802585841898),麗正牙醫診所,臺北市,內湖區,港墘路101號1樓,0227993528,25.0802585841898,121.577650764436
POINT (121.578591126189 25.0806497448506),文心牙醫診所,臺北市,內湖區,內湖路一段737巷50弄31號,0226571134,25.0806497448506,121.578591126189
POINT (121.599188471513 25.0848777954816),大湖牙醫診所,臺北市,內湖區,成功路四段334號,0227933781,25.0848777954816,121.599188471513
POINT (121.614836684706 25.0685069228067),北一牙醫診所,臺北市,內湖區,東湖路88號2Ｆ,0226310487,25.0685069228067,121.614836684706
POINT (121.590018993603 25.0795977512475),深博牙醫診所,臺北市,內湖區,成功路三段143號6樓,0227931557,25.0795977512475,121.590018993603
POINT (121.590656258234 25.0782696891125),健恩牙醫診所,臺北市,內湖區,星雲街17－2號,0227941446,25.0782696891125,121.590656258234
