收費標準,機構類別,機構名稱,電話,地址,lat,lon
自費,機構式,安和物理治療所,0227773005,104.0臺北市中山區長安東路二段178號3樓,25.0481601,121.5406131
自費,機構式,大德物理治療所,0223563563,104.0臺北市中山區復興北路66號3樓,25.0507433,121.5437844
自費,居家式,艾可居家物理治療所,0225992630,104.0臺北市中山區農安街148號,25.064695,121.5322519
自費,機構式,厝邊頭家物理治療所,0225372293,104.0臺北市中山區新生北路2段47號1樓,25.0555622,121.5280543
自費,機構式,透視物理治療所,0980267466,104.0臺北市中山區林森北路50號5樓之4,25.0484979,121.5242303
自費,機構式,珂斯汀物理治療所,0933321625,104.0臺北市中山區民生東路3段88巷8號(1樓),25.0581162,121.5373636
自費,機構式,明水物理治療所,0285092815,104.0臺北市中山區北安路554巷45號1樓,25.0801521,121.5500559
自費,機構式,樂脊物理治療所,0225025161,104.0臺北市中山區復興北路354號3樓,25.0603073,121.5438466
自費,機構式,安健維康物理治療所,0227177600,105.0臺北市松山區南京東路4段183號2樓,25.051152,121.550072
自費,機構式,臺北田徑場物理治療所,0225798993,105.0臺北市松山區敦化北路3號,25.0496452,121.5524318
自費,機構式,景能物理治療所,0227422753,105.0臺北市台北市松山區光復北路3號3樓,25.0485381,121.5580279
自費,居家式,康齡安健物理治療所,0955780042,105.0臺北市松山區八德路三段225號2樓之7,25.048289,121.5570526
自費,機構式,禾悅物理治療所,0225783923,105.0臺北市松山區光復北路8號2樓,25.0486495,121.5576444
自費,機構式,生生優動民生運動物理治療所,0228721526,105.0臺北市松山區延壽街330巷1號,25.0562928,121.5604092
自費,機構式,太陽物理治療所,0988351217,105.0臺北市松山區三民路43巷3號(1樓),25.055962,121.5633269
自費,機構式,永業物理治療所,0225456298,105.0臺北市松山區南京東路4段93號1樓,25.051152,121.550072
自費,機構式,牧仁物理治療所,0225173712,105.0臺北市松山區長春路492號3樓,25.0543479,121.5471288
自費,機構式,回春物理治療所,0227003779,106.0臺北市大安區復興南路一段253巷2號2樓,25.0367501,121.5439761
自費,機構式,畢士大物理治療所,0223647188,106.0臺北市大安區和平東路二段四十二號三樓,25.0253227,121.5407581
自費,機構式,大安晨熙物理治療所,0227094866,106.0臺北市大安區信義路三段172號3樓之1,25.0331198,121.5421239
自費,機構式,秉格物理治療所,0227012651,106.0臺北市大安區信義路4段151號6樓,25.0334418,121.5498335
自費,機構式,陽明大安物理治療所,0227097922,106.0臺北市大安區新生南路一段165巷1號,25.0343478,121.5331693
自費,機構式,凱樂信義物理治療所,0227039060,106.0臺北市大安區信義路3段150號4樓之1,25.0332279,121.5406409
自費,機構式,川物理治療所,0227840261,106.0臺北市大安區敦化南路2段5號11樓之3,25.0328155,121.5492598
自費,機構式,動晰物理治療所,0916720104,106.0臺北市大安區建國南路1段200號6樓,25.0443768,121.5370546
自費,機構式,艾爾適能物理治療所,0227060198,106.0臺北市大安區敦化南路2段154巷5號,25.0253521,121.548008
自費,機構式,光合物理治療所,0917696100,106.0臺北市大安區復興南路1段204號7樓之1,25.0367328,121.5433687
自費,機構式,樞適物理治療所,0227791357,106.0臺北市大安區忠孝東路四段178之1號10樓,25.0412611,121.5513739
自費,機構式,擁悅物理治療所,0977027425,106.0臺北市大安區安和路2段211號4樓,25.0260229,121.5503135
自費,機構式,新衡物理治療所,0223623936,106.0臺北市大安區溫州街52巷19號,25.0211178,121.5319985
自費,居家式,適群居家物理治療所,0935361750,106.0臺北市大安區四維路198巷38弄8號2樓之4,25.0264616,121.5454133
自費,機構式,瞻恒物理治療所,0963719736,106.0臺北市大安區瑞安街23巷8之1號,25.0310718,121.5451075
自費,機構式,大安國際物理治療所,0905808916,106.0臺北市大安區信義路3段111巷2之4號,25.033959,121.5393126
自費,機構式,哈佛物理治療所,0282588536,108.0臺北市萬華區西園路二段362號7樓,25.0254001,121.4916164
自費,居家式,幸福物理治療所,0980124576,108.0臺北市萬華區西園路2段13巷12號,25.0392644,121.4999928
自費,居家式,純居家物理治療所,0223393123,108.0臺北市萬華區東園街73巷60號3樓,25.0264807,121.4980983
自費,機構式,漢華物理治療所,0223016181,108.0臺北市萬華區西園路二段254巷5號4樓,25.028014,121.4942611
自費,機構式,易康脊足體態物理治療所,0287321550,110.0臺北市信義區和平東路三段215號3樓,25.0234459,121.5538309
自費,機構式,宏光物理治療所,0227651220,110.0臺北市信義區虎林街38號,25.0477799,121.5763608
自費,機構式,鉑適物理治療所,0227583285,110.0臺北市信義區仁愛路4段520之3號,25.0372616,121.5617881
自費,居家式,脊立安居家物理治療所,0909009527,110.0臺北市信義區永吉路491巷5弄46號 (實際營業地址：2樓),25.0461991,121.579971
自費,機構式,揪健康運動物理治療所,0227225722,110.0臺北市信義區忠孝東路4段500號10樓之2,25.041012,121.557158
自費,機構式,安安物理治療所,028120898,111.0臺北市士林區重慶北路四段136號(實際使用:1樓),25.0834066,121.5125016
自費,居家式,棨晨居家物理治療所,0919265482,111.0臺北市士林區忠誠路二段32巷11號2樓,25.1093629,121.5294466
自費,機構式,樂橙物理治療所,0228771201,111.0臺北市士林區天母西路22巷1之1 號,25.1180803,121.5273104
自費,居家式,跑居家物理治療所,0228164533#319,111.0臺北市士林區重慶北路四段248號(實際使用:3樓306室),25.0866321,121.5114181
自費,居家式,尚好物理治療所,0983739660,111.0臺北市士林區重慶北路四段250號(實際使用:3樓315室),25.0860124,121.5108328
自費,機構式,生生優動天母運動物理治療所,0228728889,111.0臺北市士林區中山北路七段148之4號,25.1234105,121.5326302
自費,機構式,慕福物理治療所,0228312465,111.0臺北市士林區福國路50巷6弄8號1樓,25.102646,121.5240001
自費,機構式,陽明物理治療所,0228270453,112.0臺北市北投區石牌路一段166巷20號1、2樓及22號1、2樓,25.1141133,121.5136714
自費,機構式,晉熯脊骨物理治療所,0939186632,112.0臺北市北投區振華街42號,25.1159451,121.518313
自費,機構式,陳子敬物理治療所,0228285596,112.0臺北市北投區致遠三路55巷78號(1、2樓),25.1210117,121.509153
自費,機構式,雙全物理治療所,0975543550,112.0臺北市北投區明德路7號,25.1067189,121.5170067
自費,機構式,陽明交大領航物理治療所,0228261698,112.0臺北市北投區西安街2段167號3樓及3樓之1至12,25.1191116,121.5116191
自費,機構式,湖光物理治療所,0227920234,114.0臺北市內湖區成功路4段38號3樓,25.0819334,121.591805
自費,機構式,內湖物理治療所,0227938750,114.0臺北市內湖區內湖路一段615號1樓,25.0806898,121.5740205
自費,機構式,艾思物理治療所,0289310203,116.0臺北市文山區羅斯福路六段143號,24.9975615,121.5409444
自費,機構式,誠星物理治療所,0286635288,116.0臺北市文山區羅斯福路六段138號2樓,24.9965863,121.5407232
自費,居家式,好物理治療所,0229355335,116.0臺北市文山區萬隆街64號3樓,25.0008868,121.5369336
自費,機構式,新安物理治療所,0965317178,116.0臺北市文山區興隆路3段152巷18號1樓,24.9984417,121.5579281
自費,機構式,健杏物理治療所,0981081011,104.0臺北市中山區長春路135-1號3樓,25.0549639,121.5314503
自費,機構式,菲萌物理治療所,0227001345,106臺北市大安區復興南路一段259號2樓,25.0364035,121.5439503
自費,居家式,燈塔居家物理治療所,0937692257,104.0臺北市大同區民族西路95之3號,25.0686905,121.517533
自費,機構式,運科物理治療所,0223628233,104.0臺北市大安區師大路92巷6號2樓,25.0224572,121.528211
自費,居家式,揪健康信義物理治療所,0905531135,104.0臺北市信義區忠孝東路四段500號10樓之2,25.0410008,121.5617658
自費,機構式,明水敦南物理治療所,0227002880,104.0臺北市大安區安和路一段112巷25號,25.0340157,121.5505534
自費,機構式,禾康物理治療所,0228926223,104.0臺北市北投區光明路223號5樓,25.1364863,121.5041391
自費,居家式,動知物理治療所,0225450968,104.0臺北市松山區敦化北路120巷22號,25.0540451,121.5473328
自費,機構式,由朵物理治療所,0227315378,104.0臺北市大安區光復南路230號1樓,25.041145,121.5574493
自費,居家式,準心物理治療所,0227317088,104.0臺北市大安區光復南路280號1樓,25.0396783,121.5574902
自費,機構式,新順安物理治療所,0223931688,104.0臺北市中正區汀州路三段76號1樓,25.0145623,121.5321603
自費,機構式,昕磰物理治療所,0287925989,114.0臺北市內湖區行善路199號1樓,25.059911,121.5822244
自費,機構式,復適能物理治療所,0227087100,104.0臺北市大安區仁愛路四段151號1樓,25.037959,121.5517845
自費,機構式,諾得特物理治療所,0227398252,104.0臺北市大安區復興南路一段58號4樓,25.0449475,121.5437506
自費,機構式,脊醫德克物理治療所,0227581058,104.0臺北市信義區基隆路二段170號1樓,25.0269627,121.5551032
自費,機構式,瞻穎物理治療所,0227726600,105.0臺北市大安區信義路四段306號5樓,25.0329126,121.5548878
自費,機構式,起辰物理治療所,0227883622,105.0臺北市文山區興隆路三段88號1樓,24.9995993,121.5567291
自費,機構式,全星物理治療所,0227072525,105.0臺北市大安區忠孝東路四段140號1樓,25.0414667,121.5484724
自費,居家式,復力物理治療所,0228982502,105.0臺北市北投區大業路620號1樓,25.1365517,121.4979084
自費,機構式,生生優動古亭運動物理治療所,0266057889,100.0臺北市中正區福州街10號2樓,25.029418,121.519777
自費,機構式,博證物理治療所,0223919598,100.0臺北市中正區青島東路9號3樓,25.0437767,121.5227057
自費,機構式,沐康物理治療所,0223223627,100.0臺北市中正區忠孝東路一段176號3樓之1,25.0438334,121.526423
自費,居家式,生生優動萬芳運動物理治療所,0266057910,106.0臺北市文山區興隆路三段76號2樓,24.9997849,121.5564855
自費,機構式,陽明動身物理治療所,0287729183,106.0臺北市中山區遼寧街119號5 樓,25.0514182,121.5420015
自費,機構式,連邦物理治療所,0225798170,106.0臺北市松山區南京東路四段52巷11號1樓,25.050952,121.5537574
自費,機構式,史塔克運動物理治療所,0285092555,106.0臺北市中山區樂群二路189號5F-3,25.0803431,121.5581972
自費,機構式,康富物理治療所,0223432200,"106.0臺北市中正區四, No. 3號寧波西街",25.0267441,121.5107584
自費,機構式,生生優動信義運動物理治療所,0266057976,106.0臺北市信義區光復南路447-1號,25.0352669,121.5577538
健保,機構式,康富大安物理治療所,0227060672,106.0臺北市大安區瑞安街276巷16號,25.0264259,121.5381622
自費,居家式,研力物理治療所,0225041999,104.0臺北市中山區南京東路三段28號中國企業大樓2樓,25.0517408,121.5378828
自費,機構式,澄心康健物理治療所,0277337576,106.0臺北市大安區建國南路一段270巷27號,25.0365905,121.5357792
自費,機構式,林曉琦小兒物理治療所,0225798170,106.0臺北市松山區南京東路四段52巷11號1樓,25.050952,121.5537574
健保,機構式,愛迪樂中山物理治療所,0225216043,106.0臺北市中山區松江路221巷17號,25.0584628,121.5352503
自費,機構式,生生優動內湖運動物理治療所,0227991526,106.0臺北市內湖區內湖路一段727號,25.07919,121.5780334
自費,機構式,江威漢物理治療所,0228282892,106.0臺北市北投區天母西路124號,25.1189473,121.5225869
自費,機構式,晨耀物理治療所,0228342229,106.0臺北市士林區中山北路五段718號1樓,25.0980829,121.5275555
