序號,據點名稱,據點地址,據點電話,lat,lon
25,財團法人台灣基督長老教會三角埔教會,臺北市士林區社新里延平北路六段261巷3號,0919890720,25.0888536,121.503941
26,社團法人中華民國香柏樹長者社區關懷協會（台大）,臺北市大安區大學里新生南路3段86號,23632096,25.0186006,121.5331196
27,財團法人福智慈善基金會(天母),臺北市士林區蘭興里中山北路六段243號1F,02-2838-2503 #12,25.1092337,121.5251501
28,台北市劍橋有愛全人關懷協會,臺北市士林區百齡里福港街244巷3號,02-28812424,25.0842964,121.5172144
29,財團法人天主教遣使會-聖文生之友社區關懷據點,臺北市士林區天山里中山北路7段134號,02-28763236,25.1227884,121.5322519
30,台灣健康社區自主發展協會,臺北市士林區三玉里德行東路203巷2號1樓,02-28369493或0919-206-511,25.1092589,121.5322353
31,財團法人伊甸社會福利基金會,臺北市松山區復勢里八德路三段155巷4弄35號1樓,藝術:透過不同類型課程，單純接納和創作自己的作品。 音樂與志願服務:歌唱的學習與練習，享受合聲的美妙與唱歌的樂趣，並藉由志願服務的演出，享受助人的幸福感。 運動:學習隨時隨地可以做的伸展運動，紓發壓力及提升身體活動量。,25.0489529,121.5557307
32,社團法人台北市二村基石關懷協會,臺北市松山區東榮里民生東路5段69巷2弄10、12號,02-27632002,25.0584343,121.5556082
33,臺北市松山區安平社區發展協會,臺北市松山區安平里寶清街42號2樓,02-87806411,25.0531716,121.5676076
34,財團法人臺北市現代悅齡社會福利基金會,臺北市士林區福佳里華聲街17號5樓,-11,25.096592,121.5225494
35,財團法人台北市基督教全人福利事業基金會(吳興教會),臺北市信義區三張里吳興街269巷18弄8號,0227589796,25.0270495,121.5648277
36,臺北市北投區秀山社區發展協會,臺北市北投區秀山里中和街502巷2弄11號1樓(里民活動場所),00-28941666、02-28927778,25.1456211,121.4948349
37,財團法人臺北醫學大學展齡中心(信義),臺北市信義區景勤里台北市信義區景勤里吳興街156巷16弄7號,02-27365986,25.0288592,121.5608387
38,臺北市北投區永和社區發展協會,臺北市北投區永和里行義路138-1號1樓,02-28765741,25.129609,121.528045
39,社團法人台北市銀髮族協會(松山),臺北市松山區安平里寶清街42號2樓,02-87806411,25.0531716,121.5676076
40,財團法人台北市中國基督教靈糧世界佈道會台北靈糧堂(古亭靈糧福音中心),臺北市中正區永功里三元街198號1樓/2樓/218號,02-23396540,25.0276511,121.5119608
41,社團法人社區大學全國促進會,臺北市內湖區石潭里新明路22號純美樓3樓,6695-0919,25.0606501,121.5904736
42,臺北市內湖區安泰里社區發展協會,臺北市內湖區安泰里安泰街65巷5號,26336976,25.0749478,121.6171464
43,財團法人基督教救世軍(內湖隊),臺北市內湖區西湖里內湖路1段285巷63弄7號,02-27990098,25.083901,121.5670714
44,臺北市復華長青多元服務中心(社團法人中華民國士林靈糧堂社會福利協會),臺北市中山區復華里遼寧街185巷11號,02-27171393*16,25.0534368,121.5427985
45,臺北市內湖社區安全與健康協進會,臺北市內湖區寶湖里民權東路六段208號,02-2793-4447,25.0668288,121.5965738
46,社團法人台灣守護有祢生命關懷協會(守護復興崗小站),臺北市北投區奇岩里公館路376巷2弄9號1樓,0983-108777,25.1233589,121.5040005
47,臺北市中山區北安里辦公處,臺北市中山區北安里北安路759巷6號,02-25337936,25.0861907,121.5530869
48,臺北市北投區吉慶社區發展協會,臺北市北投區吉慶里致遠二路61巷2-2號,02-28282002,25.1149658,121.5114263
49,財團法人環宇國際文化教育基金會,臺北市中正區文盛里羅斯福路3段240巷17弄3號,02-2366-0743,25.0176349,121.5290591
50,臺北市永昌長青會,臺北市中正區永昌里寧波西街181巷24號1樓,2307-1068,25.026537,121.510054
51,財團法人采苑藝術文教基金會,臺北市中正區螢雪里詔安街29號(螢橋國小新大樓2樓),02 2301 8400,25.0251379,121.5143526
52,台灣華山開心協會,臺北市中正區幸福里忠孝東路1段150號2樓,02-23278616,25.0452974,121.5216527
53,臺北市內湖區湖興里辦公處,臺北市內湖區湖興里成功路二段320巷19號3樓,02-27914586,25.0676901,121.5899871
54,財團法人福智慈善基金會(東湖據點),臺北市內湖區五分里東湖路106巷2號、6號、8號,02-77516788,25.068302,121.6154551
55,社團法人台北市文山區明興社區發展協會,臺北市文山區明興里木柵路2段109巷25弄6號;興隆路4段61號；秀明路1段19巷1號,02-22340391,24.9898178,121.5627047
56,社團法人中華基督教加倍愛全人關懷協會,臺北市南港區中南里忠孝東路7段625巷16號,02-77059166*200,25.0522286,121.6099135
57,社團法人台灣厝邊有愛關懷協會(中研教會),臺北市南港區中研里研究院路2段11巷5號,02-23636356,25.0466822,121.6158315
58,財團法人台灣基督傳道會復生教會,臺北市南港區舊莊里南深路21巷18號,0227822075,25.0379276,121.6219253
59,臺北市中山區聚葉里辦公處,臺北市中山區聚葉里中山北路2段137巷35號,02-25812320,25.0618136,121.5247419
60,臺北市南港舊莊社區發展協會,臺北市南港區舊莊里舊莊街1段91巷11號(通訊地址：臺北市舊莊街一段145巷6弄39號 ),0931518686,25.0425192,121.617435
61,財團法人台灣老人急重症基金會(聚盛據點),臺北市中山區聚盛里民生東路一段42號7樓之3,02-25224388,25.0579194,121.5244916
62,財團法人台北市中山基督長老教會,臺北市中山區正得里臺北市中山區正得里中山北路1段53巷23號,02-25518480#119,25.052504,121.5228604
63,臺北市中正區網溪社區發展協會,臺北市中正區網溪里廈門街113巷12之1號1樓,,25.023294,121.5193769
64,財團法人台北市基督教南港浸信會(臨時會堂),臺北市南港區南港里南港路一段293號,,25.0543767,121.6079902
65,台北市內湖紳士協會,臺北市內湖區港墘里內湖路1段552號(港墘區民活動中心),0918-819089,25.0787637,121.577007
66,臺北市內湖區週美里辦公處,臺北市內湖區週美里南京東路6段330巷18弄12號1樓,2793-8003,25.0610146,121.5871576
67,台北市廣西同鄉會,臺北市中正區梅花里忠孝東路1段35號7樓,02-23210375,25.0425297,121.533259
68,臺北市大安區錦泰里辦公處,臺北市大安區錦泰里杭州南路2段61巷6號1號,02-2391-8123,25.0301871,121.5226401
69,臺北市中正區文祥社區發展協會,臺北市中正區文祥里杭州南路1段131巷22號,0919-319818,25.0360731,121.524089
70,財團法人佳音文教基金會,臺北市中山區圓山里雙城街43巷2號1樓,02-25962342,25.0675634,121.5247386
71,台北市朝陽服飾材料街區發展協會,臺北市大同區朝陽里重慶北路2段46巷6號,02-25523101,25.0552017,121.5138158
72,社團法人台北市歐伊寇斯OIKOS社區關懷協會,臺北市大同區永樂里延平北路2段60巷2號,02-25588896*631,25.055393,121.5115213
73,臺北市大同信望愛關懷協會(門諾),臺北市大同區至聖里重慶北路3段223巷43、45、47號,02-25948855,25.0705638,121.5155384
74,財團法人一粒麥子社會福利慈善事業基金會,臺北市大同區光能里承德路2段33之1號1樓,02-23320669,25.0546795,121.5184019
75,社團法人中華萌愛關懷協會,臺北市大同區揚雅里承德路60號B1,02-25931138,25.04424,121.538495
76,社團法人中華國際照顧發展協會,臺北市大同區南芳里迪化街1段296號,,25.0627757,121.5090957
77,財團法人台北市建成基督長老教會,臺北市大同區建泰里承德路1段77巷29號,02-25580685,25.0521949,121.5202958
78,臺北市萬華區仁德里辦公處,臺北市萬華區仁德里西寧南路192之2號1樓,,25.0389662,121.5061844
79,臺北市萬華區新安里辦公處,臺北市萬華區新安里萬大路187巷8號1樓,,25.0279204,121.5008438
80,財團法人天主教聖母聖心會,臺北市萬華區雙園里中山北路1段2號10樓之2,02-2302-8934,25.0526041,121.5226127
81,臺北市和德長壽健康促進協會,臺北市萬華區和德里興義街25號,23395285,25.0268592,121.4921752
82,臺北市萬華區錦德里辦公處,臺北市萬華區錦德里寶興街80巷18號,,25.0257504,121.4939029
83,臺北市大同區隆和里辦公處,臺北市大同區隆和里景化街46號,,25.0650578,121.5125801
84,財團法人利伯他茲教育基金會,臺北市文山區木新里永安街1號,29394359,24.9874482,121.5702677
85,社團法人中華恆動能健康促進協會(興安),臺北市文山區興安里興隆路2段88之2號1樓,0912-868531,24.9998821,121.548717
86,財團法人臺北市松年長春社會福利基金會(景華),臺北市文山區景華里景華街49巷1號,89311230,24.9951957,121.5427208
87,台北市石牌長青會,臺北市北投區長安里中央北路1段12號3樓及4樓,02-28913812,25.1328975,121.475307
88,台北市後山埤文化發展協會,臺北市南港區聯成里東新街91號,02-27851737，0938327576,25.0467113,121.5891318
89,慈濟大安臥龍環保教育站,臺北市大安區和安里臥龍街206號,,25.017826,121.551548
90,社團法人台灣厝邊有愛關懷協會（錫安教會）,臺北市南港區玉成里玉成街20號,23635546,25.0496413,121.5818645
91,臺北市文山區試院里辦公處,臺北市文山區試院里和興路88號2樓,02-22365228,24.9850552,121.5493036
92,臺北市文山區萬美里辦公處,臺北市文山區萬美里臺北市文山區萬美里萬美街2段2巷6號1樓；萬和街2號（萬芳4號公園教室）,0972-246039,25.00309,121.5622107
93,慈濟信義吳興環保教育站,臺北市信義區西村里松仁路315巷14號1樓,,25.0230211,121.5709489
94,臺北市士林區東山里辦公處,臺北市士林區東山里士東路320巷2號1樓,0986-666969,25.113504,121.538604
95,財團法人成長文教基金會,臺北市大安區仁慈里東豐街1號2樓,02-27000657,25.0361475,121.5438732
96,臺北市士林區福順里辦公處,臺北市士林區福順里延平北路5段136巷24號,02-28160989,25.0820854,121.5114478
97,臺北市大安區新龍里辦公處,臺北市大安區新龍里信義路3段134巷82號2樓,,25.0294137,121.5392804
98,臺北市中正區永功里辦公處,臺北市中正區永功里詔安街114號,,25.0256991,121.5109546
99,社團法人中華民國香柏樹長者社區關懷協會(樟新),臺北市文山區樟新里樟新街65號之1,,24.9777107,121.5566124
100,臺北市大同區國慶里辦公處,臺北市大同區國慶里民族西路260號1樓,,25.0684869,121.5121187
101,臺北市大同區永樂里辦公處,臺北市大同區永樂里南京西路239巷31號,,25.053761,121.509232
102,財團法人福智慈善基金會（安和據點）,臺北市大安區光信里信義路4段265巷21弄3號1樓/1號1樓,02-77526788,25.0344478,121.5546889
103,臺北市信義區安康里辦公處,臺北市信義區安康里虎林街232巷55號,02-27273989,25.0358654,121.5761703
104,臺北市信義區泰和社區發展協會,臺北市信義區泰和里松仁路308巷60號1樓、松仁路308巷61號,02-87862076,25.0212392,121.5699532
105,臺北市文山區萬盛里辦公處,臺北市文山區萬盛里興隆路1段15號3樓,0972-246012,25.0032637,121.5407835
106,臺北市中正區欣龍興社區發展協會,臺北市中正區龍興里三元街131號4樓(龍興區民活動中心),02-23032845 0917522883,25.0283,121.511
107,台灣旺齡協會,臺北市中正區頂東里羅斯福路3段84巷13、15號1樓,02-2368-0690,25.0216107,121.5268154
108,臺北市中山區新福里辦公處,臺北市中山區新庄里新生北路三段105號,0910-195039,25.0694619,121.5305774
109,臺北市中正區新林興社區發展協會,臺北市中正區林興里汀州路3段27巷16號/水源路臨28號/汀州路3段2號,02-23686919,25.0196889,121.527328
110,財團法人臺北市松年長春社會福利基金會(中正),臺北市中正區南福里羅斯福路1段94、96號11樓(中央教會),02-23948486,25.0242325,121.5246427
111,台北海洋學校財團法人台北海洋科技大學,臺北市士林區富洲里延平北路9段212號,,25.1081747,121.471137
112,社團法人臺北市麗山社區關懷協會,臺北市內湖區港都里麗山街348巷22號1-2樓及24號2樓(麗山禮拜堂),02-26270443#20,25.081954,121.5742339
113,康寧學校財團法人康寧大學,臺北市內湖區金湖里康寧路三段75巷137號,02-2632-1181,25.0754813,121.6095569
114,財團法人中華民國佛教慈濟慈善事業基金會(松山聯絡處),臺北市松山區吉祥里008鄰南京東路五段188號16樓,02-82281628#56,25.0512978,121.5635919
115,社團法人中華民國香柏樹長者社區關懷協會(內湖老人服務中心),臺北市內湖區東湖里康樂街110巷16弄20號5.6樓,02-26325560,25.0703735,121.6183879
116,臺北市內湖區碧湖社區發展協會,臺北市內湖區金龍里金龍路136-1號2樓,02-87926024,25.0857648,121.590059
117,臺北市北投區湖山里辦公處,臺北市北投區湖山里臺北市北投區湖山里紗帽路128號(中山新村),0932-923070,25.1511939,121.5468823
118,臺北市松山區慈祐里辦公處,臺北市松山區慈祐里八德路4段580號1樓,02-27657700,25.0496853,121.5720034
119,臺北市松山區建源社區發展協會,臺北市松山區復建里八德路3段158巷7弄20號(復建區民活動中心) 八德路3段158巷7,02-25791689,25.0473377,121.5560781
120,社團法人中華民國我願意全人關懷協會,臺北市南港區萬福里東新街64巷11、13號B1,02-27826248,25.0470249,121.5854022
121,財團法人基督教台灣信義會(內湖思恩堂),臺北市內湖區紫星里康寧路1段62號,02-27901497,25.080129,121.592353
122,財團法人台北市基督教台灣貴格會忠湖教會,臺北市內湖區湖元里民權東路六段56巷5弄8號1樓,02-27923347,25.0682796,121.5851851
123,臺北市松山區新東社區發展協會,臺北市松山區新東里延壽街3號,02-27664552,25.0574332,121.5690107
124,臺北市北投區尊賢社區發展協會,臺北市北投區尊賢里尊賢街302巷19號1樓,02-28270945,25.1181539,121.507691
125,台灣美滿家庭社區服務協會,臺北市文山區萬興里指南路2段11號,02-29390544,24.9884429,121.5734331
126,財團法人台北市台北中華基督教會(公理堂),臺北市中山區康樂里中山北路2段45巷39號,02-25118021,25.0545129,121.5249793
127,台北市北投區榮光社區發展協會,臺北市北投區榮光里石牌路1段166巷43弄15號,02-28231593,25.1133685,121.510814
128,臺北市北投區文化里辦公處,臺北市北投區文化里文化三路48號1樓,0928-965501,25.1385248,121.4980671
129,台北市石牌全人關懷協會,臺北市北投區榮華里明德路281號1樓、明德路283號2樓,02-28262602#11,25.1150378,121.5221147
130,臺北市中山區永安里辦公處,臺北市中山區永安里明水路389號,0910-857885,25.0776146,121.5465074
131,台北市文山區順興社區發展協會,臺北市文山區順興里興隆路4段165巷12號1、2樓 ，忠順街2段22號2樓，木新路2段156-1號,29395932,24.9840629,121.5626204
132,社團法人中華民國愛之語全人關懷教育協會中正據點,臺北市中正區南福里羅斯福路2段44號2樓,02-23215690,25.0279578,121.5214365
133,臺北市內湖區港富里辦公處,臺北市內湖區港富里麗山街47號,0932-018-939,25.0808877,121.5806316
134,臺北市北投區振華社區發展協會,臺北市北投區振華里裕民ㄧ路40巷37號1樓,02-28236110,25.0454096,121.5255272
135,臺北市大同區國慶社區發展協會,臺北市大同區國慶里重慶北路3段136巷18號,02-25940089,25.067642,121.5129185
136,臺北市北投區吉利里辦公處,臺北市北投區吉利里石牌路1段39巷100號1樓及5樓(臺北市北投運動中心),,25.1165006,121.5098316
137,臺北市北投區幸福永和社區發展協會,臺北市北投區永和里行義路63號,02-28753298,25.1262348,121.5279581
138,社團法人臺北市臻佶祥社會服務協會,臺北市中正區忠勤里中華路2段315巷14、16、18號,02-23036281,25.028344,121.5069829
139,財團法人中華基督教廈門街浸信會,臺北市中正區螢圃里厦門街81巷20號,02-23687582,25.0243156,121.5192916
140,台北市北投青溪協會,臺北市北投區中庸里珠海路2號,02-28913812,25.137583,121.501632
141,臺北市北投區建民里辦公處,臺北市北投區建民里文林北路36號,,25.1047321,121.5188032
142,台北市北投青溪協會(建民里),臺北市北投區建民里文林北路80巷38弄2號1樓,0982-642689,25.1057028,121.518841
143,台北市愛羊全人關懷協會,臺北市中正區龍光里和平西路2段15號1樓／17號2樓,02-23048578,25.0282933,121.5138713
144,臺北市大同區圓環社區發展協會,臺北市大同區建功里重慶北路1段83巷37號,02-25564651,25.0495802,121.5136357
145,臺北市北投區泉源里辦公處,臺北市北投區泉源里東昇路80號旁,0928-965556,25.1554824,121.529373
146,財團法人基督教拿撒勒人會(關渡據點),臺北市北投區關渡里知行路260巷26號,02-28586757,25.1208389,121.4683428
147,台灣運動健康科學學會,臺北市北投區豐年里大業路527巷33號2樓,02-28913812,25.137377,121.4911964
148,臺北市文山區順興里辦公處,臺北市文山區順興里興隆路4段165巷50號1樓及保儀路138巷26-28號(司法新村)、木柵忠順廟,02-29375586,24.9842783,121.5640793
149,臺北市北投區新稻香社區發展協會,臺北市北投區稻香里稻香路81號6樓(稻香區民活動中心-大會場),0989-089138,25.1409183,121.4893742
150,臺北市文山區興邦里辦公處,臺北市文山區興邦里興隆路2段203巷2弄10號1樓,0975-586972,25.0013345,121.5498781
151,財團法人佳醫健康基金會,臺北市文山區景美里台北市文山區羅斯福路六段336號(滬江高中信義樓101教室),,24.9894519,121.5389166
152,臺北市信義區老人服務中心(中華民國紅心字會),臺北市信義區興雅里松隆路36號4.5樓,02-87870300#107,25.0433306,121.5675285
153,臺北市信義區挹翠社區發展協會,臺北市信義區六合里紫雲街23號1樓,02-27228636,25.0185873,121.5743968
154,臺北市信義區正和里辦公處,臺北市信義區正和里仁愛路4段452巷3號(正和區民活動中心),,25.0370861,121.5593222
155,社團法人台北市銀髮族協會(信義),臺北市信義區中坡里中坡南路277號1樓,0958-526511,25.0388254,121.5842752
156,中華樂活推廣協會,臺北市松山區富錦里三民路136巷3號,0937-073980,25.0606379,121.563667
157,財團法人台北市民生社區基督教會,臺北市松山區三民里民生東路五段138巷3號3樓之7,02-27679500,25.0584496,121.5616565
158,臺北市信義區松光里辦公處,臺北市信義區松光里臺北市忠孝東路5段492巷32號,02-27278925,25.0405415,121.566819
159,臺北市松山區松基里辦公處,臺北市松山區松基里長春路339巷2號B1,,25.0552103,121.5452241
160,社團法人台灣頌恩活力協會,臺北市松山區中華里敦化北路145巷30號1樓,02-87122215,25.0539137,121.5520339
161,社團法人台北市銀髮族協會(吉仁),臺北市松山區吉仁里八德路3段76號3樓之1,02-87806411,25.0478728,121.5527439
162,臺北市松山區東勢里辦公處,臺北市松山區東勢里南京東路4段133巷8弄17號,02-27170369,25.0513931,121.5546859
163,社團法人台北市長期照護發展協會,臺北市松山區自強里三民路35巷9號1樓,02-27420058,25.0551954,121.5624655
164,財團法人雙福社會福利慈善事業基金會(蒙恩),臺北市松山區復勢里光復北路112號8樓,2392-2993分機12,25.0508432,121.5576923
165,社團法人中華民國香柏樹長者社區關懷協會（台電）,臺北市大安區大學里羅斯福路3段275號3樓,23632096,25.0183858,121.5309527
166,社團法人台北市基督教萬芳浸信會,臺北市文山區萬芳里萬美街一段19巷五號一樓,23035158,25.00226,121.568193
167,社團法人台北市艾馨公益慈善會,臺北市萬華區福音里康定路229號6樓,0223366516,25.0353733,121.5013573
168,臺北市內湖區灣仔社區發展協會,臺北市內湖區寶湖里民權東路6段208號6樓(網球中心6樓),0961-365688,25.0668288,121.5965738
169,財團法人基督教中國佈道會,臺北市內湖區康寧里內湖區康寧里康寧路3段99巷39弄66號,02-26320867,25.0742611,121.6106047
170,臺北市全人探索協會,臺北市南港區玉成里八德路4段768之1號4樓至6樓,0918054725,25.0503038,121.5799601
171,臺北市南港區新富里辦公處,臺北市南港區新富里富康街25號,02-27828495,25.053651,121.61738
172,臺北市中山區行政里辦公處,臺北市中山區行政里民權東路2段135巷20弄18號1樓,02-25092994,25.0620499,121.5375227
173,臺北市士林區德行里辦公處,臺北市士林區德行里德行西路30號1樓,0939-931-903,25.1054699,121.5234851
174,財團法人台北市中華基督教浸信會慈光堂,臺北市士林區翠山里中社路1段43巷1號,28412290,25.1087676,121.5613135
175,臺北市體適能指導工作人員職業工會(福華里),臺北市士林區福華里通河街179巷2號3樓；和豐街36號1樓,,25.0826968,121.5179571
176,臺北市中正區三愛里辦公處,臺北市中正區三愛里連雲街26巷9號,,25.0367399,121.5312848
177,臺北市信義區六合里辦公處,臺北市信義區六合里松仁路240巷19號3樓,,25.024319,121.5688427
178,臺北市內湖區湖濱里辦公處,臺北市內湖區湖濱里內湖路2段346號1樓,02-27906289,25.0818588,121.5899931
179,臺北市文山區興得里辦公處,臺北市文山區興得里興隆路3段222號,,24.9970954,121.5592325
180,社團法人國際奔享體驗教育發展協會(稻香真光),臺北市北投區稻香里稻香路85號1樓,02-28288884,25.1408925,121.4887848
181,財團法人台北市中國基督教靈糧世界佈道會台北靈糧堂(松江靈糧福音中心),臺北市中山區松江里民權東路二段146號2樓,25171835,25.0622129,121.5342861
182,臺北市文山區萬年社區發展協會,臺北市文山區萬年里羅斯福路5段150巷35號1樓,,25.0063887,121.538108
183,社團法人臺北市中山區大直社區發展協會(大直一),臺北市中山區大直里大直路21巷1號4樓(大直第一區民活動中心)及臺北市大直街39巷3號1,02-25329522,25.082582,121.546735
184,社團法人台灣多元社會福利協會(溫馨園),臺北市北投區溫泉里溫泉路68-10號,02-28927001,25.134963,121.504925
185,社團法人台灣厝邊有愛關懷協會(台北和平),臺北市大安區龍安里臺北市和平東路1段183巷9號,02-23636356,25.0265933,121.5322277
186,臺北市大安區通安里辦公處,臺北市大安區通安里通安街98號 (臺北市通安區民活動中心),0937-084028,25.0297353,121.5529809
187,臺北市文山區忠順社區發展協會,臺北市文山區忠順里興隆路4段145巷30號,02-29399569,24.985098,121.5629575
188,台北市敬老協會,臺北市中山區中原里新生北路2段41巷7號1樓,02-25819955,25.0553966,121.5281761
189,臺北市長立健康樂活協會,臺北市大安區龍陣里瑞安街75號3樓(瑞安區民活動中心),0958918669,25.0280185,121.5411633
190,社團法人台灣愛鄰社區服務協會,臺北市大安區龍門里和平東路2段24號愛鄰樓1F、愛鄰樓3F,23623022,25.0264703,121.5335436
191,慈濟關渡園區環保教育站(停用),臺北市北投區建民里大度路三段110號,,25.123259,121.4718611
192,社團法人臺北市信義區雙和社區發展協會,臺北市信義區雙和里吳興街284巷24弄12號(雙和社區發展協會),02-27381447,25.0242953,121.5631423
193,台北市通化玫瑰社會關懷協會,臺北市大安區法治里通化街178號,02-27383514,25.0275589,121.5532941
194,臺北市大同區真善美社區發展協會,臺北市大同區朝陽里天水路51巷4號及4-1號2樓,,25.0528382,121.5126772
195,臺北市中山區朱厝崙社區發展協會,臺北市中山區朱崙里龍江路15號3樓(朱崙區民活動中心),02-27815504,25.0475413,121.5405446
196,臺北市大同區星明社區發展協會,臺北市大同區星明里太原路161巷4號,,25.0553249,121.5175357
197,臺北市萬華區萬壽里辦公處,臺北市萬華區萬壽里康定路19號,2381-7481,25.0453226,121.5032535
198,財團法人台北市中華基督教信義會(復興堂),臺北市信義區中興里信義路4段375號10樓之2,02-2720-0440,25.033297,121.5577964
199,台北市樂健發展協會,臺北市南港區百福里福德街337號,0939378239,25.0394361,121.5884166
200,臺北市信義區永安社區發展協會,臺北市信義區長春里松山路294號4樓,02-27238588,25.0431291,121.5774477
201,慈濟中正萬華環保教育站,臺北市萬華區壽德里艋舺大道466號,,25.0276831,121.4898358
202,台北市松山區敦化社區發展協會,臺北市松山區敦化里臺北市松山區敦化里八德路3段12巷5弄16號7樓,,25.0475654,121.551153
203,臺北市向榮社福協進會,臺北市文山區興業里興隆路2段160號10樓,0931-041002,25.0015727,121.5514273
204,台北市萬華區華江社區發展協會,臺北市萬華區華江里長順街臨127號,(02)2308-1454,25.0319933,121.4896822
205,臺北市文山區興昌里辦公處,臺北市文山區興昌里辛亥路4段101巷85之8號1樓,0960-604305,25.0065859,121.5593598
206,慈濟八德環保教育站,臺北市中山區中庄里八德路二段118號,,25.045941,121.5370697
207,臺北市文山區景東里辦公處,臺北市文山區景東里景興路153巷1號1樓,0932-308802,24.9937915,121.5449911
208,臺北市士林區蘭興里辦公處,臺北市士林區蘭興里福華路180號2樓,,25.1058409,121.5220789
209,臺北市大安區仁慈里辦公處,臺北市大安區仁慈里復興南路1段295巷18號1樓,,25.0367328,121.5433687
210,臺北市信義區嘉興里辦公處,臺北市信義區嘉興里嘉興街175巷6號,02-27324052,25.02764,121.5575501
211,財團法人台灣老人急重症基金會(龍洲據點),臺北市中山區龍洲里民生東路3段88巷1號,02-25224388,25.0576316,121.54193
212,臺北市體適能指導工作人員職業工會,臺北市松山區美仁里敦化北路3號,02-28922200,25.0496452,121.5524318
213,臺北市松山區新聚里辦公處,臺北市松山區新聚里南京東路5段374號,,25.0515465,121.5696021
214,臺北市信義區永春社區發展協會,臺北市信義區永春里松山路287巷3弄21號,0966-728305,25.0435193,121.57823
215,臺北市北投區八仙里辦公處,臺北市北投區八仙里北投路1段臨30號、北投路1段臨20號(西安橋南側室外空地),02-28912105#234,25.1212488,121.5025229
216,臺北市信義區興雅祥社區發展協會,臺北市信義區雅祥里基隆路1段35巷9弄2號1樓,0933-162191,25.0419415,121.5653136
217,臺北市萬華區孝德里辦公處,臺北市萬華區孝德里德昌街261巷16號1樓,,25.022452,121.492269
218,慈濟信義永吉環保站,臺北市信義區西村里虎林街212巷22號1樓,,25.0376722,121.5764862
219,社團法人國際奔享體驗教育發展協會(新白石),臺北市北投區吉慶里實踐街48巷3號1樓,02-28288884,25.1149642,121.5092088
220,臺北市大安區群賢里辦公處,臺北市大安區群賢里和平東路2段311巷43弄36號,,25.026419,121.533962
221,臺北市大同區延平里辦公處,臺北市大同區延平里甘州街12號,,25.0585254,121.5127933
222,社團法人台灣喜樂家族協會(大安),臺北市大安區仁愛里忠孝東路4段126-19號7樓,0955-004491,25.0414432,121.5441092
