WKT,醫療院所,縣市,鄉鎮市區,地址,電話
"POINT (120.292116010829 22.7122504517455)",慶仁耳鼻喉科診所,高雄市,楠梓區,軍校路八八四號,07-3658663
"POINT (120.284211396184 22.7190279726909)",楠梓臻心診所,高雄市,楠梓區,右昌街656號1樓,07-3631096
"POINT (120.301729117815 22.7264021252854)",祥霖診所,高雄市,楠梓區,德賢路530巷9號1、2樓,"073630930"
"POINT (120.289100289236 22.714272359228)",長春醫院,高雄市,楠梓區,右昌街331號1-5樓,07-3612995
"POINT (120.289169735845 22.7162865479401)",吉昌牙醫診所,高雄市,楠梓區,後昌路1255號1樓,07 3623075
"POINT (120.299592410482 22.7244331080287)",立達牙醫診所,高雄市,楠梓區,德民路460－3號1樓,07 3652713
"POINT (120.304744465835 22.7265507079953)",宏霖牙醫診所,高雄市,楠梓區,德民路356巷30－1號,07 3659246
"POINT (120.328294139907 22.7313335162597)",善群牙醫診所,高雄市,楠梓區,楠梓路165號1樓、2樓,07-3527547
"POINT (120.309536470333 22.714858439592)",洪崇傑中醫診所,高雄市,楠梓區,後昌路289號1樓,07-3659595
"POINT (120.336352866211 22.7389667889508)",新發中醫診所,高雄市,楠梓區,旗楠路724號1樓、2樓726號1樓、2樓,07 3513437
"POINT (120.291762261588 22.7182645563179)",長圓中醫診所,高雄市,楠梓區,後昌新路3號1樓、5號1樓,07-3637669
"POINT (120.290650994049 22.7099263813428)",瑞鴻堂中醫診所,高雄市,楠梓區,右昌街91-93號1樓,07-3601088
"POINT (120.286973400544 22.7194608656151)",康喬中醫診所,高雄市,楠梓區,德民路999-7號1樓,07-3657189
"POINT (120.300747447415 22.7280496433847)",薺莘中醫診所,高雄市,楠梓區,加仁路61號1.2樓,07-3602188
"POINT (120.285961302543 22.7174558634438)",盧市芳中醫診所,高雄市,楠梓區,右昌街577號1樓,07-3683988
"POINT (120.32067694139 22.7291882557117)",醫療財團法人台灣血液基金會高雄捐血中心,高雄市,楠梓區,高楠公路1837號,07- 3660999
"POINT (120.331175710669 22.733036969013)",理想牙醫診所,高雄市,楠梓區,旗楠路158號1樓、2樓、3樓、4樓,07-3553083
"POINT (120.324403491021 22.726030903019)",頌讚牙醫診所,高雄市,楠梓區,楠梓新路131號1-2樓,07-3531716
"POINT (120.289643498573 22.721295379155)",禾豐牙醫診所,高雄市,楠梓區,德民路906號1.2樓,07-3624053
"POINT (120.286327039065 22.7190662364202)",德明牙醫診所,高雄市,楠梓區,德民路1005號1樓,07-3645663
"POINT (120.297797711255 22.7185478672871)",大大牙醫診所,高雄市,楠梓區,加宏路19號1.2樓,07-3616230
"POINT (120.293974600276 22.7071956260671)",超群牙醫診所,高雄市,楠梓區,和光街67號,07 3612163
"POINT (120.309951043708 22.7174159598148)",保齡牙醫診所,高雄市,楠梓區,後昌路166號,07 3626453
"POINT (120.295674832373 22.7086119735706)",曾牙醫診所,高雄市,楠梓區,和光街165號1樓、2樓、3樓,07-3628842
"POINT (120.33245330679 22.7297981271319)",泰安牙醫診所,高雄市,楠梓區,興楠路298號1樓,07 -3510944
"POINT (120.289423112101 22.7164231324803)",弘一牙醫診所,高雄市,楠梓區,後昌路1241號,07 3613872
"POINT (120.30511255465 22.7263113996559)",張森仁牙醫診所,高雄市,楠梓區,德賢路237號1樓,07 3633729
"POINT (120.326412239188 22.7271309808605)",蕙榮牙醫診所,高雄市,楠梓區,建楠路172號,07 3510297
"POINT (120.296052083822 22.7101340956648)",林靜南牙醫診所,高雄市,楠梓區,後昌路765號3樓,07 3631590
"POINT (120.310066096783 22.7177686584554)",郭獻和牙醫診所,高雄市,楠梓區,後昌路146號,07 3627368
"POINT (120.337161386177 22.737471018754)",常德診所,高雄市,楠梓區,常德路331號1樓,07 3537431
"POINT (120.331839084553 22.7294233191457)",興義診所,高雄市,楠梓區,興楠路342號344號1-2樓,07 3539993
"POINT (120.295992731508 22.7102208621863)",聖昌診所,高雄市,楠梓區,後昌路773號1樓,07 3639666
"POINT (120.289590244399 22.7213097991589)",佑強診所,高雄市,楠梓區,德民路908號1-5樓、910號1-5樓,07-3683687
"POINT (120.332848838563 22.7294788575986)",李再昌婦產科診所,高雄市,楠梓區,興楠路303號1樓,07-3531762
"POINT (120.324420174499 22.7254425664191)",禾順復健科診所,高雄市,楠梓區,楠梓新路138-1號1樓、2樓,07-3539760
"POINT (120.324611964329 22.7257869732167)",馮文瑋皮膚專科診所,高雄市,楠梓區,楠梓新路156號1樓,07-3520333
"POINT (120.327929468669 22.7270470424118)",視新眼科診所,高雄市,楠梓區,建楠路108-110號1-2樓,07-3551881
"POINT (120.327493882746 22.7267291393484)",楠梓聯合婦產科診所,高雄市,楠梓區,建楠路95號1-2樓,07-3511316
"POINT (120.290676976245 22.7175575380319)",仁安診所,高雄市,楠梓區,後昌路1182號1樓、B1,07-3684128
"POINT (120.310167035952 22.7168569767251)",智惠診所,高雄市,楠梓區,後昌路195號1樓,07-3612561
"POINT (120.293727841432 22.713389749865)",歐慈德內科診所,高雄市,楠梓區,後昌路915號,07 3633900
"POINT (120.292546927919 22.6885945156506)",傅耳鼻喉科診所,高雄市,楠梓區,軍校路710之1．2號,07 -3651727
"POINT (120.293054199445 22.7069297285574)",賴聰宏小兒科診所,高雄市,楠梓區,軍校路664-666號,07 3630769
"POINT (120.293029528623 22.7098465786935)",苑秉純小兒科診所,高雄市,楠梓區,軍校路790792號12樓,07 3645885
"POINT (120.324382510819 22.7259499272344)",容貴耳鼻喉科診所,高雄市,楠梓區,楠梓新路127號1樓,07 3523534
"POINT (120.29339689271 22.7152847631364)",王新台婦產科診所,高雄市,楠梓區,後昌路972號,07- 3653166
"POINT (120.329956151191 22.7286073155374)",陳其新診所,高雄市,楠梓區,楠梓路28號,07 3521077
"POINT (120.325803755179 22.7268445748923)",高耿耀診所,高雄市,楠梓區,建楠路179號1樓,07 3529803
"POINT (120.294567167193 22.7118199478915)",上明眼科診所,高雄市,楠梓區,後昌路843號1-3樓,07 3621131
"POINT (120.330335824608 22.7280944959111)",管士育診所,高雄市,楠梓區,興楠路415號1樓,07-3514266
"POINT (120.327088090446 22.7266913093575)",林自強內科診所,高雄市,楠梓區,楠都東街222號,07-3553110
"POINT (120.308499342723 22.726147983829)",精進中醫診所,高雄市,楠梓區,德民路222號1樓,07-3655872
"POINT (120.330725874245 22.7373259676567)",快樂牙醫診所,高雄市,楠梓區,清豐二路100號1樓,07-3535366
"POINT (120.29857259601 22.7249163059686)",長義診所,高雄市,楠梓區,惠民路46號1樓,07-3640593
"POINT (120.301400465058 22.722203919154)",日月光半導體製造股份有限公司附設員工醫務室,高雄市,楠梓區,經五路123號6、7樓,07-3617131-80000
"POINT (120.295691971553 22.7111677764592)",顏威裕醫院,高雄市,楠梓區,後昌路826號1-7樓,07-3639053
"POINT (120.298902257333 22.6444346529668)",康麗牙醫診所,高雄市,三民區,熱河二街148號1樓、2樓,07-3116039
"POINT (120.320170277763 22.6647835158564)",鼎真診所,高雄市,三民區,金鼎路325號1樓,07-3103130
"POINT (120.341336791418 22.6401561357638)",新悅美學牙醫診所,高雄市,三民區,陽明路105號1、2樓及155號1、2樓,07-3929555
"POINT (120.313253754778 22.6602941888325)",吳家明眼科診所,高雄市,三民區,明誠二路76號一樓,07 3505829
"POINT (120.321469441129 22.6738459752627)",佳言牙醫診所,高雄市,三民區,鼎中路729號1樓,07 3463335
"POINT (120.322784694111 22.6504794376945)",大順博愛眼科診所,高雄市,三民區,大順二路657號1樓及夾層,07-3925777
"POINT (120.322094474827 22.6658562590031)",薛政煌牙醫診所,高雄市,三民區,鼎力路144號,07 3473177
"POINT (120.343303444423 22.6387070588313)",真善美診所,高雄市,三民區,覺民路69號1~2樓,07-3945929
"POINT (120.301197613441 22.6411393425327)",陳易泰內科中醫診所,高雄市,三民區,九如二路403號,07 3213693
"POINT (120.299710245368 22.645892156957)",先進牙醫診所,高雄市,三民區,十全二路122號2樓,07-3161360
"POINT (120.313459625298 22.662956750121)",廣宜牙醫診所,高雄市,三民區,明吉路37號一樓,07 3465626
"POINT (120.335653723178 22.6375738274395)",林嘉龍牙醫診所,高雄市,三民區,九如一路255號,07 3819783
"POINT (120.34826535715 22.6392325182867)",翰穎皮膚科診所,高雄市,三民區,文濱路33號1~4樓,07-7679909
"POINT (120.331744384489 22.6537139903324)",千惠牙醫診所,高雄市,三民區,建工路296號,07 3817930
"POINT (120.31275881131 22.6592691365157)",長生診所,高雄市,三民區,聯興路145巷52號1樓,07-3959090
"POINT (120.331744198814 22.6476908393673)",呂佳群耳鼻喉科診所,高雄市,三民區,大昌二路305號一樓,07 3832988
"POINT (120.324536833877 22.6445716105918)",正泰牙醫診所,高雄市,三民區,建興路247號一樓,07 3892289
"POINT (120.320856881852 22.6455856164569)",劉楠賢中醫診所,高雄市,三民區,正興路89號一樓,07 3856798
"POINT (120.286731088258 22.6484037719848)",安安十全婦幼診所,高雄市,三民區,十全三路280號,
"POINT (120.318893716571 22.6338461015458)",日盛牙醫診所,高雄市,三民區,建國一路305號一樓,07 2221687
"POINT (120.317374350826 22.6509755616435)",賴耳鼻喉科診所,高雄市,三民區,鼎山街581號,07 3826946
"POINT (120.32292714149 22.6503987633054)",建安診所,高雄市,三民區,大順二路649號1-2樓,07-3860999
"POINT (120.307044059961 22.6411556410713)",高斌祥外科診所,高雄市,三民區,九如二路202號,07 3119515
"POINT (120.326061827115 22.6436452839524)",余建興耳鼻喉科診所,高雄市,三民區,建興路183號1樓,"073952899"
"POINT (120.332337862146 22.6438456282204)",菁英牙醫診所,高雄市,三民區,大昌二路122號一樓,07-3905043
"POINT (120.34209594361 22.6437682264546)",思邁爾牙醫診所,高雄市,三民區,陽明路303號1、2樓,07-3817733
"POINT (120.305907290362 22.643941292099)",嘉康牙醫診所,高雄市,三民區,熱河一街366號1樓,07-3223229
"POINT (120.300361763351 22.6477011788729)",安誼牙醫診所,高雄市,三民區,察哈爾二街81號1樓,07-3236116
"POINT (120.298909458716 22.6412828929428)",廣吉牙醫診所,高雄市,三民區,九如二路491號一樓,07 3222135
"POINT (120.28880063772 22.6389626656747)",正耀牙醫診所,高雄市,三民區,力行路94號一樓,07 3157391
"POINT (120.290634754282 22.6359002673915)",北益牙醫診所,高雄市,三民區,建國三路443號一樓、445號一樓,07-2154514
"POINT (120.42721253602 23.8628237929334)",茂榮家庭醫學科診所,彰化縣,竹塘鄉,仁愛路56號,04-8970709
"POINT (120.494590708617 23.8517112473078)",建順中醫診所,彰化縣,溪州鄉,進元路28號,04 8897878
"POINT (120.498424469133 23.8513878432826)",彰化縣溪州鄉衛生所,彰化縣,溪州鄉,溪下路4段570號,04 8895023
"POINT (120.494909999842 23.8516100000439)",健恩診所,彰化縣,溪州鄉,中央路三段二三九、二四一號,04─8899915
"POINT (120.544659999735 23.8234899998618)",鄭國洲診所,彰化縣,溪州鄉,前庄巷一之十六號,04-8806001
"POINT (120.49740165229 23.8525355654063)",佑林診所,彰化縣,溪州鄉,中山路3段448、450號,04-8893921
"POINT (120.496142746804 23.852934033798)",中道牙醫診所,彰化縣,溪州鄉,中山路3段421、423號1樓,04-8897072
"POINT (120.495170297233 23.8531780329012)",親親牙醫診所,彰化縣,溪州鄉,東安路2號,04-8896375
"POINT (120.49368932361 23.8532312411133)",博愛內科中醫診所,彰化縣,溪州鄉,中山路三段311號,04-8897588
"POINT (120.500334970122 23.8505812143856)",守仁診所,彰化縣,溪州鄉,公正街239號,04-8890262
"POINT (120.684580605389 23.9045843456422)",生元中醫診所,南投縣,南投市,集賢路31號,049-2222865
"POINT (120.678076999783 23.9142638620945)",富康中醫診所,南投縣,南投市,祖祠路275號1F,049-2242625
"POINT (120.690681077693 23.9040278712511)",萬寶堂中醫診所,南投縣,南投市,中興路628號,0910-419176
"POINT (120.6934742219 23.9107243969215)",健華牙醫診所,南投縣,南投市,民族路5號,049-2208888
"POINT (120.636984546001 23.9085246109173)",平安診所,南投縣,南投市,八德路376號1樓,049-2291653
"POINT (120.687229571259 23.9057636034569)",明光眼科診所,南投縣,南投市,中山街14巷23號,049-2233979
"POINT (120.687776721657 23.9036823089922)",黃皮膚科診所,南投縣,南投市,復興路91號,049-2204786
"POINT (120.678265795755 23.9131479298785)",子泰診所,南投縣,南投市,南崗二路298號1樓,049-2223013
"POINT (120.686821874432 23.9037672323767)",新協合聯合診所,南投縣,南投市,三和二路105號,049-2222116
"POINT (120.687521395437 23.906938044364)",農安診所,南投縣,南投市,文昌街47巷9號,049-2208679
"POINT (120.680431000092 23.9145805644991)",現代牙醫診所,南投縣,南投市,彰南路二段328號,049-2209226
"POINT (120.691709519816 23.9109272854574)",新和牙醫診所,南投縣,南投市,信義街13、15號,049-2208711
"POINT (120.689199146253 23.9035643739633)",惠良精神科診所,南投縣,南投市,大同南街24號1F,049-2208296
"POINT (120.68666003105 23.9057172961052)",建安中醫診所,南投縣,南投市,中山街16號,049-2222874
"POINT (120.690386059039 23.9099990928544)",詠欣牙醫診所,南投縣,南投市,民族路150號1至2樓,"0492203999"
"POINT (120.688504187189 23.9025787413958)",南投縣慢性病防治所,南投縣,南投市,三和一路15號,"049228471"
"POINT (120.690871578752 23.9101959216019)",寶嶸診所,南投縣,南投市,民族路120號1樓,"2208906"
"POINT (120.690312996112 23.9059955834859)",鑽石牙醫診所,南投縣,南投市,中興路566號,049-2205666
"POINT (120.685383720879 23.9095703273603)",忠聖診所,南投縣,南投市,中山街195號1F,049-2241359
"POINT (120.686996050398 23.9048511389075)",簡美華眼科診所,南投縣,南投市,三和二路39號,049-2222319
"POINT (120.686289442652 23.9086963072291)",淵源診所,南投縣,南投市,民族路300號,049-2222171
"POINT (120.686971167024 23.9070272213148)",聰安耳鼻喉科診所,南投縣,南投市,復興路191號,049-2235876
"POINT (120.687527244525 23.9085904723013)",幼安小兒科診所,南投縣,南投市,民族路243號,049-2206706
"POINT (120.687456603155 23.9093759034584)",順安中醫診所,南投縣,南投市,大同街149號,"0928956685"
"POINT (120.686072818767 23.9089216049964)",坤融中醫診所,南投縣,南投市,中山街154號1F,049-2233336
"POINT (120.685942451889 23.9100319787366)",亞中診所,南投縣,南投市,復興路307號,049-2227374
"POINT (120.684831377759 23.9105263329864)",陳外科診所,南投縣,南投市,中山街238號,049-2222206
"POINT (120.669318493671 23.9275506155161)",杏蓉牙醫診所,南投縣,南投市,南崗三路60號,049-2250456
"POINT (120.685062467134 23.9083867930464)",隆安中醫診所,南投縣,南投市,彰南路二段8號1F,049-2222317
"POINT (120.687172487936 23.9090773491254)",何耳鼻喉科診所,南投縣,南投市,民族路258號,"0492222689"
"POINT (120.689280575845 23.9031903517861)",立德牙醫診所,南投縣,南投市,大同南街2-2號,049-2200113
"POINT (120.687268663395 23.90992632656)",祐川牙醫診所,南投縣,南投市,民權街56號,049-2222238
"POINT (120.688177507125 23.9036526020404)",一品堂中醫診所,南投縣,南投市,復興路78號1樓,049-2228696
"POINT (120.687528818792 23.9038499366956)",劉外科診所,南投縣,南投市,三和二路85號,049-2225147
"POINT (121.442435859184 24.9793177208172)",星漾牙醫診所,新北市,土城區,中央路二段60號1、2樓,(02)2270-6600
"POINT (121.459160562292 24.9802938480868)",三合堂中醫診所,新北市,土城區,青雲路275號,(02)2270-6078
"POINT (121.448070753832 24.9885342932194)",裕民至祥診所,新北市,土城區,裕民路27號1樓及夾層,(02)8262-5959
"POINT (121.442115355426 24.9765324983684)",土城金鶯診所,新北市,土城區,中央路二段155號1、2樓,(02)2262-5113
"POINT (121.466594323602 24.9895097500514)",延和祥恩診所,新北市,土城區,延和路92號1樓,(02)2273-1129
"POINT (121.470471232562 24.9861768592353)",嘉恩牙醫診所,新北市,土城區,延吉街143號1樓,"82623263"
"POINT (121.44874552504 24.9911839155254)",恩樺醫院,新北市,土城區,中央路一段7-18號地下1樓、1樓、2樓、4至10樓,(02)22639955
"POINT (121.442519514368 24.9766103848515)",李楫航小兒科診所,新北市,土城區,中央路二段149巷8之1號1樓,"22608222"
"POINT (121.441901907115 24.9759362536886)",建馨復健科診所,新北市,土城區,中央路二段196號1樓、2樓,(02)2263-9888
"POINT (121.444808763481 24.9853283799592)",維康診所,新北市,土城區,中央路1段224號1樓,02-22630969
"POINT (121.455543813988 24.9876430451147)",仁祐骨科診所,新北市,土城區,學府路一段116號1樓、2樓,02-22629571
"POINT (121.455421966297 24.9820062809992)",弘新中醫診所,新北市,土城區,裕民路280號3樓,(02)2261-7777
"POINT (121.464178778636 24.985619403714)",吳俊穎眼科診所,新北市,土城區,清水路336號1樓,
"POINT (121.442129166551 24.9763199416758)",聯欣中醫診所,新北市,土城區,中央路二段161號3樓,(02)8965-1198
"POINT (121.448369775596 24.9883612966824)",三安診所,新北市,土城區,裕民路37號1樓,"22668144"
"POINT (121.452251673291 24.9853018010139)",聖滄中醫診所,新北市,土城區,學府路一段216號,02-2260-1185
"POINT (121.453463794072 24.9846884642276)",成安牙醫診所,新北市,土城區,裕民路181號1樓,"0222665737"
"POINT (121.457215328748 24.9882754461368)",圓心診所,新北市,土城區,學府路一段65號1樓,(02)2270-2158
"POINT (121.442271909214 24.9787262737638)",日光牙醫診所,新北市,土城區,中央路二段90號1、2樓,(02)2260-9966
"POINT (121.454409597532 24.9833178983022)",東松牙醫診所,新北市,土城區,裕民路235、237、239號1、2樓,(02)8273-3280
"POINT (121.467735323462 24.9875522899887)",穗城復健科診所,新北市,土城區,金城路三段176號1樓.2樓、176-2號,02-8273-2239
"POINT (121.44222985649 24.973190815157)",興城骨科診所,新北市,土城區,光明街58號(1樓及夾層),(02)2263-9966
"POINT (121.447967745619 24.9900408620366)",曾明禮皮膚科診所,新北市,土城區,中央路一段61號1、2樓及63號1、2樓,(02)2270-1718
"POINT (121.453794816963 24.9847496362175)",顏式模牙醫診所,新北市,土城區,裕民路185巷5號,02 2653048
"POINT (121.449788976235 24.9872740882497)",嘉恩耳鼻喉科診所,新北市,土城區,裕民路76號,"2630609"
"POINT (121.455037412703 24.9826364261443)",良一牙醫診所,新北市,土城區,裕民路261－1號1樓,02 2738329
"POINT (121.443189001608 24.9728576206063)",新北市土城區衛生所,新北市,土城區,和平路26號1、2樓,02 2606675
"POINT (121.453229783927 24.9861348781462)",吉康小兒科診所,新北市,土城區,學府路1段188號1樓,"22706596"
"POINT (121.453547493766 24.9864196713373)",廣全診所,新北市,土城區,學成路2號1、2樓,(02)2262-5736
"POINT (121.459081982287 24.9822562775401)",大昌診所,新北市,土城區,青雲路184號1樓,(02)2274-2208
"POINT (121.455127118166 24.9825425797865)",施潔慧牙醫診所,新北市,土城區,裕民路263號1樓,"0222658126"
"POINT (121.454601724267 24.9935802497246)",瑞明診所,新北市,土城區,廣明街63巷2弄1號1樓,(02)8966-3353
"POINT (121.44841391523 24.9831198751682)",元福診所,新北市,土城區,明德路二段62號4樓,"82623313"
"POINT (121.468167596374 24.9881841092253)",誠康耳鼻喉科診所,新北市,土城區,金城路三段137號1樓,"22663355"
"POINT (121.459488732071 24.9816138023449)",渼林中醫診所,新北市,土城區,清水路179號1樓,"22645353"
"POINT (121.45709197375 24.9829562839845)",永佳婦產專科診所,新北市,土城區,金城路2段248-2號2樓、250號1、2樓,"22631188"
"POINT (121.451445453644 24.9865069555077)",裕安診所,新北市,土城區,裕民路131號1樓,"22613300"
"POINT (121.465942864056 24.9869844684936)",立吉診所,新北市,土城區,金城路三段41號1樓.2樓,(02)82603311
"POINT (121.449937762881 24.9871828326634)",永康身心診所,新北市,土城區,裕民路82號1樓,"22730199"
"POINT (121.465044221185 24.9848383259256)",延吉診所,新北市,土城區,明德路1段24號,02 2702806
"POINT (121.440812475738 24.9736152570765)",仁和牙醫診所,新北市,土城區,中央路二段223之1號1、2樓,(02)2260-7442
"POINT (121.450393974557 24.9869025222477)",悅揚牙醫診所,新北市,土城區,裕民路96號1、2樓,(02)22662088
"POINT (121.44065607631 24.9731202682168)",健業診所,新北市,土城區,中央路2段223之10號2、3樓,"22704798"
"POINT (121.469834341759 24.9890931691836)",金城牙醫診所,新北市,土城區,金城路三段191號1、2樓,(02)2263-5123
"POINT (121.442901438834 24.9846331348967)",馬丁健康診所,新北市,土城區,中華路一段209號1樓,(02)2270-3986
"POINT (121.455409164598 24.9915250641797)",廣福診所,新北市,土城區,廣興街31號,02 9510134
"POINT (121.46490689369 24.9864418847718)",合康身心診所,新北市,土城區,金城路三段17號1樓,(02)2264-3905
"POINT (121.471098645713 24.9865091923854)",合安中醫診所,新北市,土城區,延吉街119號1樓,"22631561"
"POINT (121.441711906195 24.9762962588065)",聯揚牙醫診所,新北市,土城區,中央路二段176號(1、2樓),02-22742637
"POINT (121.467921511868 24.9921275160633)",大宇牙醫診所,新北市,土城區,延平街43號,
"POINT (121.455603247452 24.9874601095687)",佳楷牙醫診所,新北市,土城區,學府路1段113號1、2樓,(02)2265-8091
"POINT (121.44975253946 24.9875450503247)",得麗爾時尚診所,新北市,土城區,裕民路75號2樓,(02)2265-0698
"POINT (121.457496244008 24.9883259262159)",錫安牙醫診所,新北市,土城區,學府路1段五三號一樓,"22637722"
"POINT (121.458042076043 24.9815062842875)",廣泉診所,新北市,土城區,清水路114號6樓,02-22740529
"POINT (121.471190971471 24.9904256488002)",漢榮中醫診所,新北市,土城區,延壽路13巷1號1樓,02-22659758
"POINT (121.465902252789 24.9844952518227)",欣揚中醫診所,新北市,土城區,延吉街268號1樓,02-82622388
"POINT (121.452616678556 24.9844769783942)",林原億中醫診所,新北市,土城區,學府路一段189巷11弄4號1樓,02-22649428
"POINT (121.442284973299 24.9773451677719)",煌昌診所,新北市,土城區,中央路2段119之1號1樓,"22600948"
"POINT (121.458066729296 24.9883575034251)",盛泓牙醫診所,新北市,土城區,學府路1段三三號,02 2643882
"POINT (121.4547590232 24.994091478733)",怡安牙醫診所,新北市,土城區,廣明街81號,02 9221357
"POINT (121.469108425176 24.9903917606865)",新明診所,新北市,土城區,延和路187號1樓,"22741127"
"POINT (121.457354210146 24.9883059861329)",安祥婦產科診所,新北市,土城區,學府路1段59號1樓,"0222653653"
"POINT (121.442307851789 24.9751106471921)",土城明師中醫聯合診所,新北市,土城區,中正路一號一至二樓,"22746699"
"POINT (121.440693736394 24.9732509579174)",宏恩牙醫診所,新北市,土城區,中央路2段223之8號1樓,"22601105"
"POINT (121.468779999732 24.990430000001)",延和中醫診所,新北市,土城區,延和路127號1樓、125巷2號1樓、125巷4號1樓,"22635611"
"POINT (121.466037056769 24.984364679116)",民安復健科診所,新北市,土城區,延吉街311號2樓,(02)82610513
"POINT (121.44284377049 24.9759839172743)",土城診所,新北市,土城區,中央路2段177巷22號1樓,02-22603307
"POINT (121.471706366278 25.0818216750485)",共和診所,新北市,蘆洲區,中正路4號1樓10號1樓,02 -22822775
"POINT (121.475585856672 25.0840202138233)",上晴牙醫診所,新北市,蘆洲區,民族路5號1樓,"82838311"
"POINT (121.482483138616 25.0866613921683)",巨鼎骨科診所,新北市,蘆洲區,集賢路222之6號1、2樓,02-22837995
"POINT (121.480829114863 25.0838813031854)",集賢內科診所,新北市,蘆洲區,集賢路三五六號1、2、3樓、三五八號2、3樓,"0222886720"
"POINT (121.471455958233 25.0818370122846)",潘眼科診所,新北市,蘆洲區,中正路11號1樓2樓,02 28483497
"POINT (121.460721984711 25.081723458003)",群安診所,新北市,蘆洲區,長安街118號,02-22894789
"POINT (121.462389072155 25.0807756481634)",蘆洲李耳鼻喉科診所,新北市,蘆洲區,中華街63號1樓,02 28475799
"POINT (121.477884162907 25.0849211606521)",蘆洲立民診所,新北市,蘆洲區,民族路88號1、2樓及90號1樓,"82822192"
"POINT (121.462257384342 25.0806303476411)",建群診所,新北市,蘆洲區,中華街71號1、2樓,"28487669"
"POINT (121.481939329696 25.0870308275789)",鴻文耳鼻喉科診所,新北市,蘆洲區,集賢路224巷14號,"82863222"
"POINT (121.478403351027 25.0889487301748)",欣彥身心診所,新北市,蘆洲區,復興路200號1樓,(02)28471319
"POINT (121.475779419894 25.081964949046)",登士美數位牙醫診所,新北市,蘆洲區,三民路3號1樓及3之1號2樓,"82823636"
"POINT (121.475655961094 25.0822591594404)",沐心牙醫診所,新北市,蘆洲區,三民路13、15號1、2、3樓,02-22850025
"POINT (121.474865917872 25.0844665274964)",蘆洲諾貝爾眼科診所,新北市,蘆洲區,三民路86號1樓(含夾層),"82858828"
"POINT (121.478254258483 25.0853470992805)",春陽中醫診所,新北市,蘆洲區,民族路43號1樓,02-82851315
"POINT (121.476813660943 25.0830762386441)",鷺江中醫診所,新北市,蘆洲區,三民路26巷31弄3號1樓,"82857667"
"POINT (121.470723663732 25.0808413918935)",良和中醫診所,新北市,蘆洲區,中山二路172號1樓,"0919032626"
"POINT (121.469391933304 25.0848942073933)",康廷耳鼻喉科診所,新北市,蘆洲區,中正路124號1樓,"22825133"
"POINT (121.463263846792 25.0849955391819)",御鼎牙醫診所,新北市,蘆洲區,光復路47號1樓,02-82868246
